#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2015844,63209389,2,J4T96_gp002,SEA_FINEMLUCIS_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210322,-
2015844,63209401,15,J4T96_gp014,SEA_FINEMLUCIS_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210322,-
2015844,63209402,14,J4T96_gp015,SEA_FINEMLUCIS_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210322,-
2015844,63209403,16,J4T96_gp016,SEA_FINEMLUCIS_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210322,-
2015844,63209404,17,J4T96_gp017,SEA_FINEMLUCIS_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210322,-
2015844,63209405,18,J4T96_gp018,SEA_FINEMLUCIS_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210322,-
2015844,63209406,19,J4T96_gp019,SEA_FINEMLUCIS_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210322,-
2015844,63209407,20,J4T96_gp020,SEA_FINEMLUCIS_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210322,-
2015844,63209408,21,J4T96_gp021,SEA_FINEMLUCIS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209409,22,J4T96_gp022,SEA_FINEMLUCIS_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209410,23,J4T96_gp023,SEA_FINEMLUCIS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209411,24,J4T96_gp024,SEA_FINEMLUCIS_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210322,-
2015844,63209412,25,J4T96_gp025,SEA_FINEMLUCIS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209413,26,J4T96_gp026,SEA_FINEMLUCIS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209414,27,J4T96_gp027,SEA_FINEMLUCIS_27,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210322,-
2015844,63209415,28,J4T96_gp028,SEA_FINEMLUCIS_28,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210322,-
2015844,63209416,29,J4T96_gp029,SEA_FINEMLUCIS_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209417,30,J4T96_gp030,SEA_FINEMLUCIS_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209418,31,J4T96_gp031,SEA_FINEMLUCIS_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209419,32,J4T96_gp032,SEA_FINEMLUCIS_32,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210322,-
2015844,63209420,33,J4T96_gp033,SEA_FINEMLUCIS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209421,34,J4T96_gp034,SEA_FINEMLUCIS_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209422,35,J4T96_gp035,SEA_FINEMLUCIS_35,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20210322,-
2015844,63209423,36,J4T96_gp036,SEA_FINEMLUCIS_36,-,-,-,Lsr2-like DNA bridging protein,protein-coding,-,-,-,Lsr2-like DNA bridging protein,20210322,-
2015844,63209424,37,J4T96_gp037,SEA_FINEMLUCIS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209425,38,J4T96_gp038,SEA_FINEMLUCIS_38,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210322,-
2015844,63209426,39,J4T96_gp039,SEA_FINEMLUCIS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209427,40,J4T96_gp040,SEA_FINEMLUCIS_40,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210322,-
2015844,63209428,41,J4T96_gp041,SEA_FINEMLUCIS_41,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210322,-
2015844,63209429,42,J4T96_gp042,SEA_FINEMLUCIS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209430,43,J4T96_gp043,SEA_FINEMLUCIS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209431,44,J4T96_gp044,SEA_FINEMLUCIS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209432,45,J4T96_gp045,SEA_FINEMLUCIS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209433,46,J4T96_gp046,SEA_FINEMLUCIS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209434,47,J4T96_gp047,SEA_FINEMLUCIS_47,-,-,-,esterase,protein-coding,-,-,-,esterase,20210322,-
2015844,63209435,48,J4T96_gp048,SEA_FINEMLUCIS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209436,49,J4T96_gp049,SEA_FINEMLUCIS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209437,50,J4T96_gp050,SEA_FINEMLUCIS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209438,51,J4T96_gp051,SEA_FINEMLUCIS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209439,52,J4T96_gp052,SEA_FINEMLUCIS_52,-,-,-,band-7-like membrane protein,protein-coding,-,-,-,band-7-like membrane protein,20210322,-
2015844,63209440,53,J4T96_gp053,SEA_FINEMLUCIS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209441,54,J4T96_gp054,SEA_FINEMLUCIS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209442,55,J4T96_gp055,SEA_FINEMLUCIS_55,-,-,-,Ro-like RNA binding protein,protein-coding,-,-,-,Ro-like RNA binding protein,20210322,-
2015844,63209443,56,J4T96_gp056,SEA_FINEMLUCIS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209444,57,J4T96_gp057,SEA_FINEMLUCIS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209445,58,J4T96_gp058,SEA_FINEMLUCIS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209446,59,J4T96_gp059,SEA_FINEMLUCIS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209447,60,J4T96_gp060,SEA_FINEMLUCIS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209448,61,J4T96_gp061,SEA_FINEMLUCIS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209449,62,J4T96_gp062,SEA_FINEMLUCIS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209450,63,J4T96_gp063,SEA_FINEMLUCIS_63,-,-,-,ERF family ssDNA binding protein,protein-coding,-,-,-,ERF family ssDNA binding protein,20210322,-
2015844,63209451,64,J4T96_gp064,SEA_FINEMLUCIS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209452,65,J4T96_gp065,SEA_FINEMLUCIS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209453,66,J4T96_gp066,SEA_FINEMLUCIS_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209454,67,J4T96_gp067,SEA_FINEMLUCIS_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210322,-
2015844,63209455,68,J4T96_gp068,SEA_FINEMLUCIS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209456,69,J4T96_gp069,SEA_FINEMLUCIS_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209457,70,J4T96_gp070,SEA_FINEMLUCIS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209458,71,J4T96_gp071,SEA_FINEMLUCIS_71,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210403,-
2015844,63209459,72,J4T96_gp072,SEA_FINEMLUCIS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209460,73,J4T96_gp073,SEA_FINEMLUCIS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209461,74,J4T96_gp074,SEA_FINEMLUCIS_74,-,-,-,phosphoribosyl pyrophosphate transferase,protein-coding,-,-,-,phosphoribosyl pyrophosphate transferase,20210322,-
2015844,63209462,75,J4T96_gp075,SEA_FINEMLUCIS_75,-,-,-,nicotinate ribosyltransferase,protein-coding,-,-,-,nicotinate ribosyltransferase,20210322,-
2015844,63209463,76,J4T96_gp076,SEA_FINEMLUCIS_76,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210322,-
2015844,63209464,77,J4T96_gp077,SEA_FINEMLUCIS_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209465,78,J4T96_gp078,SEA_FINEMLUCIS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209466,79,J4T96_gp079,SEA_FINEMLUCIS_79,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210322,-
2015844,63209467,80,J4T96_gp080,SEA_FINEMLUCIS_80,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210322,-
2015844,63209468,81,J4T96_gp081,SEA_FINEMLUCIS_81,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210322,-
2015844,63209469,82,J4T96_gp082,SEA_FINEMLUCIS_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209470,83,J4T96_gp083,SEA_FINEMLUCIS_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209471,84,J4T96_gp084,SEA_FINEMLUCIS_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209472,85,J4T96_gp085,SEA_FINEMLUCIS_85,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210322,-
2015844,63209473,86,J4T96_gp086,SEA_FINEMLUCIS_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209474,87,J4T96_gp087,SEA_FINEMLUCIS_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209475,88,J4T96_gp088,SEA_FINEMLUCIS_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209476,89,J4T96_gp089,SEA_FINEMLUCIS_89,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210322,-
2015844,63209477,90,J4T96_gp090,SEA_FINEMLUCIS_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209478,91,J4T96_gp091,SEA_FINEMLUCIS_91,-,-,-,ClpP-like protease,protein-coding,-,-,-,ClpP-like protease,20210322,-
2015844,63209479,92,J4T96_gp092,SEA_FINEMLUCIS_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209480,93,J4T96_gp093,SEA_FINEMLUCIS_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209481,94,J4T96_gp094,SEA_FINEMLUCIS_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209482,95,J4T96_gp095,SEA_FINEMLUCIS_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209483,96,J4T96_gp096,SEA_FINEMLUCIS_96,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210322,-
2015844,63209484,97,J4T96_gp097,SEA_FINEMLUCIS_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209485,98,J4T96_gp098,SEA_FINEMLUCIS_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209486,99,J4T96_gp099,SEA_FINEMLUCIS_99,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210322,-
2015844,63209487,100,J4T96_gp100,SEA_FINEMLUCIS_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209488,101,J4T96_gp101,SEA_FINEMLUCIS_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209489,102,J4T96_gp102,SEA_FINEMLUCIS_102,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210322,-
2015844,63209490,103,J4T96_gp103,SEA_FINEMLUCIS_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209491,104,J4T96_gp104,SEA_FINEMLUCIS_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209492,105,J4T96_gp105,SEA_FINEMLUCIS_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209493,106,J4T96_gt001,SEA_FINEMLUCIS_106,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015844,63209494,107,J4T96_gp131,SEA_FINEMLUCIS_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209495,108,J4T96_gt002,SEA_FINEMLUCIS_108,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015844,63209496,109,J4T96_gp130,SEA_FINEMLUCIS_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209497,110,J4T96_gt003,SEA_FINEMLUCIS_110,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015844,63209498,111,J4T96_gt004,SEA_FINEMLUCIS_111,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015844,63209499,112,J4T96_gt005,SEA_FINEMLUCIS_112,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015844,63209500,113,J4T96_gt006,SEA_FINEMLUCIS_113,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015844,63209501,114,J4T96_gt007,SEA_FINEMLUCIS_114,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015844,63209502,115,J4T96_gp129,SEA_FINEMLUCIS_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209503,116,J4T96_gp128,SEA_FINEMLUCIS_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209504,117,J4T96_gt008,SEA_FINEMLUCIS_117,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015844,63209505,118,J4T96_gp127,SEA_FINEMLUCIS_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209506,119,J4T96_gp126,SEA_FINEMLUCIS_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209507,120,J4T96_gt009,SEA_FINEMLUCIS_120,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015844,63209508,121,J4T96_gp125,SEA_FINEMLUCIS_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209509,122,J4T96_gt010,SEA_FINEMLUCIS_122,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015844,63209510,123,J4T96_gp124,SEA_FINEMLUCIS_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209511,1,J4T96_gp001,SEA_FINEMLUCIS_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209512,124,J4T96_gp123,SEA_FINEMLUCIS_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209513,125,J4T96_gp122,SEA_FINEMLUCIS_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209514,126,J4T96_gp121,SEA_FINEMLUCIS_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209515,127,J4T96_gp120,SEA_FINEMLUCIS_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209516,128,J4T96_gp119,SEA_FINEMLUCIS_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209517,129,J4T96_gp118,SEA_FINEMLUCIS_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209518,130,J4T96_gp117,SEA_FINEMLUCIS_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209519,131,J4T96_gp116,SEA_FINEMLUCIS_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209520,132,J4T96_gp115,SEA_FINEMLUCIS_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209521,133,J4T96_gp114,SEA_FINEMLUCIS_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209522,134,J4T96_gp113,SEA_FINEMLUCIS_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209523,135,J4T96_gp112,SEA_FINEMLUCIS_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209524,136,J4T96_gp111,SEA_FINEMLUCIS_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209525,137,J4T96_gp110,SEA_FINEMLUCIS_137,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210403,-
2015844,63209526,138,J4T96_gp109,SEA_FINEMLUCIS_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209527,139,J4T96_gp108,SEA_FINEMLUCIS_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209528,140,J4T96_gp107,SEA_FINEMLUCIS_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209529,141,J4T96_gp106,SEA_FINEMLUCIS_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63346696,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Finemlucis).,other,-,-,-,-,20210324,-
