#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1868595,55600808,HWA98_gp02,HWA98_gp02,CDKM15_2,-,-,-,DEAD/DEAH box helicase family protein,protein-coding,-,-,-,DEAD/DEAH box helicase family protein,20201221,-
1868595,55600858,HWA98_gp52,HWA98_gp52,CDKM15_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600859,HWA98_gp53,HWA98_gp53,CDKM15_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600860,HWA98_gp54,HWA98_gp54,CDKM15_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600861,HWA98_gp55,HWA98_gp55,CDKM15_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600862,HWA98_gp56,HWA98_gp56,CDKM15_56,-,-,-,Arc family DNA-binding protein,protein-coding,-,-,-,Arc family DNA-binding protein,20210129,-
1868595,55600863,HWA98_gp57,HWA98_gp57,CDKM15_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600864,HWA98_gp58,HWA98_gp58,CDKM15_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600865,HWA98_gp59,HWA98_gp59,CDKM15_59,-,-,-,siphovirus Gp157 family protein,protein-coding,-,-,-,siphovirus Gp157 family protein,20210129,-
1868595,55600866,HWA98_gp60,HWA98_gp60,CDKM15_60,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20210129,-
1868595,55600867,HWA98_gp61,HWA98_gp61,CDKM15_61,-,-,-,DnaD domain protein,protein-coding,-,-,-,DnaD domain protein,20210212,-
1868595,55600868,HWA98_gp62,HWA98_gp62,CDKM15_62,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20200620,-
1868595,55600869,HWA98_gp63,HWA98_gp63,CDKM15_63,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20200801,-
1868595,55600870,HWA98_gp64,HWA98_gp64,CDKM15_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600871,HWA98_gp65,HWA98_gp65,CDKM15_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600872,HWA98_gp66,HWA98_gp66,CDKM15_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600873,HWA98_gp67,HWA98_gp67,CDKM15_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600874,HWA98_gp68,HWA98_gp68,CDKM15_68,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20210424,-
1868595,55600875,HWA98_gp69,HWA98_gp69,CDKM15_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600876,HWA98_gp70,HWA98_gp70,CDKM15_70,-,-,-,nucleoid-associated protein,protein-coding,-,-,-,nucleoid-associated protein,20210417,-
1868595,55600877,HWA98_gp71,HWA98_gp71,CDKM15_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600878,HWA98_gp72,HWA98_gp72,CDKM15_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600879,HWA98_gp73,HWA98_gp73,CDKM15_73,-,-,-,DUF3850 domain-containing protein,protein-coding,-,-,-,DUF3850 domain-containing protein,20210417,-
1868595,55600880,HWA98_gp74,HWA98_gp74,CDKM15_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600881,HWA98_gp75,HWA98_gp75,CDKM15_75,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20210417,-
1868595,55600882,HWA98_gp76,HWA98_gp76,CDKM15_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600883,HWA98_gp77,HWA98_gp77,CDKM15_77,-,-,-,sigma factor,protein-coding,-,-,-,sigma factor,20201221,-
1868595,55600884,HWA98_gp78,HWA98_gp78,CDKM15_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600885,HWA98_gp79,HWA98_gp79,CDKM15_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1868595,55600886,HWA98_gp01,HWA98_gp01,CDKM15_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210424,-
1868595,55635648,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
