#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656604,62363997,2,JMN98_gp02,SEA_SNAZZY_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
2656604,62364011,16,JMN98_gp16,SEA_SNAZZY_16,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210123,-
2656604,62364012,17,JMN98_gp17,SEA_SNAZZY_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2656604,62364013,18,JMN98_gp18,SEA_SNAZZY_18,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
2656604,62364014,19,JMN98_gp19,SEA_SNAZZY_19,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
2656604,62364015,21,JMN98_gp20,SEA_SNAZZY_21,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
2656604,62364016,22,JMN98_gp22,SEA_SNAZZY_22,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20210424,-
2656604,62364017,20,JMN98_gp21,SEA_SNAZZY_20,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
2656604,62364018,23,JMN98_gp23,SEA_SNAZZY_23,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2656604,62364019,24,JMN98_gp24,SEA_SNAZZY_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2656604,62364020,25,JMN98_gp25,SEA_SNAZZY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364021,26,JMN98_gp26,SEA_SNAZZY_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2656604,62364022,27,JMN98_gp27,SEA_SNAZZY_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2656604,62364023,28,JMN98_gp28,SEA_SNAZZY_28,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2656604,62364024,29,JMN98_gp29,SEA_SNAZZY_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364025,30,JMN98_gp30,SEA_SNAZZY_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2656604,62364026,31,JMN98_gp31,SEA_SNAZZY_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2656604,62364027,32,JMN98_gp32,SEA_SNAZZY_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364028,33,JMN98_gp33,SEA_SNAZZY_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364029,34,JMN98_gp34,SEA_SNAZZY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364030,35,JMN98_gp35,SEA_SNAZZY_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364031,36,JMN98_gp36,SEA_SNAZZY_36,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210424,-
2656604,62364032,37,JMN98_gp37,SEA_SNAZZY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364033,38,JMN98_gp38,SEA_SNAZZY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364034,39,JMN98_gp39,SEA_SNAZZY_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364035,40,JMN98_gp40,SEA_SNAZZY_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364036,41,JMN98_gp41,SEA_SNAZZY_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364037,42,JMN98_gp42,SEA_SNAZZY_42,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
2656604,62364038,43,JMN98_gp43,SEA_SNAZZY_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364039,44,JMN98_gp44,SEA_SNAZZY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364040,45,JMN98_gp45,SEA_SNAZZY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364041,46,JMN98_gp46,SEA_SNAZZY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2656604,62364042,47,JMN98_gp47,SEA_SNAZZY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2656604,62364043,48,JMN98_gp48,SEA_SNAZZY_48,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210123,-
2656604,62364044,49,JMN98_gp49,SEA_SNAZZY_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364045,50,JMN98_gp50,SEA_SNAZZY_50,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210123,-
2656604,62364046,51,JMN98_gp51,SEA_SNAZZY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364047,52,JMN98_gp52,SEA_SNAZZY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364048,53,JMN98_gp53,SEA_SNAZZY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364049,54,JMN98_gp54,SEA_SNAZZY_54,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
2656604,62364050,55,JMN98_gp55,SEA_SNAZZY_55,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
2656604,62364051,57,JMN98_gp57,SEA_SNAZZY_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2656604,62364052,58,JMN98_gp58,SEA_SNAZZY_58,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210424,-
2656604,62364053,59,JMN98_gp59,SEA_SNAZZY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364054,61,JMN98_gp61,SEA_SNAZZY_61,-,-,-,DnaB-like DNA helicase,protein-coding,-,-,-,DnaB-like DNA helicase,20210417,-
2656604,62364055,62,JMN98_gp62,SEA_SNAZZY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364056,63,JMN98_gp63,SEA_SNAZZY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364057,64,JMN98_gp64,SEA_SNAZZY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364058,65,JMN98_gp65,SEA_SNAZZY_65,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210212,-
2656604,62364059,66,JMN98_gp66,SEA_SNAZZY_66,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2656604,62364060,67,JMN98_gp67,SEA_SNAZZY_67,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210424,-
2656604,62364061,68,JMN98_gp68,SEA_SNAZZY_68,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2656604,62364062,69,JMN98_gp69,SEA_SNAZZY_69,-,-,-,DNA binding domain protein,protein-coding,-,-,-,DNA binding domain protein,20210123,-
2656604,62364063,70,JMN98_gp70,SEA_SNAZZY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364064,71,JMN98_gp71,SEA_SNAZZY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364065,72,JMN98_gp72,SEA_SNAZZY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364066,73,JMN98_gp73,SEA_SNAZZY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364067,74,JMN98_gp74,SEA_SNAZZY_74,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210417,-
2656604,62364068,75,JMN98_gp75,SEA_SNAZZY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364069,76,JMN98_gp76,SEA_SNAZZY_76,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2656604,62364070,77,JMN98_gp77,SEA_SNAZZY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364071,78,JMN98_gp78,SEA_SNAZZY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364072,79,JMN98_gp79,SEA_SNAZZY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364073,80,JMN98_gp80,SEA_SNAZZY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364074,81,JMN98_gp81,SEA_SNAZZY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364075,82,JMN98_gp82,SEA_SNAZZY_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364076,83,JMN98_gp83,SEA_SNAZZY_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364077,84,JMN98_gp84,SEA_SNAZZY_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364078,85,JMN98_gp85,SEA_SNAZZY_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364079,86,JMN98_gp86,SEA_SNAZZY_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364080,87,JMN98_gp87,SEA_SNAZZY_87,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2656604,62364081,88,JMN98_gp88,SEA_SNAZZY_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364082,89,JMN98_gp89,SEA_SNAZZY_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364083,90,JMN98_gp90,SEA_SNAZZY_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364084,91,JMN98_gp91,SEA_SNAZZY_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364085,92,JMN98_gp92,SEA_SNAZZY_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656604,62364086,56,JMN98_gp56,SEA_SNAZZY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364087,60,JMN98_gp60,SEA_SNAZZY_60,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210424,-
2656604,62364088,1,JMN98_gp01,SEA_SNAZZY_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2656604,62369049,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210125,-
