#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5158,41954327,oi1rnl,F9809_mgp53,-,-,MT,-,intronic ORF at intron 1 of rnl,protein-coding,-,-,-,intronic ORF at intron 1 of rnl,20200926,-
5158,41954390,rns,F9809_mgr01,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
5158,41954391,oi1rns,F9809_mgp06,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200926,-
5158,41954392,trnM5,F9809_mgt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954393,trnT5,F9809_mgt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954394,cox3,F9809_mgp05,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20210417,-
5158,41954395,oi1cox3,F9809_mgp04,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20191009,-
5158,41954396,oi2cox3,F9809_mgp03,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
5158,41954397,trnG,F9809_mgt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954398,trnK,F9809_mgt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954399,trnD,F9809_mgt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954400,trnS1,F9809_mgt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954401,trnW1,F9809_mgt25,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954402,nad6,F9809_mgp02,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20210417,-
5158,41954403,oi1nad6,F9809_mgp01,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
5158,41954404,trnV,F9809_mgt26,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954405,trnW2,F9809_mgt27,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954406,trnI,F9809_mgt28,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954407,trnS2,F9809_mgt29,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954408,trnN,F9809_mgt30,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954409,trnP,F9809_mgt31,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954410,rnl,F9809_mgr02,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
5158,41954411,trnM,F9809_mgt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954412,trnA,F9809_mgt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
