#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2653764,60331423,2,I5H65_gp002,SEA_MINNIE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2653764,60331444,23,I5H65_gp023,SEA_MINNIE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331445,24,I5H65_gp024,SEA_MINNIE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331446,25,I5H65_gp025,SEA_MINNIE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331447,26,I5H65_gp026,SEA_MINNIE_26,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2653764,60331448,27,I5H65_gp027,SEA_MINNIE_27,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2653764,60331449,28,I5H65_gp028,SEA_MINNIE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331450,29,I5H65_gp029,SEA_MINNIE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331451,30,I5H65_gp030,SEA_MINNIE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331452,31,I5H65_gp031,SEA_MINNIE_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331453,32,I5H65_gp032,SEA_MINNIE_32,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2653764,60331454,33,I5H65_gp033,SEA_MINNIE_33,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2653764,60331455,34,I5H65_gp034,SEA_MINNIE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2653764,60331456,35,I5H65_gp035,SEA_MINNIE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2653764,60331457,36,I5H65_gp036,SEA_MINNIE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331458,37,I5H65_gp037,SEA_MINNIE_37,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210129,-
2653764,60331459,38,I5H65_gp038,SEA_MINNIE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331460,39,I5H65_gp039,SEA_MINNIE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331461,40,I5H65_gp040,SEA_MINNIE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331462,41,I5H65_gp041,SEA_MINNIE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331463,42,I5H65_gp042,SEA_MINNIE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331464,43,I5H65_gp043,SEA_MINNIE_43,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2653764,60331465,44,I5H65_gp044,SEA_MINNIE_44,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20210417,-
2653764,60331466,45,I5H65_gp045,SEA_MINNIE_45,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20210403,-
2653764,60331467,46,I5H65_gp046,SEA_MINNIE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331468,47,I5H65_gp047,SEA_MINNIE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331469,50,I5H65_gp050,SEA_MINNIE_50,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2653764,60331470,49,I5H65_gp049,SEA_MINNIE_49,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210403,-
2653764,60331471,51,I5H65_gp051,SEA_MINNIE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331472,52,I5H65_gp052,SEA_MINNIE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331473,53,I5H65_gp053,SEA_MINNIE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331474,54,I5H65_gp054,SEA_MINNIE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331475,56,I5H65_gp056,SEA_MINNIE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331476,57,I5H65_gp057,SEA_MINNIE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331477,58,I5H65_gp058,SEA_MINNIE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331478,59,I5H65_gp059,SEA_MINNIE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331479,60,I5H65_gp060,SEA_MINNIE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2653764,60331480,61,I5H65_gp061,SEA_MINNIE_61,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2653764,60331481,62,I5H65_gp062,SEA_MINNIE_62,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201202,-
2653764,60331482,63,I5H65_gp063,SEA_MINNIE_63,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,20210417,-
2653764,60331483,64,I5H65_gp064,SEA_MINNIE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331484,65,I5H65_gp065,SEA_MINNIE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331485,66,I5H65_gp066,SEA_MINNIE_66,-,-,-,Ku-like dsDNA break-binding protein,protein-coding,-,-,-,Ku-like dsDNA break-binding protein,20201129,-
2653764,60331486,67,I5H65_gp067,SEA_MINNIE_67,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210417,-
2653764,60331487,68,I5H65_gp068,SEA_MINNIE_68,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2653764,60331488,70,I5H65_gp070,SEA_MINNIE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331489,71,I5H65_gp071,SEA_MINNIE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331490,72,I5H65_gp072,SEA_MINNIE_72,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2653764,60331491,73,I5H65_gp073,SEA_MINNIE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331492,74,I5H65_gp074,SEA_MINNIE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331493,75,I5H65_gp075,SEA_MINNIE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331494,76,I5H65_gp076,SEA_MINNIE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331495,77,I5H65_gp077,SEA_MINNIE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331496,78,I5H65_gp078,SEA_MINNIE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331497,79,I5H65_gp079,SEA_MINNIE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331498,80,I5H65_gp080,SEA_MINNIE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331499,81,I5H65_gp081,SEA_MINNIE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331500,83,I5H65_gp083,SEA_MINNIE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331501,84,I5H65_gp084,SEA_MINNIE_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331502,86,I5H65_gp086,SEA_MINNIE_86,-,-,-,ribbon helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,ribbon helix-turn-helix DNA binding domain protein,20201129,-
2653764,60331503,87,I5H65_gp087,SEA_MINNIE_87,-,-,-,MPME2-like protein,protein-coding,-,-,-,MPME2-like protein,20201129,-
2653764,60331504,88,I5H65_gp088,SEA_MINNIE_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331505,89,I5H65_gp089,SEA_MINNIE_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331506,90,I5H65_gp090,SEA_MINNIE_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331507,91,I5H65_gp091,SEA_MINNIE_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331508,92,I5H65_gp092,SEA_MINNIE_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331509,93,I5H65_gp093,SEA_MINNIE_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331510,94,I5H65_gp094,SEA_MINNIE_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331511,95,I5H65_gp095,SEA_MINNIE_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331512,96,I5H65_gp096,SEA_MINNIE_96,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201202,-
2653764,60331513,97,I5H65_gp097,SEA_MINNIE_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331514,98,I5H65_gp098,SEA_MINNIE_98,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201202,-
2653764,60331515,99,I5H65_gp099,SEA_MINNIE_99,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2653764,60331516,48,I5H65_gp048,SEA_MINNIE_48,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2653764,60331517,55,I5H65_gp055,SEA_MINNIE_55,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2653764,60331518,69,I5H65_gp069,SEA_MINNIE_69,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2653764,60331519,82,I5H65_gp082,SEA_MINNIE_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331520,85,I5H65_gp085,SEA_MINNIE_85,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210424,-
2653764,60331521,100,I5H65_gp100,SEA_MINNIE_100,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201129,-
2653764,60331522,1,I5H65_gp001,SEA_MINNIE_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2653764,60338801,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
