#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2762423,62362055,2,JMN76_gp02,SEA_MARYBETH_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2762423,62362097,44,JMN76_gp44,SEA_MARYBETH_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362098,45,JMN76_gp45,SEA_MARYBETH_45,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
2762423,62362099,46,JMN76_gp46,SEA_MARYBETH_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362100,47,JMN76_gp47,SEA_MARYBETH_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362101,48,JMN76_gp48,SEA_MARYBETH_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2762423,62362102,49,JMN76_gp49,SEA_MARYBETH_49,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2762423,62362103,50,JMN76_gp50,SEA_MARYBETH_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362104,51,JMN76_gp51,SEA_MARYBETH_51,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20210406,-
2762423,62362105,52,JMN76_gp52,SEA_MARYBETH_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362106,53,JMN76_gp53,SEA_MARYBETH_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362107,54,JMN76_gp54,SEA_MARYBETH_54,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210417,-
2762423,62362108,55,JMN76_gp55,SEA_MARYBETH_55,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210417,-
2762423,62362109,56,JMN76_gp56,SEA_MARYBETH_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362110,57,JMN76_gp57,SEA_MARYBETH_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2762423,62362111,58,JMN76_gp58,SEA_MARYBETH_58,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210424,-
2762423,62362112,59,JMN76_gp59,SEA_MARYBETH_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362113,60,JMN76_gp60,SEA_MARYBETH_60,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210406,-
2762423,62362114,61,JMN76_gp61,SEA_MARYBETH_61,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210417,-
2762423,62362115,62,JMN76_gp62,SEA_MARYBETH_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362116,63,JMN76_gp63,SEA_MARYBETH_63,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2762423,62362117,64,JMN76_gp64,SEA_MARYBETH_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362118,65,JMN76_gp65,SEA_MARYBETH_65,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210212,-
2762423,62362119,66,JMN76_gp66,SEA_MARYBETH_66,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210417,-
2762423,62362120,67,JMN76_gp67,SEA_MARYBETH_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362121,68,JMN76_gp68,SEA_MARYBETH_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362122,69,JMN76_gp69,SEA_MARYBETH_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362123,70,JMN76_gp70,SEA_MARYBETH_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2762423,62362124,71,JMN76_gp71,SEA_MARYBETH_71,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210425,-
2762423,62362125,72,JMN76_gp72,SEA_MARYBETH_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362126,73,JMN76_gp73,SEA_MARYBETH_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362127,74,JMN76_gp74,SEA_MARYBETH_74,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2762423,62362128,75,JMN76_gp75,SEA_MARYBETH_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362129,76,JMN76_gp76,SEA_MARYBETH_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362130,77,JMN76_gp77,SEA_MARYBETH_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362131,78,JMN76_gp78,SEA_MARYBETH_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362132,79,JMN76_gp79,SEA_MARYBETH_79,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2762423,62362133,80,JMN76_gp80,SEA_MARYBETH_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362134,81,JMN76_gp81,SEA_MARYBETH_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362135,82,JMN76_gp82,SEA_MARYBETH_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362136,83,JMN76_gp83,SEA_MARYBETH_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362137,84,JMN76_gp84,SEA_MARYBETH_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362138,85,JMN76_gp85,SEA_MARYBETH_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362139,86,JMN76_gp86,SEA_MARYBETH_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362140,87,JMN76_gp87,SEA_MARYBETH_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362141,88,JMN76_gp88,SEA_MARYBETH_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362142,90,JMN76_gp89,SEA_MARYBETH_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362143,91,JMN76_gp90,SEA_MARYBETH_91,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210417,-
2762423,62362144,1,JMN76_gp01,SEA_MARYBETH_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62369065,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210125,-
