#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2759460,62362420,2,JMN80_gp02,SEA_MULE_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
2759460,62362462,44,JMN80_gp44,SEA_MULE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362463,45,JMN80_gp45,SEA_MULE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2759460,62362464,46,JMN80_gp46,SEA_MULE_46,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210123,-
2759460,62362465,47,JMN80_gp47,SEA_MULE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362466,48,JMN80_gp48,SEA_MULE_48,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210424,-
2759460,62362467,49,JMN80_gp49,SEA_MULE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362468,50,JMN80_gp50,SEA_MULE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362469,51,JMN80_gp51,SEA_MULE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362470,52,JMN80_gp52,SEA_MULE_52,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210417,-
2759460,62362471,53,JMN80_gp53,SEA_MULE_53,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
2759460,62362472,56,JMN80_gp56,SEA_MULE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2759460,62362473,57,JMN80_gp57,SEA_MULE_57,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2759460,62362474,58,JMN80_gp58,SEA_MULE_58,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210424,-
2759460,62362475,59,JMN80_gp59,SEA_MULE_59,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210424,-
2759460,62362476,60,JMN80_gp60,SEA_MULE_60,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210417,-
2759460,62362477,61,JMN80_gp61,SEA_MULE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362478,62,JMN80_gp62,SEA_MULE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362479,63,JMN80_gp63,SEA_MULE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362480,64,JMN80_gp64,SEA_MULE_64,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210212,-
2759460,62362481,65,JMN80_gp65,SEA_MULE_65,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210417,-
2759460,62362482,66,JMN80_gp66,SEA_MULE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362483,67,JMN80_gp67,SEA_MULE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362484,69,JMN80_gp69,SEA_MULE_69,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2759460,62362485,70,JMN80_gp70,SEA_MULE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362486,72,JMN80_gp72,SEA_MULE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362487,73,JMN80_gp73,SEA_MULE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362488,74,JMN80_gp74,SEA_MULE_74,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2759460,62362489,75,JMN80_gp75,SEA_MULE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362490,76,JMN80_gp76,SEA_MULE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362491,77,JMN80_gp77,SEA_MULE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362492,78,JMN80_gp78,SEA_MULE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362493,79,JMN80_gp79,SEA_MULE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362494,80,JMN80_gp80,SEA_MULE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362495,82,JMN80_gp82,SEA_MULE_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362496,83,JMN80_gp83,SEA_MULE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362497,84,JMN80_gp84,SEA_MULE_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362498,85,JMN80_gp85,SEA_MULE_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362499,86,JMN80_gp86,SEA_MULE_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362500,87,JMN80_gp87,SEA_MULE_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362501,89,JMN80_gp89,SEA_MULE_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2759460,62362502,90,JMN80_gp90,SEA_MULE_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362503,91,JMN80_gp91,SEA_MULE_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362504,92,JMN80_gp92,SEA_MULE_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2759460,62362505,93,JMN80_gp93,SEA_MULE_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362506,54,JMN80_gp54,SEA_MULE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362507,55,JMN80_gp55,SEA_MULE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362508,68,JMN80_gp68,SEA_MULE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362509,71,JMN80_gp71,SEA_MULE_71,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210417,-
2759460,62362510,81,JMN80_gp81,SEA_MULE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362511,88,JMN80_gp88,SEA_MULE_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362512,94,JMN80_gp94,SEA_MULE_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362513,1,JMN80_gp01,SEA_MULE_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2759460,62369061,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210125,-
