#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
701456,18990392,2,SKIPOLE_2,-,-,-,-,HNH protein,protein-coding,-,-,-,HNH protein,20201220,-
701456,18990446,56,SKIPOLE_56,-,-,-,-,RDF protein,protein-coding,-,-,-,RDF protein,20201220,-
701456,18990447,57,SKIPOLE_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990448,58,SKIPOLE_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990449,59,SKIPOLE_59,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201220,-
701456,18990450,60,SKIPOLE_60,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201220,-
701456,18990451,61,SKIPOLE_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990452,62,SKIPOLE_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990453,63,SKIPOLE_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990454,64,SKIPOLE_64,-,-,-,-,EndoVII,protein-coding,-,-,-,EndoVII,20201220,-
701456,18990455,65,SKIPOLE_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990456,66,SKIPOLE_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990457,67,SKIPOLE_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990458,68,SKIPOLE_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990459,69,SKIPOLE_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990460,70,SKIPOLE_70,-,-,-,-,NrdH,protein-coding,-,-,-,NrdH,20201220,-
701456,18990461,71,SKIPOLE_71,-,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20210212,-
701456,18990462,72,SKIPOLE_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990463,73,SKIPOLE_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990464,74,SKIPOLE_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
701456,18990465,75,SKIPOLE_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990466,76,SKIPOLE_76,-,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20201220,-
701456,18990467,77,SKIPOLE_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990468,78,SKIPOLE_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990469,79,SKIPOLE_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990470,80,SKIPOLE_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990471,81,SKIPOLE_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
701456,18990472,82,SKIPOLE_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990473,83,SKIPOLE_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990474,84,SKIPOLE_84,-,-,-,-,repressor,protein-coding,-,-,-,repressor,20201220,-
701456,18990475,85,SKIPOLE_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990476,86,SKIPOLE_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990477,87,SKIPOLE_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990478,88,SKIPOLE_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990479,89,SKIPOLE_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990480,90,SKIPOLE_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990481,91,SKIPOLE_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990482,92,SKIPOLE_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990483,93,SKIPOLE_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990484,94,SKIPOLE_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990485,95,SKIPOLE_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990486,96,SKIPOLE_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990487,97,SKIPOLE_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990488,98,SKIPOLE_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990489,99,SKIPOLE_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990490,100,SKIPOLE_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990491,101,SKIPOLE_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990492,102,SKIPOLE_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990493,1,SKIPOLE_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,19010264,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage SkiPole).,other,-,-,-,-,20200513,-
