#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483670,65117019,2,KNU20_gp02,SEA_GEODIRT_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2483670,65117067,50,KNU20_gp50,SEA_GEODIRT_50,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210607,-
2483670,65117068,51,KNU20_gp51,SEA_GEODIRT_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117069,52,KNU20_gp52,SEA_GEODIRT_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117070,53,KNU20_gp53,SEA_GEODIRT_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117071,54,KNU20_gp54,SEA_GEODIRT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117072,55,KNU20_gp55,SEA_GEODIRT_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117073,56,KNU20_gp56,SEA_GEODIRT_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117074,58,KNU20_gp58,SEA_GEODIRT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117075,59,KNU20_gp59,SEA_GEODIRT_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117076,60,KNU20_gp60,SEA_GEODIRT_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117077,61,KNU20_gp61,SEA_GEODIRT_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117078,62,KNU20_gp62,SEA_GEODIRT_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117079,63,KNU20_gp63,SEA_GEODIRT_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117080,64,KNU20_gp64,SEA_GEODIRT_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117081,65,KNU20_gp65,SEA_GEODIRT_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117082,66,KNU20_gp66,SEA_GEODIRT_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117083,67,KNU20_gp67,SEA_GEODIRT_67,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210607,-
2483670,65117084,68,KNU20_gp68,SEA_GEODIRT_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117085,69,KNU20_gp69,SEA_GEODIRT_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117086,70,KNU20_gp70,SEA_GEODIRT_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117087,71,KNU20_gp71,SEA_GEODIRT_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117088,72,KNU20_gp72,SEA_GEODIRT_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117089,73,KNU20_gp73,SEA_GEODIRT_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117090,74,KNU20_gp74,SEA_GEODIRT_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117091,75,KNU20_gp75,SEA_GEODIRT_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117092,77,KNU20_gp77,SEA_GEODIRT_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117093,78,KNU20_gp78,SEA_GEODIRT_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117094,79,KNU20_gp79,SEA_GEODIRT_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117095,80,KNU20_gp80,SEA_GEODIRT_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117096,81,KNU20_gp81,SEA_GEODIRT_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117097,82,KNU20_gp82,SEA_GEODIRT_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117098,83,KNU20_gp83,SEA_GEODIRT_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117099,84,KNU20_gp84,SEA_GEODIRT_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117100,85,KNU20_gp85,SEA_GEODIRT_85,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210607,-
2483670,65117101,57,KNU20_gp57,SEA_GEODIRT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117102,76,KNU20_gp76,SEA_GEODIRT_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117103,1,KNU20_gp01,SEA_GEODIRT_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2483670,65242954,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
