#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2234077,62362332,23,JMN79_gp23,SEA_MRYOLO_23,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2234077,62362348,75,JMN79_gp75,SEA_MRYOLO_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362349,74,JMN79_gp74,SEA_MRYOLO_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362350,73,JMN79_gp73,SEA_MRYOLO_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362351,72,JMN79_gp72,SEA_MRYOLO_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362352,71,JMN79_gp71,SEA_MRYOLO_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362353,70,JMN79_gp70,SEA_MRYOLO_70,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2234077,62362354,69,JMN79_gp69,SEA_MRYOLO_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362355,68,JMN79_gp68,SEA_MRYOLO_68,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210424,-
2234077,62362356,67,JMN79_gp67,SEA_MRYOLO_67,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210417,-
2234077,62362357,66,JMN79_gp66,SEA_MRYOLO_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2234077,62362358,65,JMN79_gp65,SEA_MRYOLO_65,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2234077,62362359,64,JMN79_gp64,SEA_MRYOLO_64,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2234077,62362360,63,JMN79_gp63,SEA_MRYOLO_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362361,62,JMN79_gp62,SEA_MRYOLO_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362362,61,JMN79_gp61,SEA_MRYOLO_61,-,-,-,dsDNA helicase,protein-coding,-,-,-,dsDNA helicase,20210212,-
2234077,62362363,60,JMN79_gp60,SEA_MRYOLO_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362364,59,JMN79_gp59,SEA_MRYOLO_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362365,58,JMN79_gp58,SEA_MRYOLO_58,-,-,-,NrdH glutaredoxin,protein-coding,-,-,-,NrdH glutaredoxin,20210417,-
2234077,62362366,57,JMN79_gp57,SEA_MRYOLO_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362367,56,JMN79_gp56,SEA_MRYOLO_56,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210424,-
2234077,62362368,55,JMN79_gp55,SEA_MRYOLO_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2234077,62362369,54,JMN79_gp54,SEA_MRYOLO_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362370,53,JMN79_gp53,SEA_MRYOLO_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362371,52,JMN79_gp52,SEA_MRYOLO_52,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210406,-
2234077,62362372,51,JMN79_gp51,SEA_MRYOLO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362373,49,JMN79_gp49,SEA_MRYOLO_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2234077,62362374,48,JMN79_gp48,SEA_MRYOLO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362375,47,JMN79_gp47,SEA_MRYOLO_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362376,46,JMN79_gp46,SEA_MRYOLO_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2234077,62362377,45,JMN79_gp45,SEA_MRYOLO_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362378,44,JMN79_gp44,SEA_MRYOLO_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362379,43,JMN79_gp43,SEA_MRYOLO_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362380,42,JMN79_gp42,SEA_MRYOLO_42,-,-,-,DNA polymerase III alpha,protein-coding,-,-,-,DNA polymerase III alpha,20210417,-
2234077,62362381,41,JMN79_gp41,SEA_MRYOLO_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362382,40,JMN79_gp40,SEA_MRYOLO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362383,39,JMN79_gp39,SEA_MRYOLO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362384,38,JMN79_gp38,SEA_MRYOLO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362385,37,JMN79_gp37,SEA_MRYOLO_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362386,36,JMN79_gp36,SEA_MRYOLO_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362387,35,JMN79_gp35,SEA_MRYOLO_35,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2234077,62362388,34,JMN79_gp34,SEA_MRYOLO_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362389,33,JMN79_gp33,SEA_MRYOLO_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362390,32,JMN79_gp32,SEA_MRYOLO_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362391,31,JMN79_gp31,SEA_MRYOLO_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2234077,62362392,30,JMN79_gp30,SEA_MRYOLO_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2234077,62362393,29,JMN79_gp29,SEA_MRYOLO_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362394,28,JMN79_gp28,SEA_MRYOLO_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362395,27,JMN79_gp27,SEA_MRYOLO_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210212,-
2234077,62362396,26,JMN79_gp26,SEA_MRYOLO_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2234077,62362397,25,JMN79_gp25,SEA_MRYOLO_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362398,24,JMN79_gp24,SEA_MRYOLO_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2234077,62362399,22,JMN79_gp22,SEA_MRYOLO_22,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
2234077,62362400,21,JMN79_gp21,SEA_MRYOLO_21,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
2234077,62362401,20,JMN79_gp20,SEA_MRYOLO_20,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
2234077,62362402,19,JMN79_gp19,SEA_MRYOLO_19,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
2234077,62362403,18,JMN79_gp18,SEA_MRYOLO_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2234077,62362404,17,JMN79_gp17,SEA_MRYOLO_17,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210123,-
2234077,62362405,16,JMN79_gp16,SEA_MRYOLO_16,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210424,-
2234077,62362406,15,JMN79_gp15,SEA_MRYOLO_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362407,14,JMN79_gp14,SEA_MRYOLO_14,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2234077,62362408,13,JMN79_gp13,SEA_MRYOLO_13,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210123,-
2234077,62362409,12,JMN79_gp12,SEA_MRYOLO_12,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210123,-
2234077,62362410,11,JMN79_gp11,SEA_MRYOLO_11,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2234077,62362411,10,JMN79_gp10,SEA_MRYOLO_10,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2234077,62362412,9,JMN79_gp09,SEA_MRYOLO_9,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
2234077,62362413,8,JMN79_gp08,SEA_MRYOLO_8,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2234077,62362414,6,JMN79_gp06,SEA_MRYOLO_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362415,5,JMN79_gp05,SEA_MRYOLO_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362416,4,JMN79_gp04,SEA_MRYOLO_4,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2234077,62362417,3,JMN79_gp03,SEA_MRYOLO_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362418,1,JMN79_gp01,SEA_MRYOLO_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2234077,62368987,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210125,-
