#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047843,64367676,KD928_gp02,KD928_gp02,SEA_PHILONIUS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210423,-
2047843,64367716,KD928_gp42,KD928_gp42,SEA_PHILONIUS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367717,KD928_gp43,KD928_gp43,SEA_PHILONIUS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367718,KD928_gp44,KD928_gp44,SEA_PHILONIUS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367719,KD928_gp45,KD928_gp45,SEA_PHILONIUS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367720,KD928_gp46,KD928_gp46,SEA_PHILONIUS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367721,KD928_gp47,KD928_gp47,SEA_PHILONIUS_47,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20210515,-
2047843,64367722,KD928_gp48,KD928_gp48,SEA_PHILONIUS_48,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210423,-
2047843,64367723,KD928_gp49,KD928_gp49,SEA_PHILONIUS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367724,KD928_gp50,KD928_gp50,SEA_PHILONIUS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367725,KD928_gp51,KD928_gp51,SEA_PHILONIUS_51,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20210605,-
2047843,64367726,KD928_gp52,KD928_gp52,SEA_PHILONIUS_52,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210423,-
2047843,64367727,KD928_gp53,KD928_gp53,SEA_PHILONIUS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367728,KD928_gp54,KD928_gp54,SEA_PHILONIUS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367729,KD928_gp55,KD928_gp55,SEA_PHILONIUS_55,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210423,-
2047843,64367730,KD928_gp56,KD928_gp56,SEA_PHILONIUS_56,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210423,-
2047843,64367731,KD928_gp57,KD928_gp57,SEA_PHILONIUS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367732,KD928_gp59,KD928_gp59,SEA_PHILONIUS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367733,KD928_gp58,KD928_gp58,SEA_PHILONIUS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367734,KD928_gp60,KD928_gp60,SEA_PHILONIUS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367735,KD928_gp61,KD928_gp61,SEA_PHILONIUS_61,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210423,-
2047843,64367736,KD928_gp62,KD928_gp62,SEA_PHILONIUS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367737,KD928_gp63,KD928_gp63,SEA_PHILONIUS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367738,KD928_gp64,KD928_gp64,SEA_PHILONIUS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367739,KD928_gp65,KD928_gp65,SEA_PHILONIUS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367740,KD928_gp66,KD928_gp66,SEA_PHILONIUS_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367741,KD928_gp67,KD928_gp67,SEA_PHILONIUS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367742,KD928_gp68,KD928_gp68,SEA_PHILONIUS_68,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210423,-
2047843,64367743,KD928_gp69,KD928_gp69,SEA_PHILONIUS_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367744,KD928_gp71,KD928_gp71,SEA_PHILONIUS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367745,KD928_gp72,KD928_gp72,SEA_PHILONIUS_72,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210423,-
2047843,64367746,KD928_gp70,KD928_gp70,SEA_PHILONIUS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367747,KD928_gp01,KD928_gp01,SEA_PHILONIUS_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64409714,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
