#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500823,24722585,PHL151M00_02,PHL151M00_02,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500823,24722612,PHL151M00_29,PHL151M00_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722613,PHL151M00_30,PHL151M00_30,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500823,24722614,PHL151M00_31,PHL151M00_31,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500823,24722615,PHL151M00_32,PHL151M00_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722616,PHL151M00_33,PHL151M00_33,-,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500823,24722617,PHL151M00_34,PHL151M00_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722618,PHL151M00_35,PHL151M00_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722619,PHL151M00_36,PHL151M00_36,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500823,24722620,PHL151M00_37,PHL151M00_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722621,PHL151M00_38,PHL151M00_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722622,PHL151M00_39,PHL151M00_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722623,PHL151M00_40,PHL151M00_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722624,PHL151M00_41,PHL151M00_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722625,PHL151M00_42,PHL151M00_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722626,PHL151M00_43,PHL151M00_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722627,PHL151M00_44,PHL151M00_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722628,PHL151M00_45,PHL151M00_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722629,PHL151M00_46,PHL151M00_46,-,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500823,24722630,PHL151M00_01,PHL151M00_01,-,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500823,24936540,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
