#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1445860,23680946,STP4a_186,STP4a_186,-,-,-,-,baseplate hub subunit tail length determinator,protein-coding,-,-,-,baseplate hub subunit tail length determinator,20201221,-
1445860,23680963,STP4a_203,STP4a_203,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1445860,23680964,STP4a_204,STP4a_204,-,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20201221,-
1445860,23680965,STP4a_205,STP4a_205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680966,STP4a_206,STP4a_206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680967,STP4a_207,STP4a_207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680968,STP4a_208,STP4a_208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680969,STP4a_209,STP4a_209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680970,STP4a_210,STP4a_210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680971,STP4a_211,STP4a_211,-,-,-,-,"3'-phosphatase,5'-polynucleotide kinase",protein-coding,-,-,-,"3'-phosphatase,5'-polynucleotide kinase",20201221,-
1445860,23680972,STP4a_212,STP4a_212,-,-,-,-,outer membrane lipoprotein,protein-coding,-,-,-,outer membrane lipoprotein,20201221,-
1445860,23680973,STP4a_213,STP4a_213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680974,STP4a_214,STP4a_214,-,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20201221,-
1445860,23680975,STP4a_215,STP4a_215,-,-,-,-,RNA ligase A,protein-coding,-,-,-,RNA ligase A,20201221,-
1445860,23680976,STP4a_216,STP4a_216,-,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20201221,-
1445860,23680977,STP4a_217,STP4a_217,-,-,-,-,ribonucleotide reductase of class la(aerobic) beta subunit,protein-coding,-,-,-,ribonucleotide reductase of class la(aerobic) beta subunit,20201221,-
1445860,23680978,STP4a_218,STP4a_218,-,-,-,-,NDP reductase large subunit,protein-coding,-,-,-,NDP reductase large subunit,20201221,-
1445860,23680979,STP4a_219,STP4a_219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680980,STP4a_220,STP4a_220,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201221,-
1445860,23680981,STP4a_221,STP4a_221,-,-,-,-,I-Tevl homing endonuclease,protein-coding,-,-,-,I-Tevl homing endonuclease,20201221,-
1445860,23680982,STP4a_222,STP4a_222,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201221,-
1445860,23680983,STP4a_223,STP4a_223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680984,STP4a_224,STP4a_224,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20201221,-
1445860,23680985,STP4a_225,STP4a_225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680986,STP4a_226,STP4a_226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680987,STP4a_227,STP4a_227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680988,STP4a_228,STP4a_228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680989,STP4a_229,STP4a_229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680990,STP4a_230,STP4a_230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680991,STP4a_231,STP4a_231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680992,STP4a_232,STP4a_232,-,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20201221,-
1445860,23680993,STP4a_233,STP4a_233,-,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20201221,-
1445860,23680994,STP4a_234,STP4a_234,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20201221,-
1445860,23680995,STP4a_235,STP4a_235,-,-,-,-,double-stranded DNA binding protein,protein-coding,-,-,-,double-stranded DNA binding protein,20201221,-
1445860,23680996,STP4a_236,STP4a_236,-,-,-,-,Rnase H,protein-coding,-,-,-,Rnase H,20201221,-
1445860,23680997,STP4a_237,STP4a_237,-,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20201221,-
1445860,23680998,STP4a_238,STP4a_238,-,-,-,-,hinge connector,protein-coding,-,-,-,hinge connector,20201221,-
1445860,23680999,STP4a_239,STP4a_239,-,-,-,-,hinge connector,protein-coding,-,-,-,hinge connector,20201221,-
1445860,23681000,STP4a_240,STP4a_240,-,-,-,-,long tail fiber distal subunit,protein-coding,-,-,-,long tail fiber distal subunit,20201221,-
1445860,23681001,STP4a_241,STP4a_241,-,-,-,-,receptor recognition protein,protein-coding,-,-,-,receptor recognition protein,20201221,-
1445860,23681002,STP4a_242,STP4a_242,-,-,-,-,T holin lysis mediator,protein-coding,-,-,-,T holin lysis mediator,20201221,-
1445860,23681003,STP4a_243,STP4a_243,-,-,-,-,anti-sigma 70 protein,protein-coding,-,-,-,anti-sigma 70 protein,20201221,-
1445860,23681004,STP4a_244,STP4a_244,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681005,STP4a_245,STP4a_245,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681006,STP4a_246,STP4a_246,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681007,STP4a_247,STP4a_247,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681008,STP4a_248,STP4a_248,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681009,STP4a_249,STP4a_249,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681010,STP4a_250,STP4a_250,-,-,-,-,activator of middle period transcription,protein-coding,-,-,-,activator of middle period transcription,20201221,-
1445860,23681011,STP4a_251,STP4a_251,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681012,STP4a_252,STP4a_252,-,-,-,-,DNA topisomerase II medium subunit,protein-coding,-,-,-,DNA topisomerase II medium subunit,20201221,-
1445860,23681013,STP4a_253,STP4a_253,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681014,STP4a_254,STP4a_254,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681015,STP4a_255,STP4a_255,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681016,STP4a_256,STP4a_256,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681017,STP4a_257,STP4a_257,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681018,STP4a_258,STP4a_258,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681019,STP4a_259,STP4a_259,-,-,-,-,RIIB protein,protein-coding,-,-,-,RIIB protein,20201221,-
1445860,23681020,STP4a_001,STP4a_001,-,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20201221,-
1445860,23681021,STP4a_002,STP4a_002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681022,STP4a_003,STP4a_003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681023,STP4a_004,STP4a_004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681024,STP4a_005,STP4a_005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681025,STP4a_006,STP4a_006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681026,STP4a_007,STP4a_007,-,-,-,-,FmdB family putative regulatory protein,protein-coding,-,-,-,FmdB family putative regulatory protein,20201221,-
1445860,23681027,STP4a_008,STP4a_008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681028,STP4a_009,STP4a_009,-,-,-,-,cef modifier of suppressor tRNAs,protein-coding,-,-,-,cef modifier of suppressor tRNAs,20201221,-
1445860,23681029,STP4a_010,STP4a_010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681030,STP4a_011,STP4a_011,-,-,-,-,exonuclease A DexA,protein-coding,-,-,-,exonuclease A DexA,20201221,-
1445860,23681031,STP4a_012,STP4a_012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681032,STP4a_013,STP4a_013,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1445860,23681033,STP4a_014,STP4a_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681034,STP4a_015,STP4a_015,-,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20201221,-
1445860,23681035,STP4a_016,STP4a_016,-,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20201221,-
1445860,23681036,STP4a_017,STP4a_017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681037,STP4a_018,STP4a_018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681038,STP4a_019,STP4a_019,-,-,-,-,putative decoy of sigma 32,protein-coding,-,-,-,putative decoy of sigma 32,20201221,-
1445860,23681039,STP4a_020,STP4a_020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681040,STP4a_021,STP4a_021,-,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20201221,-
1445860,23681041,STP4a_022,STP4a_022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681042,STP4a_023,STP4a_023,-,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20201221,-
1445860,23681043,STP4a_024,STP4a_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681044,STP4a_025,STP4a_025,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1445860,23681045,STP4a_026,STP4a_026,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20201221,-
1445860,23681046,STP4a_027,STP4a_027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681047,STP4a_028,STP4a_028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681048,STP4a_029,STP4a_029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681049,STP4a_031,STP4a_031,-,-,-,-,DNA primase-helicase,protein-coding,-,-,-,DNA primase-helicase,20201221,-
1445860,23681050,STP4a_032,STP4a_032,-,-,-,-,head vertex assembly chaperone,protein-coding,-,-,-,head vertex assembly chaperone,20201221,-
1445860,23681051,STP4a_033,STP4a_033,-,-,-,-,RecA-like recombinase protein UvsX,protein-coding,-,-,-,RecA-like recombinase protein UvsX,20201221,-
1445860,23681052,STP4a_034,STP4a_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681053,STP4a_035,STP4a_035,-,-,-,-,beta-glucosyl-transferase,protein-coding,-,-,-,beta-glucosyl-transferase,20201221,-
1445860,23681054,STP4a_036,STP4a_036,-,-,-,-,beta-glucosyl-HMC-alpha-glucosyl-transferase,protein-coding,-,-,-,beta-glucosyl-HMC-alpha-glucosyl-transferase,20201221,-
1445860,23681055,STP4a_037,STP4a_037,-,-,-,-,dCMP hydroxymethylase,protein-coding,-,-,-,dCMP hydroxymethylase,20201221,-
1445860,23681056,STP4a_038,STP4a_038,-,-,-,-,immunity to superinfection membrane protein,protein-coding,-,-,-,immunity to superinfection membrane protein,20201221,-
1445860,23681057,STP4a_039,STP4a_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681058,STP4a_040,STP4a_040,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1445860,23681059,STP4a_041,STP4a_041,-,-,-,-,translational repressor protein,protein-coding,-,-,-,translational repressor protein,20201221,-
1445860,23681060,STP4a_042,STP4a_042,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20201221,-
1445860,23681061,STP4a_043,STP4a_043,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20201221,-
1445860,23681062,STP4a_044,STP4a_044,-,-,-,-,sliding clamp DNA polymerase accessory,protein-coding,-,-,-,sliding clamp DNA polymerase accessory,20201221,-
1445860,23681063,STP4a_045,STP4a_045,-,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20201221,-
1445860,23681064,STP4a_046,STP4a_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681065,STP4a_047,STP4a_047,-,-,-,-,recombination-related endonuclease,protein-coding,-,-,-,recombination-related endonuclease,20201221,-
1445860,23681066,STP4a_048,STP4a_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681067,STP4a_049,STP4a_049,-,-,-,-,recombination-related endonuclease,protein-coding,-,-,-,recombination-related endonuclease,20201221,-
1445860,23681068,STP4a_050,STP4a_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681069,STP4a_051,STP4a_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681070,STP4a_052,STP4a_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681071,STP4a_053,STP4a_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681072,STP4a_054,STP4a_054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681073,STP4a_055,STP4a_055,-,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20201221,-
1445860,23681074,STP4a_056,STP4a_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681075,STP4a_057,STP4a_057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681076,STP4a_058,STP4a_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681077,STP4a_059,STP4a_059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681078,STP4a_060,STP4a_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681079,STP4a_061,STP4a_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681080,STP4a_062,STP4a_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681081,STP4a_063,STP4a_063,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20201221,-
1445860,23681082,STP4a_065,STP4a_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681083,STP4a_066,STP4a_066,-,-,-,-,anaerobic ribonucleotide reductase,protein-coding,-,-,-,anaerobic ribonucleotide reductase,20201221,-
1445860,23681084,STP4a_064,STP4a_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681085,STP4a_067,STP4a_067,-,-,-,-,anaerobic ribonucleotide reductase,protein-coding,-,-,-,anaerobic ribonucleotide reductase,20201221,-
1445860,23681086,STP4a_068,STP4a_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681087,STP4a_069,STP4a_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681088,STP4a_070,STP4a_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681089,STP4a_071,STP4a_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681090,STP4a_072,STP4a_072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681091,STP4a_073,STP4a_073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681092,STP4a_074,STP4a_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681093,STP4a_075,STP4a_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681094,STP4a_076,STP4a_076,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20201221,-
1445860,23681095,STP4a_077,STP4a_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681096,STP4a_078,STP4a_078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681097,STP4a_079,STP4a_079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681098,STP4a_080,STP4a_080,-,-,-,-,secreted glycosyl hydrolase,protein-coding,-,-,-,secreted glycosyl hydrolase,20201221,-
1445860,23681099,STP4a_081,STP4a_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681100,STP4a_082,STP4a_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681101,STP4a_083,STP4a_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681102,STP4a_084,STP4a_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681103,STP4a_085,STP4a_085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681104,STP4a_086,STP4a_086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681105,STP4a_087,STP4a_087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681106,STP4a_088,STP4a_088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681107,STP4a_089,STP4a_089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681108,STP4a_090,STP4a_090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681109,STP4a_091,STP4a_091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681110,STP4a_092,STP4a_092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681111,STP4a_093,STP4a_093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681112,STP4a_094,STP4a_094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681113,STP4a_095,STP4a_095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681114,STP4a_096,STP4a_096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681115,STP4a_097,STP4a_097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681116,STP4a_098,STP4a_098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681117,STP4a_099,STP4a_099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681118,STP4a_100,STP4a_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681119,STP4a_101,STP4a_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681120,STP4a_102,STP4a_102,-,-,-,-,rI lysis inhibition regulator,protein-coding,-,-,-,rI lysis inhibition regulator,20201221,-
1445860,23681121,STP4a_103,STP4a_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681122,STP4a_104,STP4a_104,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20201221,-
1445860,23681123,STP4a_105,STP4a_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681124,STP4a_106,STP4a_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681125,STP4a_107,STP4a_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681126,STP4a_108,STP4a_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681127,STP4a_110,STP4a_110,-,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20201221,-
1445860,23681128,STP4a_111,STP4a_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681129,STP4a_112,STP4a_112,-,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20201221,-
1445860,23681130,STP4a_113,STP4a_113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681131,STP4a_114,STP4a_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681132,STP4a_115,STP4a_115,-,-,-,-,putative IPIII internal head protein,protein-coding,-,-,-,putative IPIII internal head protein,20201221,-
1445860,23681133,STP4a_116,STP4a_116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681134,STP4a_117,STP4a_117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681135,STP4a_118,STP4a_118,-,-,-,-,endonuclease V,protein-coding,-,-,-,endonuclease V,20201221,-
1445860,23681136,STP4a_119,STP4a_119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681137,STP4a_120,STP4a_120,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1445860,23681138,STP4a_121,STP4a_121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681139,STP4a_122,STP4a_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681140,STP4a_123,STP4a_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681141,STP4a_124,STP4a_124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681142,STP4a_125,STP4a_125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681143,STP4a_126,STP4a_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681144,STP4a_127,STP4a_127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681145,STP4a_128,STP4a_128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681146,STP4a_129,STP4a_129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681147,STP4a_130,STP4a_130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23681148,STP4a_131,STP4a_131,-,-,-,-,57A chaperone for long tail fiber formation,protein-coding,-,-,-,57A chaperone for long tail fiber formation,20201221,-
1445860,23681149,STP4a_132,STP4a_132,-,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20201221,-
1445860,23681150,STP4a_133,STP4a_133,-,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20201221,-
