#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419956,55006642,2,HOU49_gp02,PBI_EILEEN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2419956,55006654,14,HOU49_gp14,PBI_EILEEN_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
2419956,55006655,16,HOU49_gp15,PBI_EILEEN_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2419956,55006656,19,HOU49_gp19,PBI_EILEEN_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2419956,55006657,20,HOU49_gp20,PBI_EILEEN_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2419956,55006658,21,HOU49_gp21,PBI_EILEEN_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2419956,55006659,22,HOU49_gp22,PBI_EILEEN_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2419956,55006660,23,HOU49_gp23,PBI_EILEEN_23,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2419956,55006661,24,HOU49_gp24,PBI_EILEEN_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006662,25,HOU49_gp25,PBI_EILEEN_25,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200910,-
2419956,55006663,26,HOU49_gp26,PBI_EILEEN_26,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2419956,55006664,27,HOU49_gp27,PBI_EILEEN_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006665,28,HOU49_gp28,PBI_EILEEN_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006666,29,HOU49_gp29,PBI_EILEEN_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419956,55006667,30,HOU49_gp30,PBI_EILEEN_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006668,31,HOU49_gp31,PBI_EILEEN_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006669,32,HOU49_gp32,PBI_EILEEN_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006670,33,HOU49_gp33,PBI_EILEEN_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006671,34,HOU49_gp34,PBI_EILEEN_34,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2419956,55006672,35,HOU49_gp35,PBI_EILEEN_35,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210403,-
2419956,55006673,36,HOU49_gp36,PBI_EILEEN_36,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210403,-
2419956,55006674,37,HOU49_gp37,PBI_EILEEN_37,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210403,-
2419956,55006675,38,HOU49_gp38,PBI_EILEEN_38,-,-,-,excise,protein-coding,-,-,-,excise,20200910,-
2419956,55006676,39,HOU49_gp39,PBI_EILEEN_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006677,40,HOU49_gp40,PBI_EILEEN_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006678,41,HOU49_gp41,PBI_EILEEN_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006679,42,HOU49_gp42,PBI_EILEEN_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006680,43,HOU49_gp43,PBI_EILEEN_43,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200910,-
2419956,55006681,44,HOU49_gp44,PBI_EILEEN_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006682,45,HOU49_gp45,PBI_EILEEN_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006683,47,HOU49_gp47,PBI_EILEEN_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006684,48,HOU49_gp48,PBI_EILEEN_48,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200910,-
2419956,55006685,49,HOU49_gp49,PBI_EILEEN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006686,50,HOU49_gp50,PBI_EILEEN_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006687,51,HOU49_gp51,PBI_EILEEN_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006688,52,HOU49_gp52,PBI_EILEEN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006689,53,HOU49_gp53,PBI_EILEEN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006690,54,HOU49_gp54,PBI_EILEEN_54,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210403,-
2419956,55006691,56,HOU49_gp56,PBI_EILEEN_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006692,57,HOU49_gp57,PBI_EILEEN_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006693,58,HOU49_gp58,PBI_EILEEN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006694,59,HOU49_gp59,PBI_EILEEN_59,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20200910,-
2419956,55006695,60,HOU49_gp60,PBI_EILEEN_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006696,61,HOU49_gp61,PBI_EILEEN_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006697,62,HOU49_gt01,PBI_EILEEN_62,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2419956,55006698,64,HOU49_gp62,PBI_EILEEN_64,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
2419956,55006699,55,HOU49_gp55,PBI_EILEEN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006700,46,HOU49_gp46,PBI_EILEEN_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006701,18,HOU49_gp18,PBI_EILEEN_18,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2419956,55006702,63,HOU49_gp63,PBI_EILEEN_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419956,55006703,17,HOU49_gp17,PBI_EILEEN_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006704,15,HOU49_gp16,PBI_EILEEN_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2419956,55006705,1,HOU49_gp01,PBI_EILEEN_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210403,-
2419956,55154220,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
