#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1340822,16547504,2,PBI_DAENERYS_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1340822,16547533,31,PBI_DAENERYS_31,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1340822,16547534,32,PBI_DAENERYS_32,-,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1340822,16547535,33,PBI_DAENERYS_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547536,34,PBI_DAENERYS_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547537,35,PBI_DAENERYS_35,-,-,-,-,DnaQ-like protein,protein-coding,-,-,-,DnaQ-like protein,20210129,-
1340822,16547538,36,PBI_DAENERYS_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547539,37,PBI_DAENERYS_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547540,38,PBI_DAENERYS_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547541,39,PBI_DAENERYS_39,-,-,-,-,Xis,protein-coding,-,-,-,Xis,20210123,-
1340822,16547542,40,PBI_DAENERYS_40,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
1340822,16547543,41,PBI_DAENERYS_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547544,42,PBI_DAENERYS_42,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1340822,16547545,43,PBI_DAENERYS_43,-,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20201221,-
1340822,16547546,44,PBI_DAENERYS_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547547,45,PBI_DAENERYS_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1340822,16547548,46,PBI_DAENERYS_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547549,47,PBI_DAENERYS_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547550,48,PBI_DAENERYS_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547551,49,PBI_DAENERYS_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547552,50,PBI_DAENERYS_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1340822,16547553,51,PBI_DAENERYS_51,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210417,-
1340822,16547554,52,PBI_DAENERYS_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547555,53,PBI_DAENERYS_53,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210403,-
1340822,16547556,54,PBI_DAENERYS_54,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210212,-
1340822,16547557,55,PBI_DAENERYS_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547558,56,PBI_DAENERYS_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547559,57,PBI_DAENERYS_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547560,58,PBI_DAENERYS_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1340822,16547561,59,PBI_DAENERYS_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547562,60,PBI_DAENERYS_60,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1340822,16547563,61,PBI_DAENERYS_61,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210529,-
1340822,16547564,62,PBI_DAENERYS_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547565,63,PBI_DAENERYS_63,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210123,-
1340822,16547566,64,PBI_DAENERYS_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547567,65,PBI_DAENERYS_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547568,66,PBI_DAENERYS_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547569,67,PBI_DAENERYS_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547570,68,PBI_DAENERYS_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547571,69,PBI_DAENERYS_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547572,70,PBI_DAENERYS_70,-,-,-,-,methylase,protein-coding,-,-,-,methylase,20201221,-
1340822,16547573,71,PBI_DAENERYS_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547574,72,PBI_DAENERYS_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547575,73,PBI_DAENERYS_73,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210212,-
1340822,16547576,74,PBI_DAENERYS_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547577,75,PBI_DAENERYS_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547578,76,PBI_DAENERYS_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547579,77,PBI_DAENERYS_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547580,78,PBI_DAENERYS_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547581,79,PBI_DAENERYS_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547582,80,PBI_DAENERYS_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547583,81,PBI_DAENERYS_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547584,82,PBI_DAENERYS_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547585,83,PBI_DAENERYS_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547586,84,PBI_DAENERYS_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547587,85,PBI_DAENERYS_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547588,86,PBI_DAENERYS_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547589,87,PBI_DAENERYS_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547590,88,PBI_DAENERYS_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547591,89,PBI_DAENERYS_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547592,90,PBI_DAENERYS_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547593,91,PBI_DAENERYS_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547594,92,PBI_DAENERYS_92,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20210424,-
1340822,16547595,93,PBI_DAENERYS_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547596,94,PBI_DAENERYS_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547597,95,PBI_DAENERYS_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547598,96,PBI_DAENERYS_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547599,97,PBI_DAENERYS_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547600,98,PBI_DAENERYS_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547601,99,PBI_DAENERYS_99,-,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20201221,-
1340822,16547602,100,PBI_DAENERYS_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547603,101,PBI_DAENERYS_101,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1340822,16547604,102,PBI_DAENERYS_102,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
1340822,16547605,1,PBI_DAENERYS_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16691743,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Daenerys).,other,-,-,-,-,20200513,-
