#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1589751,26629180,AVV24_gp02,AVV24_gp02,LILY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1589751,26629221,AVV24_gp43,AVV24_gp43,LILY_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629222,AVV24_gp44,AVV24_gp44,LILY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629223,AVV24_gp45,AVV24_gp45,LILY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629224,AVV24_gp46,AVV24_gp46,LILY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629225,AVV24_gp47,AVV24_gp47,LILY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629226,AVV24_gp48,AVV24_gp48,LILY_48,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20200629,-
1589751,26629227,AVV24_gp49,AVV24_gp49,LILY_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629228,AVV24_gp50,AVV24_gp50,LILY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629229,AVV24_gp51,AVV24_gp51,LILY_51,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20200629,-
1589751,26629230,AVV24_gp52,AVV24_gp52,LILY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629231,AVV24_gp53,AVV24_gp53,LILY_53,-,-,-,RecT-like protein,protein-coding,-,-,-,RecT-like protein,20200629,-
1589751,26629232,AVV24_gp54,AVV24_gp54,LILY_54,-,-,-,beta-lactamase-like hydrolase,protein-coding,-,-,-,beta-lactamase-like hydrolase,20200629,-
1589751,26629233,AVV24_gp55,AVV24_gp55,LILY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629234,AVV24_gp56,AVV24_gp56,LILY_56,-,-,-,primosome component-like protein,protein-coding,-,-,-,primosome component-like protein,20200629,-
1589751,26629235,AVV24_gp57,AVV24_gp57,LILY_57,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200629,-
1589751,26629236,AVV24_gp58,AVV24_gp58,LILY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629237,AVV24_gp59,AVV24_gp59,LILY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629238,AVV24_gp60,AVV24_gp60,LILY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629239,AVV24_gp61,AVV24_gp61,LILY_61,-,-,-,DNA N-6-adenine methyltransferase,protein-coding,-,-,-,DNA N-6-adenine methyltransferase,20200629,-
1589751,26629240,AVV24_gp62,AVV24_gp62,LILY_62,-,-,-,DNA-cytosine methyltransferase,protein-coding,-,-,-,DNA-cytosine methyltransferase,20200629,-
1589751,26629241,AVV24_gp63,AVV24_gp63,LILY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629242,AVV24_gp64,AVV24_gp64,LILY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629243,AVV24_gp65,AVV24_gp65,LILY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629244,AVV24_gp66,AVV24_gp66,LILY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629245,AVV24_gp67,AVV24_gp67,LILY_67,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20200629,-
1589751,26629246,AVV24_gp68,AVV24_gp68,LILY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629247,AVV24_gp69,AVV24_gp69,LILY_69,-,-,-,ArpU-like transcriptional regulator,protein-coding,-,-,-,ArpU-like transcriptional regulator,20200629,-
1589751,26629248,AVV24_gp70,AVV24_gp70,LILY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629249,AVV24_gp71,AVV24_gp71,LILY_71,-,-,-,serine recombinase,protein-coding,-,-,-,serine recombinase,20200629,-
1589751,26629250,AVV24_gp72,AVV24_gp72,LILY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629251,AVV24_gp73,AVV24_gp73,LILY_73,-,-,-,type II toxin-antitoxin system HicB family antitoxin,protein-coding,-,-,-,type II toxin-antitoxin system HicB family antitoxin,20201221,-
1589751,26629252,AVV24_gp74,AVV24_gp74,LILY_74,-,-,-,type II toxin-antitoxin system HicA family toxin,protein-coding,-,-,-,type II toxin-antitoxin system HicA family toxin,20201221,-
1589751,26629253,AVV24_gp01,AVV24_gp01,LILY_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1589751,26680726,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
