#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500818,24667741,PHL117M00_02,PHL117M00_02,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500818,24667771,PHL117M00_32,PHL117M00_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667772,PHL117M00_33,PHL117M00_33,-,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500818,24667773,PHL117M00_34,PHL117M00_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667774,PHL117M00_35,PHL117M00_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667775,PHL117M00_36,PHL117M00_36,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500818,24667776,PHL117M00_37,PHL117M00_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667777,PHL117M00_38,PHL117M00_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667778,PHL117M00_39,PHL117M00_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667779,PHL117M00_40,PHL117M00_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667780,PHL117M00_41,PHL117M00_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667781,PHL117M00_42,PHL117M00_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667782,PHL117M00_43,PHL117M00_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667783,PHL117M00_44,PHL117M00_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667784,PHL117M00_45,PHL117M00_45,-,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500818,24667785,PHL117M00_01,PHL117M00_01,-,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500818,24936534,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
