#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5059,7944271,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Aspergillus flavus var. parvisclerotigenus; Aspergillus parvisclerotigenus; Petromyces flavus).,other,-,-,-,-,20201031,-
5059,24161239,YC10_gt21,YC10_gt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161240,YC10_gt22,YC10_gt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161241,YC10_gt23,YC10_gt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161242,YC10_gt24,YC10_gt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161243,YC10_gt25,YC10_gt25,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161244,YC10_gt26,YC10_gt26,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161245,YC10_gt27,YC10_gt27,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161246,YC10_gt28,YC10_gt28,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161247,YC10_gt29,YC10_gt29,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161248,YC10_gp05,YC10_gp05,-,-,MT,-,nad1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20160924,-
5059,24161249,YC10_gt31,YC10_gt31,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161250,YC10_gp03,YC10_gp03,-,-,MT,-,orf154,protein-coding,-,-,-,hypothetical protein,20150715,-
5059,24161251,YC10_gt17,YC10_gt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161252,YC10_gp04,YC10_gp04,-,-,MT,-,nad4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20160924,-
5059,24161253,YC10_gt30,YC10_gt30,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161254,YC10_gt02,YC10_gt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161255,YC10_gp17,YC10_gp17,-,-,MT,-,cox1,protein-coding,-,-,-,cytochrome oxidase subunit 1,20160924,-
5059,24161256,YC10_gp15,YC10_gp15,-,-,MT,-,nad3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20160924,-
5059,24161257,YC10_gp13,YC10_gp13,-,-,MT,-,nad4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20160924,-
5059,24161258,YC10_gt06,YC10_gt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161259,YC10_gp10,YC10_gp10,-,-,MT,-,atp8,protein-coding,-,-,-,ATP synthase subunit 8,20160924,-
5059,24161260,YC10_gt07,YC10_gt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161261,YC10_gp08,YC10_gp08,-,-,MT,-,nad6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20160716,-
5059,24161262,YC10_gt09,YC10_gt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161263,YC10_gt10,YC10_gt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161264,YC10_gt11,YC10_gt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161265,YC10_gt12,YC10_gt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
