#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1537102,15802624,BEWA_015190,BEWA_015190,-,-,4,-,cysteine protease,protein-coding,-,-,-,cysteine protease,20200911,-
1537102,15802656,BEWA_015530,BEWA_015530,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802657,BEWA_015540,BEWA_015540,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802658,BEWA_015550,BEWA_015550,-,-,4,-,"ABC transporter, ATP-binding protein domain containing protein",protein-coding,-,-,-,"ABC transporter, ATP-binding protein domain containing protein",20200911,-
1537102,15802659,BEWA_015560,BEWA_015560,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802660,BEWA_015570,BEWA_015570,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802661,BEWA_015580,BEWA_015580,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802662,BEWA_015590,BEWA_015590,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802663,BEWA_015600,BEWA_015600,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802664,BEWA_015610,BEWA_015610,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802665,BEWA_015620,BEWA_015620,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802666,BEWA_015630,BEWA_015630,-,-,4,-,signal peptide containing protein,protein-coding,-,-,-,signal peptide containing protein,20200911,-
1537102,15802667,BEWA_015640,BEWA_015640,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802668,BEWA_015650,BEWA_015650,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802669,BEWA_015660,BEWA_015660,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802670,BEWA_015670,BEWA_015670,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802671,BEWA_015680,BEWA_015680,-,-,4,-,"ABC transporter, ATP-binding protein domain containing protein",protein-coding,-,-,-,"ABC transporter, ATP-binding protein domain containing protein",20200911,-
1537102,15802672,BEWA_015690,BEWA_015690,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802673,BEWA_015700,BEWA_015700,-,-,4,-,signal peptide containing protein,protein-coding,-,-,-,signal peptide containing protein,20200911,-
1537102,15802674,BEWA_015710,BEWA_015710,-,-,4,-,polyprenyl synthetase family member protein,protein-coding,-,-,-,polyprenyl synthetase family member protein,20200911,-
1537102,15802675,BEWA_015720,BEWA_015720,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802676,BEWA_015730,BEWA_015730,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802677,BEWA_015740,BEWA_015740,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802678,BEWA_015750,BEWA_015750,-,-,4,-,Formin 2 Domain containing protein,protein-coding,-,-,-,Formin 2 Domain containing protein,20200911,-
1537102,15802679,BEWA_015760,BEWA_015760,-,-,4,-,signal peptide containing protein,protein-coding,-,-,-,signal peptide containing protein,20200911,-
1537102,15802680,BEWA_015770,BEWA_015770,-,-,4,-,signal peptide containing protein,protein-coding,-,-,-,signal peptide containing protein,20200911,-
1537102,15802681,BEWA_015780,BEWA_015780,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802682,BEWA_015790,BEWA_015790,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802683,BEWA_015800,BEWA_015800,-,-,4,-,"DNA replication licensing factor MCM7, putative",protein-coding,-,-,-,"DNA replication licensing factor MCM7, putative",20200911,-
1537102,15802684,BEWA_015810,BEWA_015810,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802685,BEWA_015820,BEWA_015820,-,-,4,-,signal peptide containing protein,protein-coding,-,-,-,signal peptide containing protein,20200911,-
1537102,15802686,BEWA_015830,BEWA_015830,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802687,BEWA_015840,BEWA_015840,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802688,BEWA_015850,BEWA_015850,-,-,4,-,"membrane protein, hypothetical",protein-coding,-,-,-,"membrane protein, hypothetical",20200911,-
1537102,15802689,BEWA_015860,BEWA_015860,-,-,4,-,signal peptide containing protein,protein-coding,-,-,-,signal peptide containing protein,20200911,-
1537102,15802690,BEWA_015870,BEWA_015870,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802691,BEWA_015880,BEWA_015880,-,-,4,-,"tubulin gamma chain, putative",protein-coding,-,-,-,"tubulin gamma chain, putative",20200911,-
1537102,15802692,BEWA_015890,BEWA_015890,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802693,BEWA_015900,BEWA_015900,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802694,BEWA_015910,BEWA_015910,-,-,4,-,"seryl-tRNA synthetase, putative",protein-coding,-,-,-,"seryl-tRNA synthetase, putative",20200911,-
1537102,15802695,BEWA_015920,BEWA_015920,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802696,BEWA_015930,BEWA_015930,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802697,BEWA_015940,BEWA_015940,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802698,BEWA_015950,BEWA_015950,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802699,BEWA_015960,BEWA_015960,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802700,BEWA_015970,BEWA_015970,-,-,4,-,"RNA 3' terminal phosphate cyclase, putative",protein-coding,-,-,-,"RNA 3' terminal phosphate cyclase, putative",20200911,-
1537102,15802701,BEWA_015980,BEWA_015980,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802702,BEWA_015990,BEWA_015990,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802703,BEWA_016000,BEWA_016000,-,-,4,-,"flavoprotein subunit of succinate dehydrogenase, putative",protein-coding,-,-,-,"flavoprotein subunit of succinate dehydrogenase, putative",20200911,-
1537102,15802704,BEWA_016010,BEWA_016010,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802705,BEWA_016020,BEWA_016020,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802706,BEWA_016030,BEWA_016030,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802707,BEWA_016040,BEWA_016040,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802708,BEWA_016050,BEWA_016050,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802709,BEWA_016060,BEWA_016060,-,-,4,-,dihydrolipoyl dehydrogenase family protein,protein-coding,-,-,-,dihydrolipoyl dehydrogenase family protein,20200911,-
1537102,15802710,BEWA_016070,BEWA_016070,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802711,BEWA_016080,BEWA_016080,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802712,BEWA_016090,BEWA_016090,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802713,BEWA_016100,BEWA_016100,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802714,BEWA_016110,BEWA_016110,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802715,BEWA_016120,BEWA_016120,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802716,BEWA_016130,BEWA_016130,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802717,BEWA_016140,BEWA_016140,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802718,BEWA_016150,BEWA_016150,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802719,BEWA_016160,BEWA_016160,-,-,4,-,RNA recognition motif domain containing protein,protein-coding,-,-,-,RNA recognition motif domain containing protein,20200911,-
1537102,15802720,BEWA_016170,BEWA_016170,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802721,BEWA_016180,BEWA_016180,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802722,BEWA_016190,BEWA_016190,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802723,BEWA_016200,BEWA_016200,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802724,BEWA_016210,BEWA_016210,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802725,BEWA_016220,BEWA_016220,-,-,4,-,"Cytosol aminopeptidase family, catalytic domain containing family",protein-coding,-,-,-,"Cytosol aminopeptidase family, catalytic domain containing family",20200911,-
1537102,15802726,BEWA_016230,BEWA_016230,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802727,BEWA_016240,BEWA_016240,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802728,BEWA_016250,BEWA_016250,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802729,BEWA_016260,BEWA_016260,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802730,BEWA_016270,BEWA_016270,-,-,4,-,"60S ribosomal protein L24, putative",protein-coding,-,-,-,"60S ribosomal protein L24, putative",20200911,-
1537102,15802731,BEWA_016280,BEWA_016280,-,-,4,-,"peptidylprolyl isomerase, putative",protein-coding,-,-,-,"peptidylprolyl isomerase, putative",20200911,-
1537102,15802732,BEWA_016290,BEWA_016290,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802733,BEWA_016300,BEWA_016300,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802734,BEWA_016310,BEWA_016310,-,-,4,-,signal peptide containing protein,protein-coding,-,-,-,signal peptide containing protein,20200911,-
1537102,15802735,BEWA_016320,BEWA_016320,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802736,BEWA_016330,BEWA_016330,-,-,4,-,"ABC transporter, ATP-binding protein domain containing protein",protein-coding,-,-,-,"ABC transporter, ATP-binding protein domain containing protein",20200911,-
1537102,15802737,BEWA_016340,BEWA_016340,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802738,BEWA_016350,BEWA_016350,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802739,BEWA_016360,BEWA_016360,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802740,BEWA_015400,BEWA_015400,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802741,BEWA_015390,BEWA_015390,-,-,4,-,tRNA,tRNA,-,-,-,-,20200911,-
1537102,15802742,BEWA_051890,BEWA_051890,-,-,4,-,signal peptide containing protein,protein-coding,-,-,-,signal peptide containing protein,20200911,-
1537102,15802743,BEWA_051900,BEWA_051900,-,-,4,-,"4-hydroxybenzoate octaprenyltransferase, putative",protein-coding,-,-,-,"4-hydroxybenzoate octaprenyltransferase, putative",20200911,-
1537102,15802744,BEWA_051910,BEWA_051910,-,-,4,-,MAC/Perforin domain containing protein,protein-coding,-,-,-,MAC/Perforin domain containing protein,20200911,-
1537102,15802745,BEWA_051920,BEWA_051920,-,-,4,-,MAC/Perforin domain containing protein,protein-coding,-,-,-,MAC/Perforin domain containing protein,20200911,-
1537102,15802746,BEWA_051930,BEWA_051930,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802747,BEWA_051940,BEWA_051940,-,-,4,-,small GTP-binding protein domain containing protein,protein-coding,-,-,-,small GTP-binding protein domain containing protein,20200911,-
1537102,15802748,BEWA_051950,BEWA_051950,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802749,BEWA_051960,BEWA_051960,-,-,4,-,"cytosine deaminase, putative",protein-coding,-,-,-,"cytosine deaminase, putative",20200911,-
1537102,15802750,BEWA_051970,BEWA_051970,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802751,BEWA_051980,BEWA_051980,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802752,BEWA_051990,BEWA_051990,-,-,4,-,DEAD box ATP-dependent RNA helicase family member protein,protein-coding,-,-,-,DEAD box ATP-dependent RNA helicase family member protein,20200911,-
1537102,15802753,BEWA_052000,BEWA_052000,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802754,BEWA_052010,BEWA_052010,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802755,BEWA_052020,BEWA_052020,-,-,4,-,"eukaryotic translation initiation factor 3 subunit 7, putative",protein-coding,-,-,-,"eukaryotic translation initiation factor 3 subunit 7, putative",20200911,-
1537102,15802756,BEWA_052030,BEWA_052030,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802757,BEWA_052040,BEWA_052040,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802758,BEWA_052050,BEWA_052050,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802759,BEWA_052060,BEWA_052060,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802760,BEWA_052070,BEWA_052070,-,-,4,-,"60S ribosomal protein L15, putative",protein-coding,-,-,-,"60S ribosomal protein L15, putative",20200911,-
1537102,15802761,BEWA_052080,BEWA_052080,-,-,4,-,"clathrin adaptor complex small chain, putative",protein-coding,-,-,-,"clathrin adaptor complex small chain, putative",20200911,-
1537102,15802762,BEWA_052090,BEWA_052090,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802763,BEWA_052100,BEWA_052100,-,-,4,-,"malate:quinone oxidoreductase, putative",protein-coding,-,-,-,"malate:quinone oxidoreductase, putative",20200911,-
1537102,15802764,BEWA_052110,BEWA_052110,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802765,BEWA_052120,BEWA_052120,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802766,BEWA_052130,BEWA_052130,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802767,BEWA_052140,BEWA_052140,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802768,BEWA_052150,BEWA_052150,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802769,BEWA_052160,BEWA_052160,-,-,4,-,"zinc transport protein, putative",protein-coding,-,-,-,"zinc transport protein, putative",20200911,-
1537102,15802770,BEWA_052170,BEWA_052170,-,-,4,-,nucleoside diphosphate hydrolase,protein-coding,-,-,-,nucleoside diphosphate hydrolase,20200911,-
1537102,15802771,BEWA_052180,BEWA_052180,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802772,BEWA_052190,BEWA_052190,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802773,BEWA_052210,BEWA_052210,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802774,BEWA_052220,BEWA_052220,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802775,BEWA_052230,BEWA_052230,-,-,4,-,signal peptide containing protein,protein-coding,-,-,-,signal peptide containing protein,20200911,-
1537102,15802776,BEWA_052240,BEWA_052240,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802777,BEWA_052250,BEWA_052250,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802778,BEWA_052260,BEWA_052260,-,-,4,-,"adenylosuccinate lyase, putative",protein-coding,-,-,-,"adenylosuccinate lyase, putative",20200911,-
1537102,15802779,BEWA_052270,BEWA_052270,-,-,4,-,"ribosomal protein S9, putative",protein-coding,-,-,-,"ribosomal protein S9, putative",20200911,-
1537102,15802780,BEWA_052280,BEWA_052280,-,-,4,-,Ras-related protein Rab1b small GTP-binding protein,protein-coding,-,-,-,Ras-related protein Rab1b small GTP-binding protein,20200911,-
1537102,15802781,BEWA_052290,BEWA_052290,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802782,BEWA_052300,BEWA_052300,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802783,BEWA_052310,BEWA_052310,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802784,BEWA_052320,BEWA_052320,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802785,BEWA_052330,BEWA_052330,-,-,4,-,signal peptide containing protein,protein-coding,-,-,-,signal peptide containing protein,20200911,-
1537102,15802786,BEWA_052340,BEWA_052340,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802787,BEWA_052350,BEWA_052350,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802788,BEWA_052360,BEWA_052360,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802789,BEWA_052370,BEWA_052370,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802790,BEWA_052380,BEWA_052380,-,-,4,-,"chaperonin containing t-complex protein 1, beta subunit, putative",protein-coding,-,-,-,"chaperonin containing t-complex protein 1, beta subunit, putative",20200911,-
1537102,15802791,BEWA_052390,BEWA_052390,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802792,BEWA_052400,BEWA_052400,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802793,BEWA_052410,BEWA_052410,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802794,BEWA_052420,BEWA_052420,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802795,BEWA_052430,BEWA_052430,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802796,BEWA_052440,BEWA_052440,-,-,4,-,"glycerol-3-phosphate dehydrogenase, putative",protein-coding,-,-,-,"glycerol-3-phosphate dehydrogenase, putative",20200911,-
1537102,15802797,BEWA_052450,BEWA_052450,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802798,BEWA_052460,BEWA_052460,-,-,4,-,"U5 small ribonucleoprotein-specific helicase, putative",protein-coding,-,-,-,"U5 small ribonucleoprotein-specific helicase, putative",20200911,-
1537102,15802799,BEWA_052470,BEWA_052470,-,-,4,-,"DNA-directed RNA polymerase III subunit, putative",protein-coding,-,-,-,"DNA-directed RNA polymerase III subunit, putative",20200911,-
1537102,15802800,BEWA_052480,BEWA_052480,-,-,4,-,"40S ribosomal protein S23, putative",protein-coding,-,-,-,"40S ribosomal protein S23, putative",20200911,-
1537102,15802801,BEWA_052490,BEWA_052490,-,-,4,-,"60S ribosomal protein L7, putative",protein-coding,-,-,-,"60S ribosomal protein L7, putative",20200911,-
1537102,15802802,BEWA_052500,BEWA_052500,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802803,BEWA_052510,BEWA_052510,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802804,BEWA_052520,BEWA_052520,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802805,BEWA_052530,BEWA_052530,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802806,BEWA_052540,BEWA_052540,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802807,BEWA_052550,BEWA_052550,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802808,BEWA_052560,BEWA_052560,-,-,4,-,"translocase of inner mitochondrial membrane, putative",protein-coding,-,-,-,"translocase of inner mitochondrial membrane, putative",20200911,-
1537102,15802809,BEWA_052570,BEWA_052570,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802810,BEWA_052580,BEWA_052580,-,-,4,-,"WD domain, G-beta repeat containing protein",protein-coding,-,-,-,"WD domain, G-beta repeat containing protein",20200911,-
1537102,15802811,BEWA_052590,BEWA_052590,-,-,4,-,c2h2 zinc finger domain containing protein,protein-coding,-,-,-,c2h2 zinc finger domain containing protein,20200911,-
1537102,15802812,BEWA_052600,BEWA_052600,-,-,4,-,"small nuclear ribonucleoprotein G, putative",protein-coding,-,-,-,"small nuclear ribonucleoprotein G, putative",20200911,-
1537102,15802813,BEWA_052610,BEWA_052610,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802814,BEWA_052620,BEWA_052620,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
