#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2066503,65072124,KMD27_gp02,KMD27_gp02,SHSt15644_orf00002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2066503,65072140,KMD27_gp18,KMD27_gp18,SHSt15644_orf00022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072141,KMD27_gp19,KMD27_gp19,SHSt15644_orf00023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072142,KMD27_gp20,KMD27_gp20,SHSt15644_orf00024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2066503,65072143,KMD27_gp21,KMD27_gp21,SHSt15644_orf00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072144,KMD27_gp22,KMD27_gp22,SHSt15644_orf00026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072145,KMD27_gp23,KMD27_gp23,SHSt15644_orf00027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072146,KMD27_gp24,KMD27_gp24,SHSt15644_orf00028,-,-,-,amidase,protein-coding,-,-,-,amidase,20210607,-
2066503,65072147,KMD27_gp25,KMD27_gp25,SHSt15644_orf00029,-,-,-,integrase,protein-coding,-,-,-,integrase,20210607,-
2066503,65072148,KMD27_gp26,KMD27_gp26,SHSt15644_orf00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072149,KMD27_gp27,KMD27_gp27,SHSt15644_orf00031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072150,KMD27_gp28,KMD27_gp28,SHSt15644_orf00032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072151,KMD27_gp29,KMD27_gp29,SHSt15644_orf00034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072152,KMD27_gp30,KMD27_gp30,SHSt15644_orf00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072153,KMD27_gp31,KMD27_gp31,SHSt15644_orf00036,-,-,-,repressor,protein-coding,-,-,-,repressor,20210609,-
2066503,65072154,KMD27_gp32,KMD27_gp32,SHSt15644_orf00037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072155,KMD27_gp33,KMD27_gp33,SHSt15644_orf00038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072156,KMD27_gp34,KMD27_gp34,SHSt15644_orf00039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072157,KMD27_gp35,KMD27_gp35,SHSt15644_orf00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072158,KMD27_gp36,KMD27_gp36,SHSt15644_orf00041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072159,KMD27_gp37,KMD27_gp37,SHSt15644_orf00042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072160,KMD27_gp38,KMD27_gp38,SHSt15644_orf00043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072161,KMD27_gp39,KMD27_gp39,SHSt15644_orf00044,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20210607,-
2066503,65072162,KMD27_gp40,KMD27_gp40,SHSt15644_orf00046,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2066503,65072163,KMD27_gp41,KMD27_gp41,SHSt15644_orf00047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072164,KMD27_gp42,KMD27_gp42,SHSt15644_orf00048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072165,KMD27_gp43,KMD27_gp43,SHSt15644_orf00049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072166,KMD27_gp44,KMD27_gp44,SHSt15644_orf00050,-,-,-,DNA-directed DNA polymerase,protein-coding,-,-,-,DNA-directed DNA polymerase,20210607,-
2066503,65072167,KMD27_gp45,KMD27_gp45,SHSt15644_orf00051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072168,KMD27_gp46,KMD27_gp46,SHSt15644_orf00052,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20210607,-
2066503,65072169,KMD27_gp47,KMD27_gp47,SHSt15644_orf00053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072170,KMD27_gp48,KMD27_gp48,SHSt15644_orf00054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072171,KMD27_gp49,KMD27_gp49,SHSt15644_orf00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072172,KMD27_gp50,KMD27_gp50,SHSt15644_orf00056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072173,KMD27_gp51,KMD27_gp51,SHSt15644_orf00057,-,-,-,YopX protein,protein-coding,-,-,-,YopX protein,20210607,-
2066503,65072174,KMD27_gp52,KMD27_gp52,SHSt15644_orf00058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072175,KMD27_gp53,KMD27_gp53,SHSt15644_orf00059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2066503,65072176,KMD27_gp54,KMD27_gp54,SHSt15644_orf00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072177,KMD27_gp55,KMD27_gp55,SHSt15644_orf00061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072178,KMD27_gp56,KMD27_gp56,SHSt15644_orf00062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072179,KMD27_gp57,KMD27_gp57,SHSt15644_orf00063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072180,KMD27_gp58,KMD27_gp58,SHSt15644_orf00064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072181,KMD27_gp59,KMD27_gp59,SHSt15644_orf00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072182,KMD27_gp60,KMD27_gp60,SHSt15644_orf00066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072183,KMD27_gp61,KMD27_gp61,SHSt15644_orf00067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072184,KMD27_gp62,KMD27_gp62,SHSt15644_orf00068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072185,KMD27_gp63,KMD27_gp63,SHSt15644_orf00069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072186,KMD27_gp64,KMD27_gp64,SHSt15644_orf00070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072187,KMD27_gp01,KMD27_gp01,SHSt15644_orf00001,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2066503,65242698,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Staphylococcus aureus phage SH-St 15644).,other,-,-,-,-,20210609,-
