#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500830,24599141,ACJ79_gp02,ACJ79_gp02,PHL199M00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500830,24599153,ACJ79_gp14,ACJ79_gp14,PHL199M00_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500830,24599154,ACJ79_gp15,ACJ79_gp15,PHL199M00_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500830,24599155,ACJ79_gp16,ACJ79_gp16,PHL199M00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500830,24599156,ACJ79_gp17,ACJ79_gp17,PHL199M00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599157,ACJ79_gp18,ACJ79_gp18,PHL199M00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599158,ACJ79_gp19,ACJ79_gp19,PHL199M00_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500830,24599159,ACJ79_gp20,ACJ79_gp20,PHL199M00_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500830,24599160,ACJ79_gp21,ACJ79_gp21,PHL199M00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500830,24599161,ACJ79_gp22,ACJ79_gp22,PHL199M00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599162,ACJ79_gp23,ACJ79_gp23,PHL199M00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500830,24599163,ACJ79_gp24,ACJ79_gp24,PHL199M00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599164,ACJ79_gp25,ACJ79_gp25,PHL199M00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599165,ACJ79_gp26,ACJ79_gp26,PHL199M00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599166,ACJ79_gp27,ACJ79_gp27,PHL199M00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599167,ACJ79_gp28,ACJ79_gp28,PHL199M00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599168,ACJ79_gp29,ACJ79_gp29,PHL199M00_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599169,ACJ79_gp30,ACJ79_gp30,PHL199M00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500830,24599170,ACJ79_gp31,ACJ79_gp31,PHL199M00_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500830,24599171,ACJ79_gp32,ACJ79_gp32,PHL199M00_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599172,ACJ79_gp33,ACJ79_gp33,PHL199M00_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500830,24599173,ACJ79_gp34,ACJ79_gp34,PHL199M00_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599174,ACJ79_gp35,ACJ79_gp35,PHL199M00_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599175,ACJ79_gp36,ACJ79_gp36,PHL199M00_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500830,24599176,ACJ79_gp37,ACJ79_gp37,PHL199M00_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599177,ACJ79_gp38,ACJ79_gp38,PHL199M00_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599178,ACJ79_gp39,ACJ79_gp39,PHL199M00_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599179,ACJ79_gp40,ACJ79_gp40,PHL199M00_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599180,ACJ79_gp41,ACJ79_gp41,PHL199M00_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599181,ACJ79_gp42,ACJ79_gp42,PHL199M00_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599182,ACJ79_gp43,ACJ79_gp43,PHL199M00_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599183,ACJ79_gp44,ACJ79_gp44,PHL199M00_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599184,ACJ79_gp45,ACJ79_gp45,PHL199M00_45,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500830,24599185,ACJ79_gp01,ACJ79_gp01,PHL199M00_01,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500830,24923463,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
