#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1417599,17699574,X532_gp02,X532_gp02,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1417599,17699590,X532_gp18,X532_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699591,X532_gp19,X532_gp19,-,-,-,-,putative phage-related membrane protein,protein-coding,-,-,-,putative phage-related membrane protein,20201221,-
1417599,17699592,X532_gp20,X532_gp20,-,-,-,-,putative lytic transglycosylase catalytic,protein-coding,-,-,-,putative lytic transglycosylase catalytic,20210417,-
1417599,17699593,X532_gp21,X532_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699594,X532_gp22,X532_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699595,X532_gp23,X532_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699596,X532_gp24,X532_gp24,-,-,-,-,putative polysaccharide deacetylase,protein-coding,-,-,-,putative polysaccharide deacetylase,20201221,-
1417599,17699597,X532_gp25,X532_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699598,X532_gp26,X532_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699599,X532_gp27,X532_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699600,X532_gp28,X532_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699601,X532_gp29,X532_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699602,X532_gp30,X532_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699603,X532_gp31,X532_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699604,X532_gp32,X532_gp32,-,-,-,-,putative HNH endonuclease family protein,protein-coding,-,-,-,putative HNH endonuclease family protein,20201221,-
1417599,17699605,X532_gp33,X532_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699606,X532_gp34,X532_gp34,-,-,-,-,putative pentapeptide repeat protein,protein-coding,-,-,-,putative pentapeptide repeat protein,20201221,-
1417599,17699607,X532_gp35,X532_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699608,X532_gp36,X532_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699609,X532_gp37,X532_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699610,X532_gp38,X532_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699611,X532_gp39,X532_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699612,X532_gp40,X532_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699613,X532_gp41,X532_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699614,X532_gp42,X532_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699615,X532_gp43,X532_gp43,-,-,-,-,putative phage-type endonuclease,protein-coding,-,-,-,putative phage-type endonuclease,20201221,-
1417599,17699616,X532_gp44,X532_gp44,-,-,-,-,putative phage recombination protein,protein-coding,-,-,-,putative phage recombination protein,20201221,-
1417599,17699617,X532_gp45,X532_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699618,X532_gp46,X532_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699619,X532_gp47,X532_gp47,-,-,-,-,putative phage repressor,protein-coding,-,-,-,putative phage repressor,20201221,-
1417599,17699620,X532_gp48,X532_gp48,-,-,-,-,putative predicted protein,protein-coding,-,-,-,putative predicted protein,20201221,-
1417599,17699621,X532_gp49,X532_gp49,-,-,-,-,putative replication protein,protein-coding,-,-,-,putative replication protein,20201221,-
1417599,17699622,X532_gp50,X532_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699623,X532_gp51,X532_gp51,-,-,-,-,putative endodeoxyribonuclease,protein-coding,-,-,-,putative endodeoxyribonuclease,20201221,-
1417599,17699624,X532_gp52,X532_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699625,X532_gp53,X532_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699626,X532_gp54,X532_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699627,X532_gp01,X532_gp01,-,-,-,-,putative phage terminase large subunit,protein-coding,-,-,-,putative phage terminase large subunit,20201221,-
1417599,17775960,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
