#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2588507,65121154,2,KNU66_gp02,SEA_MCKINLEY_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210608,-
2588507,65121173,21,KNU66_gp21,SEA_MCKINLEY_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121174,22,KNU66_gp22,SEA_MCKINLEY_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121175,23,KNU66_gp23,SEA_MCKINLEY_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121176,24,KNU66_gp24,SEA_MCKINLEY_24,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210608,-
2588507,65121177,25,KNU66_gp25,SEA_MCKINLEY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121178,26,KNU66_gp26,SEA_MCKINLEY_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121179,27,KNU66_gp27,SEA_MCKINLEY_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121180,28,KNU66_gp28,SEA_MCKINLEY_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2588507,65121181,29,KNU66_gp29,SEA_MCKINLEY_29,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210608,-
2588507,65121182,30,KNU66_gp30,SEA_MCKINLEY_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121183,31,KNU66_gp31,SEA_MCKINLEY_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121184,32,KNU66_gp32,SEA_MCKINLEY_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2588507,65121185,33,KNU66_gp33,SEA_MCKINLEY_33,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210608,-
2588507,65121186,34,KNU66_gp34,SEA_MCKINLEY_34,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210608,-
2588507,65121187,35,KNU66_gp35,SEA_MCKINLEY_35,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210608,-
2588507,65121188,36,KNU66_gp36,SEA_MCKINLEY_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2588507,65121189,37,KNU66_gp37,SEA_MCKINLEY_37,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2588507,65121190,38,KNU66_gp38,SEA_MCKINLEY_38,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2588507,65121191,39,KNU66_gp39,SEA_MCKINLEY_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121192,40,KNU66_gp40,SEA_MCKINLEY_40,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2588507,65121193,41,KNU66_gp41,SEA_MCKINLEY_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121194,42,KNU66_gp42,SEA_MCKINLEY_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121195,43,KNU66_gp43,SEA_MCKINLEY_43,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210608,-
2588507,65121196,44,KNU66_gp44,SEA_MCKINLEY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121197,45,KNU66_gp45,SEA_MCKINLEY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121198,46,KNU66_gp46,SEA_MCKINLEY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121199,47,KNU66_gp47,SEA_MCKINLEY_47,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210608,-
2588507,65121200,48,KNU66_gp48,SEA_MCKINLEY_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121201,49,KNU66_gp49,SEA_MCKINLEY_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121202,50,KNU66_gp50,SEA_MCKINLEY_50,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210608,-
2588507,65121203,51,KNU66_gp51,SEA_MCKINLEY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121204,52,KNU66_gp52,SEA_MCKINLEY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121205,53,KNU66_gp53,SEA_MCKINLEY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121206,54,KNU66_gp54,SEA_MCKINLEY_54,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210608,-
2588507,65121207,55,KNU66_gp55,SEA_MCKINLEY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121208,56,KNU66_gp56,SEA_MCKINLEY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121209,57,KNU66_gp57,SEA_MCKINLEY_57,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210608,-
2588507,65121210,58,KNU66_gp58,SEA_MCKINLEY_58,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210608,-
2588507,65121211,59,KNU66_gp59,SEA_MCKINLEY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121212,60,KNU66_gp60,SEA_MCKINLEY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121213,61,KNU66_gp61,SEA_MCKINLEY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121214,62,KNU66_gp62,SEA_MCKINLEY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2588507,65121215,63,KNU66_gp63,SEA_MCKINLEY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121216,64,KNU66_gp64,SEA_MCKINLEY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121217,65,KNU66_gp65,SEA_MCKINLEY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121218,66,KNU66_gp66,SEA_MCKINLEY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121219,67,KNU66_gp67,SEA_MCKINLEY_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121220,68,KNU66_gp68,SEA_MCKINLEY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121221,69,KNU66_gp69,SEA_MCKINLEY_69,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210608,-
2588507,65121222,70,KNU66_gp70,SEA_MCKINLEY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121223,71,KNU66_gp71,SEA_MCKINLEY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121224,72,KNU66_gp72,SEA_MCKINLEY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121225,73,KNU66_gp73,SEA_MCKINLEY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121226,74,KNU66_gp75,SEA_MCKINLEY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121227,75,KNU66_gp76,SEA_MCKINLEY_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121228,76,KNU66_gp77,SEA_MCKINLEY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121229,77,KNU66_gp78,SEA_MCKINLEY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121230,78,KNU66_gp79,SEA_MCKINLEY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121231,79,KNU66_gp80,SEA_MCKINLEY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121232,80,KNU66_gp81,SEA_MCKINLEY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121233,81,KNU66_gp82,SEA_MCKINLEY_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121234,82,KNU66_gp83,SEA_MCKINLEY_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121235,83,KNU66_gp84,SEA_MCKINLEY_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121236,84,KNU66_gp85,SEA_MCKINLEY_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121237,85,KNU66_gp86,SEA_MCKINLEY_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121238,86,KNU66_gp87,SEA_MCKINLEY_87,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210608,-
2588507,65121239,87,KNU66_gp88,SEA_MCKINLEY_88,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210608,-
2588507,65121240,73,KNU66_gp74,SEA_MCKINLEY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121241,1,KNU66_gp01,SEA_MCKINLEY_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210608,-
2588507,65243161,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
