#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
424716,6128864,VIP0022,VIP0022,-,-,-,-,hypothetical phage lipoprotein,protein-coding,-,-,-,hypothetical phage lipoprotein,20201220,-
424716,6128886,VIP0037,VIP0037,-,-,-,-,possible tail assembly protein,protein-coding,-,-,-,possible tail assembly protein,20201220,-
424716,6128887,VIP0036,VIP0036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128888,VIP0035,VIP0035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128889,ssb,VIP0041,-,-,-,-,bacterial type single-stranded DNA-binding protein,protein-coding,-,-,-,bacterial type single-stranded DNA-binding protein,20201220,-
424716,6128890,VIP0046,VIP0046,-,-,-,-,putative endonuclease protein,protein-coding,-,-,-,putative endonuclease protein,20201220,-
424716,6128891,VIP0039,VIP0039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128892,VIP0042,VIP0042,-,-,-,-,putative recombination protein,protein-coding,-,-,-,putative recombination protein,20201220,-
424716,6128893,VIP0040,VIP0040,-,-,-,-,maturation/adhesion protein,protein-coding,-,-,-,maturation/adhesion protein,20201220,-
424716,6128894,VIP0033,VIP0033,-,-,-,-,putative tail protein (tape measure),protein-coding,-,-,-,putative tail protein (tape measure),20201220,-
424716,6128895,VIP0005,VIP0005,-,-,-,-,putative head assembly protein,protein-coding,-,-,-,putative head assembly protein,20201220,-
424716,6128896,VIP0011,VIP0011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128897,VIP0043,VIP0043,-,-,-,-,putative exodeoxyribonuclease,protein-coding,-,-,-,putative exodeoxyribonuclease,20201220,-
424716,6128898,VIP0045,VIP0045,-,-,-,-,putative ATP-dependent helicase,protein-coding,-,-,-,putative ATP-dependent helicase,20201220,-
424716,6128899,VIP0001,VIP0001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128900,VIP0044,VIP0044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128901,VIP0002,VIP0002,-,-,-,-,large terminase subunit,protein-coding,-,-,-,large terminase subunit,20201220,-
424716,6128902,VIP0034,VIP0034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128903,VIP0013,VIP0013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128904,VIP0003,VIP0003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128905,VIP0004,VIP0004,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201220,-
424716,6128906,VIP0015,VIP0015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128907,VIP0010,VIP0010,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201220,-
424716,6128908,VIP0017,VIP0017,-,-,-,-,putative coat protein,protein-coding,-,-,-,putative coat protein,20201220,-
424716,6128909,VIP0012,VIP0012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128910,VIP0016,VIP0016,-,-,-,-,putative capsid decoration protein,protein-coding,-,-,-,putative capsid decoration protein,20201220,-
424716,6128911,VIP0014,VIP0014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128912,VIP0009,VIP0009,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201220,-
424716,6128913,VIP0008,VIP0008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128914,VIP0007,VIP0007,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201220,-
424716,6128915,VIP0006,VIP0006,-,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20201220,-
424716,6159483,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella phage E1).,other,-,-,-,-,20200513,-
