#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301702,60326614,2,I5H19_gp002,SEA_BURWELL21_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2301702,60326628,19,I5H19_gp019,SEA_BURWELL21_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210406,-
2301702,60326629,20,I5H19_gp020,SEA_BURWELL21_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210406,-
2301702,60326630,21,I5H19_gp021,SEA_BURWELL21_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301702,60326631,22,I5H19_gp022,SEA_BURWELL21_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326632,23,I5H19_gp023,SEA_BURWELL21_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301702,60326633,24,I5H19_gp024,SEA_BURWELL21_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326634,25,I5H19_gp025,SEA_BURWELL21_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2301702,60326635,26,I5H19_gp026,SEA_BURWELL21_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326636,27,I5H19_gp027,SEA_BURWELL21_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326637,28,I5H19_gp028,SEA_BURWELL21_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326638,29,I5H19_gp029,SEA_BURWELL21_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326639,30,I5H19_gp030,SEA_BURWELL21_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210406,-
2301702,60326640,31,I5H19_gp031,SEA_BURWELL21_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2301702,60326641,32,I5H19_gp032,SEA_BURWELL21_32,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
2301702,60326642,33,I5H19_gp033,SEA_BURWELL21_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2301702,60326643,34,I5H19_gp034,SEA_BURWELL21_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326644,35,I5H19_gp035,SEA_BURWELL21_35,-,-,-,DnaQ-like endonuclease,protein-coding,-,-,-,DnaQ-like endonuclease,20210129,-
2301702,60326645,36,I5H19_gp036,SEA_BURWELL21_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326646,37,I5H19_gp037,SEA_BURWELL21_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326647,38,I5H19_gp038,SEA_BURWELL21_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326648,39,I5H19_gp039,SEA_BURWELL21_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326649,40,I5H19_gp040,SEA_BURWELL21_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326650,41,I5H19_gp041,SEA_BURWELL21_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326651,42,I5H19_gp042,SEA_BURWELL21_42,-,-,-,transposase,protein-coding,-,-,-,transposase,20210406,-
2301702,60326652,43,I5H19_gp043,SEA_BURWELL21_43,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2301702,60326653,44,I5H19_gp044,SEA_BURWELL21_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326654,45,I5H19_gp045,SEA_BURWELL21_45,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210417,-
2301702,60326655,47,I5H19_gp047,SEA_BURWELL21_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326656,48,I5H19_gp048,SEA_BURWELL21_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2301702,60326657,50,I5H19_gp050,SEA_BURWELL21_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326658,51,I5H19_gp051,SEA_BURWELL21_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326659,52,I5H19_gp052,SEA_BURWELL21_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326660,53,I5H19_gp053,SEA_BURWELL21_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326661,54,I5H19_gp054,SEA_BURWELL21_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2301702,60326662,55,I5H19_gp055,SEA_BURWELL21_55,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2301702,60326663,56,I5H19_gp056,SEA_BURWELL21_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2301702,60326664,57,I5H19_gp057,SEA_BURWELL21_57,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2301702,60326665,58,I5H19_gp058,SEA_BURWELL21_58,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210406,-
2301702,60326666,59,I5H19_gp059,SEA_BURWELL21_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326667,60,I5H19_gp060,SEA_BURWELL21_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326668,61,I5H19_gp061,SEA_BURWELL21_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326669,62,I5H19_gp062,SEA_BURWELL21_62,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210425,-
2301702,60326670,63,I5H19_gp063,SEA_BURWELL21_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2301702,60326671,65,I5H19_gp065,SEA_BURWELL21_65,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2301702,60326672,66,I5H19_gp066,SEA_BURWELL21_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326673,67,I5H19_gp067,SEA_BURWELL21_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326674,68,I5H19_gp068,SEA_BURWELL21_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326675,69,I5H19_gp069,SEA_BURWELL21_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326676,70,I5H19_gp070,SEA_BURWELL21_70,-,-,-,G-I-Y-Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y-Y-I-G endonuclease,20201217,-
2301702,60326677,71,I5H19_gp071,SEA_BURWELL21_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326678,72,I5H19_gp072,SEA_BURWELL21_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326679,73,I5H19_gp073,SEA_BURWELL21_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326680,74,I5H19_gp074,SEA_BURWELL21_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326681,75,I5H19_gp075,SEA_BURWELL21_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326682,76,I5H19_gp076,SEA_BURWELL21_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326683,77,I5H19_gp077,SEA_BURWELL21_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326684,78,I5H19_gp078,SEA_BURWELL21_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326685,80,I5H19_gp080,SEA_BURWELL21_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326686,81,I5H19_gp081,SEA_BURWELL21_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326687,82,I5H19_gp082,SEA_BURWELL21_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326688,83,I5H19_gp083,SEA_BURWELL21_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326689,84,I5H19_gp084,SEA_BURWELL21_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326690,85,I5H19_gp085,SEA_BURWELL21_85,-,-,-,G-I-Y-Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y-Y-I-G endonuclease,20210406,-
2301702,60326691,86,I5H19_gp086,SEA_BURWELL21_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326692,87,I5H19_gp087,SEA_BURWELL21_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326693,88,I5H19_gp088,SEA_BURWELL21_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326694,89,I5H19_gp089,SEA_BURWELL21_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326695,90,I5H19_gp090,SEA_BURWELL21_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326696,91,I5H19_gp091,SEA_BURWELL21_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326697,92,I5H19_gp092,SEA_BURWELL21_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326698,93,I5H19_gp093,SEA_BURWELL21_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326699,94,I5H19_gp094,SEA_BURWELL21_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326700,95,I5H19_gp095,SEA_BURWELL21_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326701,97,I5H19_gp097,SEA_BURWELL21_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326702,98,I5H19_gp098,SEA_BURWELL21_98,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2301702,60326703,99,I5H19_gp099,SEA_BURWELL21_99,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201217,-
2301702,60326704,100,I5H19_gp100,SEA_BURWELL21_100,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210129,-
2301702,60326705,79,I5H19_gp079,SEA_BURWELL21_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326706,64,I5H19_gp064,SEA_BURWELL21_64,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210417,-
2301702,60326707,46,I5H19_gp046,SEA_BURWELL21_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301702,60326708,49,I5H19_gp049,SEA_BURWELL21_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301702,60326709,3,I5H19_gp003,SEA_BURWELL21_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2301702,60326710,11,I5H19_gp011,SEA_BURWELL21_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2301702,60326711,12,I5H19_gp013,SEA_BURWELL21_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2301702,60326712,96,I5H19_gp096,SEA_BURWELL21_96,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2301702,60326713,1,I5H19_gp001,SEA_BURWELL21_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2301702,60338717,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
