#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458715,26516170,2,PBI_SWISH_2,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1458715,26516197,29,PBI_SWISH_29,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458715,26516198,30,PBI_SWISH_30,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458715,26516199,31,PBI_SWISH_31,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458715,26516200,32,PBI_SWISH_32,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458715,26516201,33,PBI_SWISH_33,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458715,26516202,34,PBI_SWISH_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516203,35,PBI_SWISH_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516204,36,PBI_SWISH_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516205,37,PBI_SWISH_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516206,38,PBI_SWISH_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516207,39,PBI_SWISH_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516208,40,PBI_SWISH_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516209,41,PBI_SWISH_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516210,42,PBI_SWISH_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516211,43,PBI_SWISH_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516212,44,PBI_SWISH_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516213,45,PBI_SWISH_45,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1458715,26516214,46,PBI_SWISH_46,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1458715,26516215,47,PBI_SWISH_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516216,48,PBI_SWISH_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516217,49,PBI_SWISH_49,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210403,-
1458715,26516218,50,PBI_SWISH_50,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1458715,26516219,51,PBI_SWISH_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516220,52,PBI_SWISH_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516221,53,PBI_SWISH_53,-,-,-,-,Helicase,protein-coding,-,-,-,Helicase,20201221,-
1458715,26516222,54,PBI_SWISH_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516223,55,PBI_SWISH_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516224,56,PBI_SWISH_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516225,57,PBI_SWISH_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516226,58,PBI_SWISH_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516227,59,PBI_SWISH_59,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20201221,-
1458715,26516228,60,PBI_SWISH_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516229,61,PBI_SWISH_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516230,62,PBI_SWISH_62,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1458715,26516231,63,PBI_SWISH_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516232,64,PBI_SWISH_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516233,65,PBI_SWISH_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516234,66,PBI_SWISH_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516235,67,PBI_SWISH_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516236,68,PBI_SWISH_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516237,69,PBI_SWISH_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516238,70,PBI_SWISH_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516239,71,PBI_SWISH_71,-,-,-,-,RNaseE,protein-coding,-,-,-,RNaseE,20201221,-
1458715,26516240,72,PBI_SWISH_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516241,73,PBI_SWISH_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516242,74,PBI_SWISH_74,-,-,-,-,PLA2-like domain protein,protein-coding,-,-,-,PLA2-like domain protein,20210212,-
1458715,26516243,75,PBI_SWISH_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516244,76,PBI_SWISH_76,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1458715,26516245,77,PBI_SWISH_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516246,78,PBI_SWISH_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516247,79,PBI_SWISH_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516248,80,PBI_SWISH_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516249,81,PBI_SWISH_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516250,82,PBI_SWISH_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516251,83,PBI_SWISH_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516252,84,PBI_SWISH_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516253,85,PBI_SWISH_85,-,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20201221,-
1458715,26516254,86,PBI_SWISH_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516255,87,PBI_SWISH_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516256,88,PBI_SWISH_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516257,89,PBI_SWISH_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516258,90,PBI_SWISH_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516259,91,PBI_SWISH_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516260,92,PBI_SWISH_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516261,93,PBI_SWISH_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516262,94,PBI_SWISH_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516263,95,PBI_SWISH_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516264,96,PBI_SWISH_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516265,97,PBI_SWISH_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516266,98,PBI_SWISH_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516267,99,PBI_SWISH_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516268,100,PBI_SWISH_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516269,101,PBI_SWISH_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516270,102,PBI_SWISH_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516271,103,PBI_SWISH_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516272,1,PBI_SWISH_1,-,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20201221,-
1458715,26591585,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Swish).,other,-,-,-,-,20200513,-
