#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647304,26630784,2,AVT49_gp02,SEA_FLAGSTAFF_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210208,-
1647304,26630800,18,AVT49_gp18,SEA_FLAGSTAFF_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210208,-
1647304,26630801,19,AVT49_gp19,SEA_FLAGSTAFF_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210208,-
1647304,26630802,20,AVT49_gp20,SEA_FLAGSTAFF_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210208,-
1647304,26630803,21,AVT49_gp21,SEA_FLAGSTAFF_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210208,-
1647304,26630804,22,AVT49_gp22,SEA_FLAGSTAFF_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210208,-
1647304,26630805,23,AVT49_gp23,SEA_FLAGSTAFF_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210208,-
1647304,26630806,24,AVT49_gp24,SEA_FLAGSTAFF_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630807,25,AVT49_gp25,SEA_FLAGSTAFF_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630808,26,AVT49_gp26,SEA_FLAGSTAFF_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210208,-
1647304,26630809,27,AVT49_gp27,SEA_FLAGSTAFF_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210208,-
1647304,26630810,28,AVT49_gp28,SEA_FLAGSTAFF_28,-,-,-,holin,protein-coding,-,-,-,holin,20210208,-
1647304,26630811,29,AVT49_gp29,SEA_FLAGSTAFF_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630812,30,AVT49_gp30,SEA_FLAGSTAFF_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630813,31,AVT49_gp31,SEA_FLAGSTAFF_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630814,32,AVT49_gp32,SEA_FLAGSTAFF_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630815,33,AVT49_gp33,SEA_FLAGSTAFF_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630816,34,AVT49_gp34,SEA_FLAGSTAFF_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630817,35,AVT49_gp35,SEA_FLAGSTAFF_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630818,36,AVT49_gp36,SEA_FLAGSTAFF_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630819,37,AVT49_gp37,SEA_FLAGSTAFF_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630820,38,AVT49_gp38,SEA_FLAGSTAFF_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630821,39,AVT49_gp39,SEA_FLAGSTAFF_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630822,40,AVT49_gp40,SEA_FLAGSTAFF_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630823,41,AVT49_gp41,SEA_FLAGSTAFF_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630824,42,AVT49_gp42,SEA_FLAGSTAFF_42,-,-,-,RecE,protein-coding,-,-,-,RecE,20210208,-
1647304,26630825,43,AVT49_gp43,SEA_FLAGSTAFF_43,-,-,-,RecT,protein-coding,-,-,-,RecT,20210208,-
1647304,26630826,44,AVT49_gp44,SEA_FLAGSTAFF_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630827,45,AVT49_gp45,SEA_FLAGSTAFF_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630828,46,AVT49_gp46,SEA_FLAGSTAFF_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630829,47,AVT49_gp47,SEA_FLAGSTAFF_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630830,48,AVT49_gp48,SEA_FLAGSTAFF_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630831,49,AVT49_gp49,SEA_FLAGSTAFF_49,-,-,-,RuvC,protein-coding,-,-,-,RuvC,20210208,-
1647304,26630832,50,AVT49_gp50,SEA_FLAGSTAFF_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630833,51,AVT49_gp51,SEA_FLAGSTAFF_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630834,52,AVT49_gp52,SEA_FLAGSTAFF_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630835,53,AVT49_gp53,SEA_FLAGSTAFF_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630836,54,AVT49_gp54,SEA_FLAGSTAFF_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630837,55,AVT49_gp55,SEA_FLAGSTAFF_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630838,56,AVT49_gp56,SEA_FLAGSTAFF_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630839,57,AVT49_gp57,SEA_FLAGSTAFF_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630840,58,AVT49_gp58,SEA_FLAGSTAFF_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630841,59,AVT49_gp59,SEA_FLAGSTAFF_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630842,60,AVT49_gp60,SEA_FLAGSTAFF_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630843,61,AVT49_gp61,SEA_FLAGSTAFF_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630844,62,AVT49_gp62,SEA_FLAGSTAFF_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630845,63,AVT49_gp63,SEA_FLAGSTAFF_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630846,64,AVT49_gp64,SEA_FLAGSTAFF_64,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210208,-
1647304,26630847,65,AVT49_gp65,SEA_FLAGSTAFF_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630848,1,AVT49_gp01,SEA_FLAGSTAFF_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210208,-
1647304,26680814,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage FlagStaff).,other,-,-,-,-,20200817,-
