#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675608,40083204,FDI06_gp001,FDI06_gp001,CPT_Miro1,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20200910,-
1675608,40083247,FDI06_gp044,FDI06_gp044,CPT_Miro44,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200910,-
1675608,40083248,FDI06_gp045,FDI06_gp045,CPT_Miro45,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20200910,-
1675608,40083249,FDI06_gp046,FDI06_gp046,CPT_Miro46,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20200910,-
1675608,40083250,FDI06_gp047,FDI06_gp047,CPT_Miro47,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20200910,-
1675608,40083251,FDI06_gp048,FDI06_gp048,CPT_Miro48,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20200910,-
1675608,40083252,FDI06_gp049,FDI06_gp049,CPT_Miro49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083253,FDI06_gp050,FDI06_gp050,CPT_Miro50,-,-,-,dsDNA-binding protein,protein-coding,-,-,-,dsDNA-binding protein,20200910,-
1675608,40083254,FDI06_gp051,FDI06_gp051,CPT_Miro51,-,-,-,RNaseH,protein-coding,-,-,-,RNaseH,20200910,-
1675608,40083255,FDI06_gp052,FDI06_gp052,CPT_Miro52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083256,FDI06_gp053,FDI06_gp053,CPT_Miro53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083257,FDI06_gp054,FDI06_gp054,CPT_Miro54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083258,FDI06_gp055,FDI06_gp055,CPT_Miro55,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200910,-
1675608,40083259,FDI06_gp056,FDI06_gp056,CPT_Miro56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083260,FDI06_gp057,FDI06_gp057,CPT_Miro57,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200910,-
1675608,40083261,FDI06_gp058,FDI06_gp058,CPT_Miro58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083262,FDI06_gp059,FDI06_gp059,CPT_Miro59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1675608,40083263,FDI06_gp060,FDI06_gp060,CPT_Miro60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083264,FDI06_gp061,FDI06_gp061,CPT_Miro61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083265,FDI06_gp062,FDI06_gp062,CPT_Miro62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083266,FDI06_gp063,FDI06_gp063,CPT_Miro63,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200910,-
1675608,40083267,FDI06_gp064,FDI06_gp064,CPT_Miro64,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210123,-
1675608,40083268,FDI06_gp065,FDI06_gp065,CPT_Miro65,-,-,-,ribonucleotide reductase large subunit,protein-coding,-,-,-,ribonucleotide reductase large subunit,20200910,-
1675608,40083269,FDI06_gp066,FDI06_gp066,CPT_Miro66,-,-,-,ribonucleotide reductase small subunit,protein-coding,-,-,-,ribonucleotide reductase small subunit,20210116,-
1675608,40083270,FDI06_gp067,FDI06_gp067,CPT_Miro67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083271,FDI06_gp068,FDI06_gp068,CPT_Miro68,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200910,-
1675608,40083272,FDI06_gp069,FDI06_gp069,CPT_Miro69,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20200910,-
1675608,40083273,FDI06_gp070,FDI06_gp070,CPT_Miro70,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200910,-
1675608,40083274,FDI06_gp071,FDI06_gp071,CPT_Miro71,-,-,-,i-spanin,protein-coding,-,-,-,i-spanin,20200910,-
1675608,40083275,FDI06_gp072,FDI06_gp072,CPT_Miro72,-,-,-,o-spanin,protein-coding,-,-,-,o-spanin,20200910,-
1675608,40083276,FDI06_gp073,FDI06_gp073,CPT_Miro73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083277,FDI06_gp074,FDI06_gp074,CPT_Miro74,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20200910,-
1675608,40083278,FDI06_gp075,FDI06_gp075,CPT_Miro75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083279,FDI06_gp076,FDI06_gp076,CPT_Miro76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083280,FDI06_gp077,FDI06_gp077,CPT_Miro77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083281,FDI06_gp078,FDI06_gp078,CPT_Miro78,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20200910,-
1675608,40083282,FDI06_gp079,FDI06_gp079,CPT_Miro79,-,-,-,head assembly chaperone with GroEL,protein-coding,-,-,-,head assembly chaperone with GroEL,20200910,-
1675608,40083283,FDI06_gp080,FDI06_gp080,CPT_Miro80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083284,FDI06_gt001,FDI06_gt001,CPT_Miro.gt1,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1675608,40083285,FDI06_gp277,FDI06_gp277,CPT_Miro81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083286,FDI06_gp276,FDI06_gp276,CPT_Miro82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083287,FDI06_gp275,FDI06_gp275,CPT_Miro83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083288,FDI06_gp274,FDI06_gp274,CPT_Miro84,-,-,-,glycyl radical cofactor,protein-coding,-,-,-,glycyl radical cofactor,20200910,-
1675608,40083289,FDI06_gp273,FDI06_gp273,CPT_Miro85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083290,FDI06_gp272,FDI06_gp272,CPT_Miro86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083291,FDI06_gp271,FDI06_gp271,CPT_Miro87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083292,FDI06_gp270,FDI06_gp270,CPT_Miro88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083293,FDI06_gp269,FDI06_gp269,CPT_Miro89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083294,FDI06_gp268,FDI06_gp268,CPT_Miro90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083295,FDI06_gp267,FDI06_gp267,CPT_Miro91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083296,FDI06_gp266,FDI06_gp266,CPT_Miro92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083297,FDI06_gp265,FDI06_gp265,CPT_Miro93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083298,FDI06_gp264,FDI06_gp264,CPT_Miro94,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200910,-
1675608,40083299,FDI06_gp263,FDI06_gp263,CPT_Miro95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083300,FDI06_gp262,FDI06_gp262,CPT_Miro96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083301,FDI06_gp261,FDI06_gp261,CPT_Miro97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083302,FDI06_gp260,FDI06_gp260,CPT_Miro98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083303,FDI06_gp259,FDI06_gp259,CPT_Miro99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083304,FDI06_gp258,FDI06_gp258,CPT_Miro100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083305,FDI06_gp257,FDI06_gp257,CPT_Miro101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083306,FDI06_gp256,FDI06_gp256,CPT_Miro102,-,-,-,baseplate hub,protein-coding,-,-,-,baseplate hub,20200910,-
1675608,40083307,FDI06_gp255,FDI06_gp255,CPT_Miro103,-,-,-,baseplate distal hub subunit,protein-coding,-,-,-,baseplate distal hub subunit,20200910,-
1675608,40083308,FDI06_gp254,FDI06_gp254,CPT_Miro104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083309,FDI06_gp253,FDI06_gp253,CPT_Miro105,-,-,-,tail tube assembly protein,protein-coding,-,-,-,tail tube assembly protein,20210123,-
1675608,40083310,FDI06_gp252,FDI06_gp252,CPT_Miro106,-,-,-,baseplate tail-tube initiator protein,protein-coding,-,-,-,baseplate tail-tube initiator protein,20200910,-
1675608,40083311,FDI06_gp251,FDI06_gp251,CPT_Miro107,-,-,-,baseplate hub assembly protein,protein-coding,-,-,-,baseplate hub assembly protein,20200910,-
1675608,40083312,FDI06_gp250,FDI06_gp250,CPT_Miro108,-,-,-,baseplate hub assembly chaperone,protein-coding,-,-,-,baseplate hub assembly chaperone,20200910,-
1675608,40083313,FDI06_gp249,FDI06_gp249,CPT_Miro109,-,-,-,base plate wedge subunit,protein-coding,-,-,-,base plate wedge subunit,20200910,-
1675608,40083314,FDI06_gp248,FDI06_gp248,CPT_Miro110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083315,FDI06_gp247,FDI06_gp247,CPT_Miro111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083316,FDI06_gp246,FDI06_gp246,CPT_Miro112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083317,FDI06_gp245,FDI06_gp245,CPT_Miro113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083318,FDI06_gp244,FDI06_gp244,CPT_Miro114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083319,FDI06_gp243,FDI06_gp243,CPT_Miro115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083320,FDI06_gp242,FDI06_gp242,CPT_Miro116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083321,FDI06_gp241,FDI06_gp241,CPT_Miro117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1675608,40083322,FDI06_gp240,FDI06_gp240,CPT_Miro118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083323,FDI06_gp239,FDI06_gp239,CPT_Miro119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083324,FDI06_gp238,FDI06_gp238,CPT_Miro120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083325,FDI06_gp237,FDI06_gp237,CPT_Miro121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083326,FDI06_gp236,FDI06_gp236,CPT_Miro122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083327,FDI06_gp235,FDI06_gp235,CPT_Miro123,-,-,-,cytosine-specific methyltransferase,protein-coding,-,-,-,cytosine-specific methyltransferase,20200910,-
1675608,40083328,FDI06_gp234,FDI06_gp234,CPT_Miro124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083329,FDI06_gp233,FDI06_gp233,CPT_Miro125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083330,FDI06_gp232,FDI06_gp232,CPT_Miro126,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20200910,-
1675608,40083331,FDI06_gp231,FDI06_gp231,CPT_Miro127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083332,FDI06_gp230,FDI06_gp230,CPT_Miro128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083333,FDI06_gp229,FDI06_gp229,CPT_Miro129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083334,FDI06_gp228,FDI06_gp228,CPT_Miro130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083335,FDI06_gp227,FDI06_gp227,CPT_Miro131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083336,FDI06_gp226,FDI06_gp226,CPT_Miro132,-,-,-,bifunctional protein NMN adenylyltransferase/NUDIX hydrolase,protein-coding,-,-,-,bifunctional protein NMN adenylyltransferase/NUDIX hydrolase,20200910,-
1675608,40083337,FDI06_gp225,FDI06_gp225,CPT_Miro133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1675608,40083338,FDI06_gp224,FDI06_gp224,CPT_Miro134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083339,FDI06_gp223,FDI06_gp223,CPT_Miro135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083340,FDI06_gp222,FDI06_gp222,CPT_Miro136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083341,FDI06_gp221,FDI06_gp221,CPT_Miro137,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20200910,-
1675608,40083342,FDI06_gp220,FDI06_gp220,CPT_Miro138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083343,FDI06_gp219,FDI06_gp219,CPT_Miro139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083344,FDI06_gp218,FDI06_gp218,CPT_Miro140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083345,FDI06_gp217,FDI06_gp217,CPT_Miro141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1675608,40083346,FDI06_gp216,FDI06_gp216,CPT_Miro142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083347,FDI06_gp215,FDI06_gp215,CPT_Miro143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083348,FDI06_gp214,FDI06_gp214,CPT_Miro144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083349,FDI06_gp213,FDI06_gp213,CPT_Miro145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1675608,40083350,FDI06_gp212,FDI06_gp212,CPT_Miro146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083351,FDI06_gp211,FDI06_gp211,CPT_Miro147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083352,FDI06_gp210,FDI06_gp210,CPT_Miro148,-,-,-,endoribonuclease,protein-coding,-,-,-,endoribonuclease,20210417,-
1675608,40083353,FDI06_gp209,FDI06_gp209,CPT_Miro149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083354,FDI06_gp208,FDI06_gp208,CPT_Miro150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083355,FDI06_gp207,FDI06_gp207,CPT_Miro151,-,-,-,PhoH-like protein,protein-coding,-,-,-,PhoH-like protein,20200910,-
1675608,40083356,FDI06_gp206,FDI06_gp206,CPT_Miro152,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210123,-
1675608,40083357,FDI06_gp205,FDI06_gp205,CPT_Miro153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083358,FDI06_gp204,FDI06_gp204,CPT_Miro154,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200910,-
1675608,40083359,FDI06_gp203,FDI06_gp203,CPT_Miro155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083360,FDI06_gp202,FDI06_gp202,CPT_Miro156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083361,FDI06_gp201,FDI06_gp201,CPT_Miro157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083362,FDI06_gp200,FDI06_gp200,CPT_Miro158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083363,FDI06_gp199,FDI06_gp199,CPT_Miro159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083364,FDI06_gp198,FDI06_gp198,CPT_Miro160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083365,FDI06_gp197,FDI06_gp197,CPT_Miro161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083366,FDI06_gp196,FDI06_gp196,CPT_Miro162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083367,FDI06_gp195,FDI06_gp195,CPT_Miro163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083368,FDI06_gp194,FDI06_gp194,CPT_Miro164,-,-,-,radical SAM superfamily protein,protein-coding,-,-,-,radical SAM superfamily protein,20200910,-
1675608,40083369,FDI06_gp193,FDI06_gp193,CPT_Miro165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1675608,40083370,FDI06_gp192,FDI06_gp192,CPT_Miro166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083371,FDI06_gp191,FDI06_gp191,CPT_Miro167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083372,FDI06_gp190,FDI06_gp190,CPT_Miro168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083373,FDI06_gp189,FDI06_gp189,CPT_Miro169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083374,FDI06_gp188,FDI06_gp188,CPT_Miro170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083375,FDI06_gp187,FDI06_gp187,CPT_Miro171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083376,FDI06_gp186,FDI06_gp186,CPT_Miro172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083377,FDI06_gp185,FDI06_gp185,CPT_Miro173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083378,FDI06_gp184,FDI06_gp184,CPT_Miro174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083379,FDI06_gp183,FDI06_gp183,CPT_Miro175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083380,FDI06_gp182,FDI06_gp182,CPT_Miro176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1675608,40083381,FDI06_gp181,FDI06_gp181,CPT_Miro177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083382,FDI06_gp180,FDI06_gp180,CPT_Miro178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
