#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2282909,60329350,2,I5H45_gp002,PBI_HARLEY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210406,-
2282909,60329363,15,I5H45_gp015,PBI_HARLEY_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2282909,60329364,16,I5H45_gp016,PBI_HARLEY_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2282909,60329365,17,I5H45_gp017,PBI_HARLEY_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2282909,60329366,18,I5H45_gp018,PBI_HARLEY_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2282909,60329367,19,I5H45_gp019,PBI_HARLEY_19,-,-,-,D-ala-D-ala carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala carboxypeptidase,20210417,-
2282909,60329368,20,I5H45_gp020,PBI_HARLEY_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2282909,60329369,21,I5H45_gp021,PBI_HARLEY_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2282909,60329370,22,I5H45_gp022,PBI_HARLEY_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2282909,60329371,23,I5H45_gp023,PBI_HARLEY_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2282909,60329372,24,I5H45_gp024,PBI_HARLEY_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2282909,60329373,25,I5H45_gp025,PBI_HARLEY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2282909,60329374,26,I5H45_gp026,PBI_HARLEY_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329375,27,I5H45_gp027,PBI_HARLEY_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329376,28,I5H45_gp028,PBI_HARLEY_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329377,29,I5H45_gp029,PBI_HARLEY_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329378,30,I5H45_gp030,PBI_HARLEY_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210406,-
2282909,60329379,31,I5H45_gp031,PBI_HARLEY_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2282909,60329380,32,I5H45_gp032,PBI_HARLEY_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2282909,60329381,33,I5H45_gp033,PBI_HARLEY_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2282909,60329382,34,I5H45_gp034,PBI_HARLEY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329383,35,I5H45_gp035,PBI_HARLEY_35,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210424,-
2282909,60329384,36,I5H45_gp036,PBI_HARLEY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329385,38,I5H45_gp038,PBI_HARLEY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329386,39,I5H45_gp039,PBI_HARLEY_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329387,40,I5H45_gp040,PBI_HARLEY_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329388,41,I5H45_gp041,PBI_HARLEY_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329389,43,I5H45_gp043,PBI_HARLEY_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329390,44,I5H45_gp044,PBI_HARLEY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329391,45,I5H45_gp045,PBI_HARLEY_45,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2282909,60329392,46,I5H45_gp046,PBI_HARLEY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329393,47,I5H45_gp047,PBI_HARLEY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329394,49,I5H45_gp049,PBI_HARLEY_49,-,-,-,HTH DNA-binding-domain protein,protein-coding,-,-,-,HTH DNA-binding-domain protein,20210417,-
2282909,60329395,50,I5H45_gp050,PBI_HARLEY_50,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210129,-
2282909,60329396,51,I5H45_gp051,PBI_HARLEY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329397,52,I5H45_gp052,PBI_HARLEY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2282909,60329398,53,I5H45_gp053,PBI_HARLEY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329399,54,I5H45_gp054,PBI_HARLEY_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329400,55,I5H45_gp055,PBI_HARLEY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329401,56,I5H45_gp056,PBI_HARLEY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329402,57,I5H45_gp057,PBI_HARLEY_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329403,58,I5H45_gp058,PBI_HARLEY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329404,59,I5H45_gp059,PBI_HARLEY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2282909,60329405,60,I5H45_gp060,PBI_HARLEY_60,-,-,-,whiB,protein-coding,-,-,-,whiB,20210417,-
2282909,60329406,61,I5H45_gp061,PBI_HARLEY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2282909,60329407,62,I5H45_gp062,PBI_HARLEY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329408,63,I5H45_gp063,PBI_HARLEY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2282909,60329409,64,I5H45_gp064,PBI_HARLEY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329410,65,I5H45_gp065,PBI_HARLEY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329411,66,I5H45_gp066,PBI_HARLEY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2282909,60329412,67,I5H45_gp067,PBI_HARLEY_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2282909,60329413,68,I5H45_gp068,PBI_HARLEY_68,-,-,-,HindIII-like DNA methylase,protein-coding,-,-,-,HindIII-like DNA methylase,20210417,-
2282909,60329414,69,I5H45_gp069,PBI_HARLEY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329415,70,I5H45_gp070,PBI_HARLEY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2282909,60329416,71,I5H45_gp071,PBI_HARLEY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329417,72,I5H45_gp072,PBI_HARLEY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329418,73,I5H45_gp073,PBI_HARLEY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2282909,60329419,74,I5H45_gp074,PBI_HARLEY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329420,75,I5H45_gp075,PBI_HARLEY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329421,76,I5H45_gp076,PBI_HARLEY_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329422,77,I5H45_gp077,PBI_HARLEY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329423,78,I5H45_gp078,PBI_HARLEY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329424,79,I5H45_gp079,PBI_HARLEY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2282909,60329425,80,I5H45_gp080,PBI_HARLEY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329426,81,I5H45_gp081,PBI_HARLEY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329427,82,I5H45_gp082,PBI_HARLEY_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329428,83,I5H45_gp083,PBI_HARLEY_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329429,86,I5H45_gp086,PBI_HARLEY_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329430,87,I5H45_gp087,PBI_HARLEY_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329431,88,I5H45_gp088,PBI_HARLEY_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329432,89,I5H45_gp089,PBI_HARLEY_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329433,90,I5H45_gp090,PBI_HARLEY_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329434,91,I5H45_gp091,PBI_HARLEY_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2282909,60329435,92,I5H45_gp092,PBI_HARLEY_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329436,93,I5H45_gp093,PBI_HARLEY_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329437,94,I5H45_gp094,PBI_HARLEY_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329438,95,I5H45_gp095,PBI_HARLEY_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329439,96,I5H45_gp096,PBI_HARLEY_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329440,97,I5H45_gp097,PBI_HARLEY_97,-,-,-,MerR-like HTH DNA binding protein,protein-coding,-,-,-,MerR-like HTH DNA binding protein,20210129,-
2282909,60329441,98,I5H45_gp098,PBI_HARLEY_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329442,99,I5H45_gp099,PBI_HARLEY_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329443,100,I5H45_gp100,PBI_HARLEY_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329444,101,I5H45_gp101,PBI_HARLEY_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329445,102,I5H45_gp102,PBI_HARLEY_102,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210406,-
2282909,60329446,103,I5H45_gp103,PBI_HARLEY_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329447,104,I5H45_gp104,PBI_HARLEY_104,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210406,-
2282909,60329448,105,I5H45_gp105,PBI_HARLEY_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329449,106,I5H45_gp106,PBI_HARLEY_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329450,107,I5H45_gp107,PBI_HARLEY_107,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210406,-
2282909,60329451,37,I5H45_gp037,PBI_HARLEY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329452,42,I5H45_gp042,PBI_HARLEY_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2282909,60329453,48,I5H45_gp048,PBI_HARLEY_48,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2282909,60329454,84,I5H45_gp084,PBI_HARLEY_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329455,85,I5H45_gp085,PBI_HARLEY_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2282909,60329456,1,I5H45_gp001,PBI_HARLEY_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2282909,60338685,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
