#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2664225,65123400,2,KNU85_gp002,SEA_DIRKDIRK_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210608,-
2664225,65123422,24,KNU85_gp024,SEA_DIRKDIRK_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123423,25,KNU85_gp025,SEA_DIRKDIRK_25,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210608,-
2664225,65123424,26,KNU85_gp026,SEA_DIRKDIRK_26,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210608,-
2664225,65123425,27,KNU85_gp027,SEA_DIRKDIRK_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123426,28,KNU85_gp028,SEA_DIRKDIRK_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123427,29,KNU85_gp029,SEA_DIRKDIRK_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123428,30,KNU85_gp030,SEA_DIRKDIRK_30,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210608,-
2664225,65123429,31,KNU85_gp031,SEA_DIRKDIRK_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123430,32,KNU85_gp032,SEA_DIRKDIRK_32,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20210608,-
2664225,65123431,33,KNU85_gp033,SEA_DIRKDIRK_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123432,34,KNU85_gp034,SEA_DIRKDIRK_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123433,35,KNU85_gp035,SEA_DIRKDIRK_35,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210608,-
2664225,65123434,36,KNU85_gp036,SEA_DIRKDIRK_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123435,37,KNU85_gp037,SEA_DIRKDIRK_37,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210608,-
2664225,65123436,38,KNU85_gp038,SEA_DIRKDIRK_38,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210608,-
2664225,65123437,39,KNU85_gp039,SEA_DIRKDIRK_39,-,-,-,excise,protein-coding,-,-,-,excise,20210608,-
2664225,65123438,40,KNU85_gp040,SEA_DIRKDIRK_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123439,41,KNU85_gp041,SEA_DIRKDIRK_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123440,42,KNU85_gp042,SEA_DIRKDIRK_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123441,43,KNU85_gp043,SEA_DIRKDIRK_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123442,44,KNU85_gp044,SEA_DIRKDIRK_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123443,45,KNU85_gp045,SEA_DIRKDIRK_45,-,-,-,esterase,protein-coding,-,-,-,esterase,20210608,-
2664225,65123444,46,KNU85_gp046,SEA_DIRKDIRK_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123445,47,KNU85_gp047,SEA_DIRKDIRK_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123446,48,KNU85_gp048,SEA_DIRKDIRK_48,-,-,-,band-7-like membrane protein,protein-coding,-,-,-,band-7-like membrane protein,20210608,-
2664225,65123447,49,KNU85_gp049,SEA_DIRKDIRK_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123448,50,KNU85_gp050,SEA_DIRKDIRK_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123449,51,KNU85_gp051,SEA_DIRKDIRK_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123450,52,KNU85_gp052,SEA_DIRKDIRK_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123451,53,KNU85_gp053,SEA_DIRKDIRK_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123452,54,KNU85_gp054,SEA_DIRKDIRK_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123453,55,KNU85_gp055,SEA_DIRKDIRK_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123454,56,KNU85_gp056,SEA_DIRKDIRK_56,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210608,-
2664225,65123455,57,KNU85_gp057,SEA_DIRKDIRK_57,-,-,-,LamD-like,protein-coding,-,-,-,LamD-like,20210608,-
2664225,65123456,58,KNU85_gp058,SEA_DIRKDIRK_58,-,-,-,ERF family ssDNA binding protein,protein-coding,-,-,-,ERF family ssDNA binding protein,20210608,-
2664225,65123457,59,KNU85_gp059,SEA_DIRKDIRK_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123458,60,KNU85_gp060,SEA_DIRKDIRK_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123459,61,KNU85_gp061,SEA_DIRKDIRK_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123460,62,KNU85_gp062,SEA_DIRKDIRK_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123461,63,KNU85_gp063,SEA_DIRKDIRK_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2664225,65123462,65,KNU85_gp065,SEA_DIRKDIRK_65,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210608,-
2664225,65123463,66,KNU85_gp066,SEA_DIRKDIRK_66,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210608,-
2664225,65123464,67,KNU85_gp067,SEA_DIRKDIRK_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123465,68,KNU85_gp068,SEA_DIRKDIRK_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123466,69,KNU85_gp069,SEA_DIRKDIRK_69,-,-,-,phosphoribosyl pyrophosphate transferase,protein-coding,-,-,-,phosphoribosyl pyrophosphate transferase,20210608,-
2664225,65123467,70,KNU85_gp070,SEA_DIRKDIRK_70,-,-,-,nicotinate ribosyltransferase,protein-coding,-,-,-,nicotinate ribosyltransferase,20210608,-
2664225,65123468,71,KNU85_gp071,SEA_DIRKDIRK_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123469,72,KNU85_gp072,SEA_DIRKDIRK_72,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210608,-
2664225,65123470,73,KNU85_gp073,SEA_DIRKDIRK_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123471,74,KNU85_gp074,SEA_DIRKDIRK_74,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210608,-
2664225,65123472,75,KNU85_gp075,SEA_DIRKDIRK_75,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210608,-
2664225,65123473,76,KNU85_gp076,SEA_DIRKDIRK_76,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210608,-
2664225,65123474,77,KNU85_gp077,SEA_DIRKDIRK_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123475,78,KNU85_gp078,SEA_DIRKDIRK_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123476,79,KNU85_gp079,SEA_DIRKDIRK_79,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210608,-
2664225,65123477,80,KNU85_gp080,SEA_DIRKDIRK_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123478,81,KNU85_gp081,SEA_DIRKDIRK_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123479,82,KNU85_gp082,SEA_DIRKDIRK_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123480,83,KNU85_gp083,SEA_DIRKDIRK_83,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210608,-
2664225,65123481,84,KNU85_gp084,SEA_DIRKDIRK_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123482,85,KNU85_gp085,SEA_DIRKDIRK_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123483,86,KNU85_gp086,SEA_DIRKDIRK_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123484,87,KNU85_gp087,SEA_DIRKDIRK_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123485,88,KNU85_gp088,SEA_DIRKDIRK_88,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2664225,65123486,89,KNU85_gp089,SEA_DIRKDIRK_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123487,90,KNU85_gp090,SEA_DIRKDIRK_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123488,91,KNU85_gp091,SEA_DIRKDIRK_91,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210608,-
2664225,65123489,92,KNU85_gp092,SEA_DIRKDIRK_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123490,93,KNU85_gp093,SEA_DIRKDIRK_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123491,94,KNU85_gp094,SEA_DIRKDIRK_94,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2664225,65123492,95,KNU85_gp095,SEA_DIRKDIRK_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123493,96,KNU85_gp096,SEA_DIRKDIRK_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123494,97,KNU85_gp097,SEA_DIRKDIRK_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123495,98,KNU85_gp098,SEA_DIRKDIRK_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123496,99,KNU85_gp099,SEA_DIRKDIRK_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123497,100,KNU85_gt001,SEA_DIRKDIRK_100,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2664225,65123498,101,KNU85_gt002,SEA_DIRKDIRK_101,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2664225,65123499,102,KNU85_gp110,SEA_DIRKDIRK_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123500,103,KNU85_gt003,SEA_DIRKDIRK_103,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2664225,65123501,104,KNU85_gt004,SEA_DIRKDIRK_104,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2664225,65123502,105,KNU85_gt005,SEA_DIRKDIRK_105,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2664225,65123503,106,KNU85_gt006,SEA_DIRKDIRK_106,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2664225,65123504,107,KNU85_gt007,SEA_DIRKDIRK_107,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2664225,65123505,108,KNU85_gp109,SEA_DIRKDIRK_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123506,109,KNU85_gp108,SEA_DIRKDIRK_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123507,110,KNU85_gt008,SEA_DIRKDIRK_110,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2664225,65123508,111,KNU85_gp107,SEA_DIRKDIRK_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123509,112,KNU85_gt009,SEA_DIRKDIRK_112,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2664225,65123510,113,KNU85_gp106,SEA_DIRKDIRK_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123511,1,KNU85_gp001,SEA_DIRKDIRK_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123512,114,KNU85_gp105,SEA_DIRKDIRK_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123513,115,KNU85_gp104,SEA_DIRKDIRK_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123514,116,KNU85_gp103,SEA_DIRKDIRK_116,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210608,-
2664225,65123515,117,KNU85_gp102,SEA_DIRKDIRK_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123516,118,KNU85_gp101,SEA_DIRKDIRK_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123517,119,KNU85_gp100,SEA_DIRKDIRK_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65123518,64,KNU85_gp064,SEA_DIRKDIRK_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2664225,65243275,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
