#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656561,60326185,2,I5H15_gp002,SEA_BLEXUS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210212,-
2656561,60326220,37,I5H15_gp037,SEA_BLEXUS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326221,38,I5H15_gp038,SEA_BLEXUS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326222,39,I5H15_gp039,SEA_BLEXUS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326223,40,I5H15_gp040,SEA_BLEXUS_40,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210313,-
2656561,60326224,41,I5H15_gp041,SEA_BLEXUS_41,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2656561,60326225,42,I5H15_gp042,SEA_BLEXUS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326226,43,I5H15_gp043,SEA_BLEXUS_43,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2656561,60326227,44,I5H15_gp044,SEA_BLEXUS_44,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210403,-
2656561,60326228,45,I5H15_gp045,SEA_BLEXUS_45,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210129,-
2656561,60326229,46,I5H15_gp046,SEA_BLEXUS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326230,47,I5H15_gp047,SEA_BLEXUS_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326231,48,I5H15_gp048,SEA_BLEXUS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2656561,60326232,49,I5H15_gp049,SEA_BLEXUS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2656561,60326233,50,I5H15_gp050,SEA_BLEXUS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326234,51,I5H15_gp051,SEA_BLEXUS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326235,52,I5H15_gp052,SEA_BLEXUS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326236,53,I5H15_gp053,SEA_BLEXUS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326237,54,I5H15_gp054,SEA_BLEXUS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2656561,60326238,55,I5H15_gp055,SEA_BLEXUS_55,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2656561,60326239,56,I5H15_gp056,SEA_BLEXUS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2656561,60326240,57,I5H15_gp057,SEA_BLEXUS_57,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2656561,60326241,58,I5H15_gp058,SEA_BLEXUS_58,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2656561,60326242,59,I5H15_gp059,SEA_BLEXUS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326243,60,I5H15_gp060,SEA_BLEXUS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326244,61,I5H15_gp061,SEA_BLEXUS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2656561,60326245,62,I5H15_gp062,SEA_BLEXUS_62,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210424,-
2656561,60326246,63,I5H15_gp063,SEA_BLEXUS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2656561,60326247,65,I5H15_gp065,SEA_BLEXUS_65,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2656561,60326248,66,I5H15_gp066,SEA_BLEXUS_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326249,68,I5H15_gp068,SEA_BLEXUS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326250,67,I5H15_gp067,SEA_BLEXUS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2656561,60326251,69,I5H15_gp069,SEA_BLEXUS_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326252,70,I5H15_gp070,SEA_BLEXUS_70,-,-,-,G-I-Y-Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y-Y-I-G endonuclease,20210313,-
2656561,60326253,71,I5H15_gp071,SEA_BLEXUS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326254,72,I5H15_gp072,SEA_BLEXUS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326255,73,I5H15_gp073,SEA_BLEXUS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326256,74,I5H15_gp074,SEA_BLEXUS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326257,75,I5H15_gp075,SEA_BLEXUS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326258,76,I5H15_gp076,SEA_BLEXUS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326259,77,I5H15_gp077,SEA_BLEXUS_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326260,78,I5H15_gp078,SEA_BLEXUS_78,-,-,-,MPME 1 protein,protein-coding,-,-,-,MPME 1 protein,20201129,-
2656561,60326261,79,I5H15_gp079,SEA_BLEXUS_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326262,80,I5H15_gp080,SEA_BLEXUS_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326263,81,I5H15_gp081,SEA_BLEXUS_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326264,82,I5H15_gp082,SEA_BLEXUS_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326265,83,I5H15_gp083,SEA_BLEXUS_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326266,84,I5H15_gp084,SEA_BLEXUS_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326267,85,I5H15_gp085,SEA_BLEXUS_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326268,86,I5H15_gp086,SEA_BLEXUS_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326269,87,I5H15_gp087,SEA_BLEXUS_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326270,88,I5H15_gp088,SEA_BLEXUS_88,-,-,-,G-I-Y-Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y-Y-I-G endonuclease,20210406,-
2656561,60326271,89,I5H15_gp089,SEA_BLEXUS_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326272,90,I5H15_gp090,SEA_BLEXUS_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326273,91,I5H15_gp091,SEA_BLEXUS_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326274,92,I5H15_gp092,SEA_BLEXUS_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326275,93,I5H15_gp093,SEA_BLEXUS_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326276,94,I5H15_gp094,SEA_BLEXUS_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326277,95,I5H15_gp095,SEA_BLEXUS_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326278,96,I5H15_gp096,SEA_BLEXUS_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326279,97,I5H15_gp097,SEA_BLEXUS_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326280,98,I5H15_gp098,SEA_BLEXUS_98,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2656561,60326281,99,I5H15_gp099,SEA_BLEXUS_99,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201129,-
2656561,60326282,100,I5H15_gp100,SEA_BLEXUS_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656561,60326283,101,I5H15_gp101,SEA_BLEXUS_101,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201203,-
2656561,60326284,64,I5H15_gp064,SEA_BLEXUS_64,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2656561,60326285,1,I5H15_gp001,SEA_BLEXUS_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2656561,60338805,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
