#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
261726,5076204,VPVV882_gp70,VPVV882_gp70,-,-,-,-,conserved putative phage-related protein,protein-coding,-,-,-,conserved putative phage-related protein,20201220,-
261726,5076234,VPVV882_gp32,VPVV882_gp32,-,-,-,-,phage protein U-like,protein-coding,-,-,-,phage protein U-like,20201220,-
261726,5076235,VPVV882_gp45,VPVV882_gp45,-,-,-,-,putative phage-related protein,protein-coding,-,-,-,putative phage-related protein,20201220,-
261726,5076236,VPVV882_gp46,VPVV882_gp46,-,-,-,-,3'-5' exonuclease,protein-coding,-,-,-,3'-5' exonuclease,20201220,-
261726,5076237,VPVV882_gp47,VPVV882_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076238,VPVV882_gp48,VPVV882_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076239,VPVV882_gp33,VPVV882_gp33,-,-,-,-,phage tail X,protein-coding,-,-,-,phage tail X,20201220,-
261726,5076240,VPVV882_gp25,VPVV882_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076241,VPVV882_gp66,VPVV882_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076242,VPVV882_gp49,VPVV882_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076243,VPVV882_gp12,VPVV882_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076244,VPVV882_gp02,VPVV882_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076245,VPVV882_gp36,VPVV882_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076246,VPVV882_gp31,VPVV882_gp31,-,-,-,-,phage-related tail protein,protein-coding,-,-,-,phage-related tail protein,20201220,-
261726,5076247,VPVV882_gp60,VPVV882_gp60,-,-,-,-,putative phage-related protein,protein-coding,-,-,-,putative phage-related protein,20201220,-
261726,5076248,VPVV882_gp06,VPVV882_gp06,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
261726,5076249,VPVV882_gp55,VPVV882_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076250,FI,VPVV882_gp28,-,-,-,-,major tail sheath protein,protein-coding,-,-,-,major tail sheath protein,20201220,-
261726,5076251,VPVV882_gp29,VPVV882_gp29,-,-,-,-,major tail tube protein,protein-coding,-,-,-,major tail tube protein,20201220,-
261726,5076252,VPVV882_gp39,VPVV882_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076253,VPVV882_gp40,VPVV882_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076254,VPVV882_gp08,VPVV882_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076255,VPVV882_gp34,VPVV882_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076256,VPVV882_gp50,VPVV882_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076257,D,VPVV882_gp35,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201220,-
261726,5076258,VPVV882_gp15,VPVV882_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076259,VPVV882_gp22,VPVV882_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076260,VPVV882_gp05,VPVV882_gp05,-,-,-,-,putative phage-related protein,protein-coding,-,-,-,putative phage-related protein,20201220,-
261726,5076261,VPVV882_gp51,VPVV882_gp51,-,-,-,-,putative phage-related protein,protein-coding,-,-,-,putative phage-related protein,20201220,-
261726,5076262,VPVV882_gp27,VPVV882_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076263,VPVV882_gp38,VPVV882_gp38,-,-,-,-,p26,protein-coding,-,-,-,p26,20201220,-
261726,5076264,VPVV882_gp21,VPVV882_gp21,-,-,-,-,putative pyocin R2_PP,protein-coding,-,-,-,putative pyocin R2_PP,20201220,-
261726,5076265,VPVV882_gp09,VPVV882_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076266,VPVV882_gp11,VPVV882_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076267,VPVV882_gp41,VPVV882_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076268,VPVV882_gp23,VPVV882_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
261726,5076269,J,VPVV882_gp19,-,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20201220,-
261726,5076270,VPVV882_gp16,VPVV882_gp16,-,-,-,-,phage baseplate assembly protein V,protein-coding,-,-,-,phage baseplate assembly protein V,20201220,-
261726,5076271,VPVV882_gp17,VPVV882_gp17,-,-,-,-,putative phage-related protein,protein-coding,-,-,-,putative phage-related protein,20201220,-
261726,5076272,VPVV882_gp07,VPVV882_gp07,-,-,-,-,putative phage-related protein,protein-coding,-,-,-,putative phage-related protein,20201220,-
261726,5076273,VPVV882_gp13,VPVV882_gp13,-,-,-,-,putative phage-related protein,protein-coding,-,-,-,putative phage-related protein,20201220,-
261726,5076274,VPVV882_gp14,VPVV882_gp14,-,-,-,-,putative phage-related protein,protein-coding,-,-,-,putative phage-related protein,20201220,-
261726,5130111,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage VP882; Vibrio phage VP882; Vibrio sp. phage VP882).,other,-,-,-,-,20200513,-
