#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1673874,54972650,HOQ81_gp001,HOQ81_gp001,-,-,-,-,terminase large subunit family protein,protein-coding,-,-,-,terminase large subunit family protein,20201221,-
1673874,54972677,HOQ81_gp196,HOQ81_gp196,-,-,-,-,reverse transcriptase-like protein,protein-coding,-,-,-,reverse transcriptase-like protein,20210130,-
1673874,54972678,HOQ81_gp195,HOQ81_gp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972679,HOQ81_gp194,HOQ81_gp194,-,-,-,-,PhoH family protein,protein-coding,-,-,-,PhoH family protein,20210130,-
1673874,54972680,HOQ81_gp193,HOQ81_gp193,-,-,-,-,RNA ligase family protein,protein-coding,-,-,-,RNA ligase family protein,20210130,-
1673874,54972681,HOQ81_gp192,HOQ81_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972682,HOQ81_gp191,HOQ81_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972683,HOQ81_gp190,HOQ81_gp190,-,-,-,-,LysM peptidoglycan-binding domain-containing protein,protein-coding,-,-,-,LysM peptidoglycan-binding domain-containing protein,20210403,-
1673874,54972684,HOQ81_gp189,HOQ81_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972685,HOQ81_gp188,HOQ81_gp188,-,-,-,-,PcfJ domain-containing protein,protein-coding,-,-,-,PcfJ domain-containing protein,20210130,-
1673874,54972686,HOQ81_gp187,HOQ81_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972687,HOQ81_gp186,HOQ81_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972688,HOQ81_gp185,HOQ81_gp185,-,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20200926,-
1673874,54972689,HOQ81_gp184,HOQ81_gp184,-,-,-,-,DUF3310 domain-containing protein,protein-coding,-,-,-,DUF3310 domain-containing protein,20210130,-
1673874,54972690,HOQ81_gp183,HOQ81_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972691,HOQ81_gp182,HOQ81_gp182,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201221,-
1673874,54972692,HOQ81_gp181,HOQ81_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972693,HOQ81_gp180,HOQ81_gp180,-,-,-,-,ORF163,protein-coding,-,-,-,ORF163,20201221,-
1673874,54972694,HOQ81_gp179,HOQ81_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972695,HOQ81_gp178,HOQ81_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972696,HOQ81_gp177,HOQ81_gp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972697,HOQ81_gp176,HOQ81_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972698,HOQ81_gp175,HOQ81_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972699,HOQ81_gp174,HOQ81_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972700,HOQ81_gp173,HOQ81_gp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972701,HOQ81_gp172,HOQ81_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972702,HOQ81_gp171,HOQ81_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972703,HOQ81_gp170,HOQ81_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972704,HOQ81_gp169,HOQ81_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972705,HOQ81_gt004,HOQ81_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1673874,54972706,HOQ81_gp167,HOQ81_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972707,HOQ81_gp166,HOQ81_gp166,-,-,-,-,serine/threonine protein phosphatase,protein-coding,-,-,-,serine/threonine protein phosphatase,20210130,-
1673874,54972708,HOQ81_gp165,HOQ81_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972709,HOQ81_gp164,HOQ81_gp164,-,-,-,-,NADAR family protein,protein-coding,-,-,-,NADAR family protein,20201221,-
1673874,54972710,HOQ81_gp163,HOQ81_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972711,HOQ81_gp162,HOQ81_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972712,HOQ81_gp161,HOQ81_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972713,HOQ81_gp160,HOQ81_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972714,HOQ81_gp159,HOQ81_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972715,HOQ81_gp158,HOQ81_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972716,HOQ81_gp157,HOQ81_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972717,HOQ81_gp156,HOQ81_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972718,HOQ81_gp155,HOQ81_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972719,HOQ81_gp154,HOQ81_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972720,HOQ81_gp153,HOQ81_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972721,HOQ81_gp152,HOQ81_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972722,HOQ81_gp151,HOQ81_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972723,HOQ81_gp150,HOQ81_gp150,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210129,-
1673874,54972724,HOQ81_gp149,HOQ81_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972725,HOQ81_gp148,HOQ81_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972726,HOQ81_gp147,HOQ81_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972727,HOQ81_gp146,HOQ81_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972728,HOQ81_gp145,HOQ81_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972729,HOQ81_gp144,HOQ81_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972730,HOQ81_gp143,HOQ81_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972731,HOQ81_gp142,HOQ81_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972732,HOQ81_gp141,HOQ81_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972733,HOQ81_gp140,HOQ81_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972734,HOQ81_gp139,HOQ81_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972735,HOQ81_gp138,HOQ81_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972736,HOQ81_gp137,HOQ81_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972737,HOQ81_gp136,HOQ81_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972738,HOQ81_gp135,HOQ81_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972739,HOQ81_gp134,HOQ81_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972740,HOQ81_gp133,HOQ81_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972741,HOQ81_gp132,HOQ81_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972742,HOQ81_gp131,HOQ81_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972743,HOQ81_gp130,HOQ81_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972744,HOQ81_gp129,HOQ81_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972745,HOQ81_gp128,HOQ81_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972746,HOQ81_gp127,HOQ81_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972747,HOQ81_gp126,HOQ81_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972748,HOQ81_gp125,HOQ81_gp125,-,-,-,-,nicotinamide phosphoribosyltransferase,protein-coding,-,-,-,nicotinamide phosphoribosyltransferase,20200926,-
1673874,54972749,HOQ81_gp124,HOQ81_gp124,-,-,-,-,ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,ribose-phosphate pyrophosphokinase,20210327,-
1673874,54972750,HOQ81_gp123,HOQ81_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972751,HOQ81_gp122,HOQ81_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972752,HOQ81_gp121,HOQ81_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972753,HOQ81_gp120,HOQ81_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972754,HOQ81_gp119,HOQ81_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972755,HOQ81_gp118,HOQ81_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972756,HOQ81_gp117,HOQ81_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972757,HOQ81_gp116,HOQ81_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972758,HOQ81_gp115,HOQ81_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972759,HOQ81_gp114,HOQ81_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972760,HOQ81_gp113,HOQ81_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972761,HOQ81_gp112,HOQ81_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972762,HOQ81_gp111,HOQ81_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972763,HOQ81_gp110,HOQ81_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972764,HOQ81_gp109,HOQ81_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972765,HOQ81_gp108,HOQ81_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972766,HOQ81_gp107,HOQ81_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972767,HOQ81_gp106,HOQ81_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972768,HOQ81_gp105,HOQ81_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972769,HOQ81_gp104,HOQ81_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972770,HOQ81_gp103,HOQ81_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972771,HOQ81_gp102,HOQ81_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972772,HOQ81_gp101,HOQ81_gp101,-,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210327,-
1673874,54972773,HOQ81_gp100,HOQ81_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972774,HOQ81_gp099,HOQ81_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972775,HOQ81_gp098,HOQ81_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972776,HOQ81_gp097,HOQ81_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972777,HOQ81_gp096,HOQ81_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1673874,54972778,HOQ81_gp095,HOQ81_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972779,HOQ81_gp094,HOQ81_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972780,HOQ81_gp093,HOQ81_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972781,HOQ81_gp092,HOQ81_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972782,HOQ81_gp091,HOQ81_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972783,HOQ81_gp090,HOQ81_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972784,HOQ81_gp089,HOQ81_gp089,-,-,-,-,sce7726 family protein,protein-coding,-,-,-,sce7726 family protein,20210129,-
1673874,54972785,HOQ81_gp088,HOQ81_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972786,HOQ81_gp087,HOQ81_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972787,HOQ81_gp086,HOQ81_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972788,HOQ81_gp085,HOQ81_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972789,HOQ81_gp084,HOQ81_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972790,HOQ81_gp083,HOQ81_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972791,HOQ81_gp082,HOQ81_gp082,-,-,-,-,ORF189,protein-coding,-,-,-,ORF189,20201221,-
1673874,54972792,HOQ81_gp081,HOQ81_gp081,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210327,-
1673874,54972793,HOQ81_gp080,HOQ81_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972794,HOQ81_gp079,HOQ81_gp079,-,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20210130,-
1673874,54972795,HOQ81_gp078,HOQ81_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972796,HOQ81_gp077,HOQ81_gp077,-,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20210212,-
1673874,54972797,HOQ81_gp076,HOQ81_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1673874,54972798,HOQ81_gp075,HOQ81_gp075,-,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20201217,-
1673874,54972799,HOQ81_gp074,HOQ81_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972800,HOQ81_gp073,HOQ81_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210130,-
1673874,54972801,HOQ81_gp072,HOQ81_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972802,HOQ81_gp071,HOQ81_gp071,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210130,-
1673874,54972803,HOQ81_gp070,HOQ81_gp070,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210129,-
1673874,54972804,HOQ81_gp069,HOQ81_gp069,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210313,-
1673874,54972805,HOQ81_gp068,HOQ81_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972806,HOQ81_gp067,HOQ81_gp067,-,-,-,-,ORF035,protein-coding,-,-,-,ORF035,20210130,-
1673874,54972807,HOQ81_gp066,HOQ81_gp066,-,-,-,-,HU family DNA-binding protein,protein-coding,-,-,-,HU family DNA-binding protein,20210130,-
1673874,54972808,HOQ81_gp065,HOQ81_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972809,HOQ81_gp064,HOQ81_gp064,-,-,-,-,thiol reductase thioredoxin,protein-coding,-,-,-,thiol reductase thioredoxin,20210320,-
1673874,54972810,HOQ81_gp063,HOQ81_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972811,HOQ81_gp062,HOQ81_gp062,-,-,-,-,ribonucleotide-diphosphate reductase subunit beta,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit beta,20210130,-
1673874,54972812,HOQ81_gp061,HOQ81_gp061,-,-,-,-,class 1b ribonucleoside-diphosphate reductase subunit alpha,protein-coding,-,-,-,class 1b ribonucleoside-diphosphate reductase subunit alpha,20210129,-
1673874,54972813,HOQ81_gp060,HOQ81_gp060,-,-,-,-,class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI,protein-coding,-,-,-,class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI,20210320,-
1673874,54972814,HOQ81_gp059,HOQ81_gp059,-,-,-,-,ORF064,protein-coding,-,-,-,ORF064,20210129,-
1673874,54972815,HOQ81_gp058,HOQ81_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972816,HOQ81_gp057,HOQ81_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972817,HOQ81_gp056,HOQ81_gp056,-,-,-,-,putative primase,protein-coding,-,-,-,putative primase,20210130,-
1673874,54972818,HOQ81_gp055,HOQ81_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972819,HOQ81_gp054,HOQ81_gp054,-,-,-,-,recombination related exonuclease,protein-coding,-,-,-,recombination related exonuclease,20210327,-
1673874,54972820,HOQ81_gp053,HOQ81_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972821,HOQ81_gp052,HOQ81_gp052,-,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210130,-
1673874,54972822,HOQ81_gp051,HOQ81_gp051,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201221,-
1673874,54972823,HOQ81_gp050,HOQ81_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1673874,54972824,HOQ81_gp049,HOQ81_gp049,-,-,-,-,DEAD/DEAH box helicase family protein,protein-coding,-,-,-,DEAD/DEAH box helicase family protein,20201221,-
1673874,54972825,HOQ81_gp048,HOQ81_gp048,-,-,-,-,capsid and scaffold,protein-coding,-,-,-,capsid and scaffold,20210327,-
1673874,54972826,HOQ81_gp047,HOQ81_gp047,-,-,-,-,DUF2977 domain-containing protein,protein-coding,-,-,-,DUF2977 domain-containing protein,20201221,-
1673874,54972827,HOQ81_gp046,HOQ81_gp046,-,-,-,-,capsid and scaffold,protein-coding,-,-,-,capsid and scaffold,20210327,-
1673874,54972828,HOQ81_gp045,HOQ81_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972829,HOQ81_gp044,HOQ81_gp044,-,-,-,-,DUF4815 domain-containing protein,protein-coding,-,-,-,DUF4815 domain-containing protein,20201221,-
1673874,54972830,HOQ81_gp043,HOQ81_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972831,HOQ81_gp042,HOQ81_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972832,HOQ81_gp041,HOQ81_gp041,-,-,-,-,baseplate J/gp47 family protein,protein-coding,-,-,-,baseplate J/gp47 family protein,20210320,-
1673874,54972833,HOQ81_gp040,HOQ81_gp040,-,-,-,-,DUF2634 domain-containing protein,protein-coding,-,-,-,DUF2634 domain-containing protein,20210130,-
1673874,54972834,HOQ81_gp039,HOQ81_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972835,HOQ81_gp038,HOQ81_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972836,HOQ81_gp037,HOQ81_gp037,-,-,-,-,glycerophosphoryl diester phosphodiesterase,protein-coding,-,-,-,glycerophosphoryl diester phosphodiesterase,20210129,-
1673874,54972837,HOQ81_gp036,HOQ81_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673874,54972838,HOQ81_gp035,HOQ81_gp035,-,-,-,-,secretory antigen SsaA-like protein,protein-coding,-,-,-,secretory antigen SsaA-like protein,20210327,-
1673874,54972839,HOQ81_gp034,HOQ81_gp034,-,-,-,-,DNA transfer protein,protein-coding,-,-,-,DNA transfer protein,20210327,-
1673874,54972840,HOQ81_gp033,HOQ81_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
