#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
937835,18559040,CJ98_gp02,CJ98_gp02,-,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20201220,-
937835,18559064,CJ98_gp26,CJ98_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
937835,18559065,CJ98_gp27,CJ98_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559066,CJ98_gp28,CJ98_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559067,CJ98_gp29,CJ98_gp29,-,-,-,-,winged helix-turn-helix domain-containing protein,protein-coding,-,-,-,winged helix-turn-helix domain-containing protein,20210417,-
937835,18559068,CJ98_gp30,CJ98_gp30,-,-,-,-,protease,protein-coding,-,-,-,protease,20201220,-
937835,18559069,CJ98_gp31,CJ98_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559070,CJ98_gp32,CJ98_gp32,-,-,-,-,Mu-like promajor head subunit gpT family protein,protein-coding,-,-,-,Mu-like promajor head subunit gpT family protein,20201220,-
937835,18559071,CJ98_gp33,CJ98_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
937835,18559072,CJ98_gp34,CJ98_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559073,CJ98_gp35,CJ98_gp35,-,-,-,-,DUF1320 domain-containing protein,protein-coding,-,-,-,DUF1320 domain-containing protein,20210417,-
937835,18559074,CJ98_gp36,CJ98_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559075,CJ98_gp37,CJ98_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559076,CJ98_gp38,CJ98_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559077,CJ98_gp39,CJ98_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559078,CJ98_gp40,CJ98_gp40,-,-,-,-,hypothetical protein gpGT,protein-coding,-,-,-,hypothetical protein gpGT,20200629,-
937835,18559079,CJ98_gp41,CJ98_gp41,-,-,-,-,putative tail component protein,protein-coding,-,-,-,putative tail component protein,20200629,-
937835,18559080,CJ98_gp42,CJ98_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559081,CJ98_gp43,CJ98_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559082,CJ98_gp44,CJ98_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559083,CJ98_gp45,CJ98_gp45,-,-,-,-,BR0599 family protein,protein-coding,-,-,-,BR0599 family protein,20201220,-
937835,18559084,CJ98_gp46,CJ98_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559085,CJ98_gp47,CJ98_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559086,CJ98_gp48,CJ98_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
937835,18559087,CJ98_gp49,CJ98_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559088,CJ98_gp50,CJ98_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559089,CJ98_gp51,CJ98_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
937835,18559090,CJ98_gp01,CJ98_gp01,-,-,-,-,transposase A,protein-coding,-,-,-,transposase A,20200629,-
937835,18669521,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Pseudomonas phage PA1/KOR/2010; Pseudomonas phage PA1phi).,other,-,-,-,-,20200513,-
