#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1340810,18504578,S-MbCM7_002,S-MbCM7_002,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20201221,-
1340810,18504637,S-MbCM7_061,S-MbCM7_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504638,S-MbCM7_062,S-MbCM7_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504639,S-MbCM7_063,S-MbCM7_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504640,S-MbCM7_064,S-MbCM7_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504641,S-MbCM7_065,S-MbCM7_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504642,S-MbCM7_066,S-MbCM7_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504643,S-MbCM7_067,S-MbCM7_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504644,S-MbCM7_068,S-MbCM7_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504645,S-MbCM7_069,S-MbCM7_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504646,S-MbCM7_070,S-MbCM7_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504647,S-MbCM7_071,S-MbCM7_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504648,S-MbCM7_072,S-MbCM7_072,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20201221,-
1340810,18504649,S-MbCM7_073,S-MbCM7_073,-,-,-,-,phosphoribosylaminoimidazole,protein-coding,-,-,-,phosphoribosylaminoimidazole,20201221,-
1340810,18504650,S-MbCM7_074,S-MbCM7_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504651,S-MbCM7_075,S-MbCM7_075,-,-,-,-,base plate wedge subunit,protein-coding,-,-,-,base plate wedge subunit,20201221,-
1340810,18504652,S-MbCM7_076,S-MbCM7_076,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20201221,-
1340810,18504653,S-MbCM7_077,S-MbCM7_077,-,-,-,-,VrlC protein,protein-coding,-,-,-,VrlC protein,20201221,-
1340810,18504654,S-MbCM7_078,S-MbCM7_078,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20201221,-
1340810,18504655,S-MbCM7_079,S-MbCM7_079,-,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20201221,-
1340810,18504656,S-MbCM7_080,S-MbCM7_080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504657,S-MbCM7_081,S-MbCM7_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504658,S-MbCM7_082,S-MbCM7_082,-,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1340810,18504659,S-MbCM7_083,S-MbCM7_083,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201221,-
1340810,18504660,S-MbCM7_084,S-MbCM7_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504661,S-MbCM7_085,S-MbCM7_085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504662,S-MbCM7_086,S-MbCM7_086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504663,S-MbCM7_087,S-MbCM7_087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504664,S-MbCM7_088,S-MbCM7_088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504665,S-MbCM7_089,S-MbCM7_089,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201221,-
1340810,18504666,S-MbCM7_090,S-MbCM7_090,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201221,-
1340810,18504667,S-MbCM7_091,S-MbCM7_091,-,-,-,-,proximal tail sheath,protein-coding,-,-,-,proximal tail sheath,20201221,-
1340810,18504668,S-MbCM7_092,S-MbCM7_092,-,-,-,-,terminase DNA packaging enzyme,protein-coding,-,-,-,terminase DNA packaging enzyme,20201221,-
1340810,18504669,S-MbCM7_093,S-MbCM7_093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504670,S-MbCM7_094,S-MbCM7_094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504671,S-MbCM7_095,S-MbCM7_095,-,-,-,-,plastocyanine,protein-coding,-,-,-,plastocyanine,20201221,-
1340810,18504672,S-MbCM7_096,S-MbCM7_096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504673,S-MbCM7_097,S-MbCM7_097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504674,S-MbCM7_098,S-MbCM7_098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504675,S-MbCM7_099,S-MbCM7_099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504676,S-MbCM7_100,S-MbCM7_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504677,S-MbCM7_101,S-MbCM7_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504678,S-MbCM7_102,S-MbCM7_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504679,S-MbCM7_103,S-MbCM7_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504680,S-MbCM7_104,S-MbCM7_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504681,S-MbCM7_105,S-MbCM7_105,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1340810,18504682,S-MbCM7_106,S-MbCM7_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504683,S-MbCM7_107,S-MbCM7_107,-,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20201221,-
1340810,18504684,S-MbCM7_108,S-MbCM7_108,-,-,-,-,head-proximal tip of tail tube,protein-coding,-,-,-,head-proximal tip of tail tube,20201221,-
1340810,18504685,S-MbCM7_109,S-MbCM7_109,-,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20201221,-
1340810,18504686,S-MbCM7_110,S-MbCM7_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504687,S-MbCM7_111,S-MbCM7_111,-,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20201221,-
1340810,18504688,S-MbCM7_112,S-MbCM7_112,-,-,-,-,scaffold prohead core protein,protein-coding,-,-,-,scaffold prohead core protein,20201221,-
1340810,18504689,S-MbCM7_113,S-MbCM7_113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504690,S-MbCM7_114,S-MbCM7_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504691,S-MbCM7_115,S-MbCM7_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504692,S-MbCM7_116,S-MbCM7_116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504693,S-MbCM7_117,S-MbCM7_117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504694,S-MbCM7_118,S-MbCM7_118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504695,S-MbCM7_119,S-MbCM7_119,-,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20201221,-
1340810,18504696,S-MbCM7_120,S-MbCM7_120,-,-,-,-,UvsY,protein-coding,-,-,-,UvsY,20201221,-
1340810,18504697,S-MbCM7_121,S-MbCM7_121,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1340810,18504698,S-MbCM7_122,S-MbCM7_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504699,S-MbCM7_123,S-MbCM7_123,-,-,-,-,sigma factor,protein-coding,-,-,-,sigma factor,20201221,-
1340810,18504700,S-MbCM7_124,S-MbCM7_124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504701,S-MbCM7_125,S-MbCM7_125,-,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20201221,-
1340810,18504702,S-MbCM7_126,S-MbCM7_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504703,S-MbCM7_127,S-MbCM7_127,-,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20201221,-
1340810,18504704,S-MbCM7_128,S-MbCM7_128,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201221,-
1340810,18504705,S-MbCM7_129,S-MbCM7_129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504706,S-MbCM7_130,S-MbCM7_130,-,-,-,-,porphyrin biosynthetic protein,protein-coding,-,-,-,porphyrin biosynthetic protein,20201221,-
1340810,18504707,S-MbCM7_131,S-MbCM7_131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504708,S-MbCM7_132,S-MbCM7_132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504709,S-MbCM7_133,S-MbCM7_133,-,-,-,-,sliding clamp DNA polymerase,protein-coding,-,-,-,sliding clamp DNA polymerase,20201221,-
1340810,18504710,S-MbCM7_134,S-MbCM7_134,-,-,-,-,DNA endonuclease V,protein-coding,-,-,-,DNA endonuclease V,20201221,-
1340810,18504711,S-MbCM7_135,S-MbCM7_135,-,-,-,-,SpeD,protein-coding,-,-,-,SpeD,20201221,-
1340810,18504712,S-MbCM7_136,S-MbCM7_136,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20201221,-
1340810,18504713,S-MbCM7_137,S-MbCM7_137,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20201221,-
1340810,18504714,S-MbCM7_138,S-MbCM7_138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504715,S-MbCM7_139,S-MbCM7_139,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20201221,-
1340810,18504716,S-MbCM7_140,S-MbCM7_140,-,-,-,-,endoribonuclease,protein-coding,-,-,-,endoribonuclease,20201221,-
1340810,18504717,S-MbCM7_141,S-MbCM7_141,-,-,-,-,Hsp20 heat shock protein,protein-coding,-,-,-,Hsp20 heat shock protein,20201221,-
1340810,18504718,S-MbCM7_142,S-MbCM7_142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504719,S-MbCM7_143,S-MbCM7_143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504720,S-MbCM7_144,S-MbCM7_144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504721,S-MbCM7_145,S-MbCM7_145,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1340810,18504722,S-MbCM7_146,S-MbCM7_146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504723,S-MbCM7_147,S-MbCM7_147,-,-,-,-,RecA-like protein,protein-coding,-,-,-,RecA-like protein,20201221,-
1340810,18504724,S-MbCM7_148,S-MbCM7_148,-,-,-,-,DNA primase-helicase,protein-coding,-,-,-,DNA primase-helicase,20201221,-
1340810,18504725,S-MbCM7_149,S-MbCM7_149,-,-,-,-,pyrophosphatase,protein-coding,-,-,-,pyrophosphatase,20201221,-
1340810,18504726,S-MbCM7_150,S-MbCM7_150,-,-,-,-,ferredoxin,protein-coding,-,-,-,ferredoxin,20201221,-
1340810,18504727,S-MbCM7_151,S-MbCM7_151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504728,S-MbCM7_152,S-MbCM7_152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504729,S-MbCM7_153,S-MbCM7_153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504730,S-MbCM7_154,S-MbCM7_154,-,-,-,-,cytitidyltransferase,protein-coding,-,-,-,cytitidyltransferase,20201221,-
1340810,18504731,S-MbCM7_155,S-MbCM7_155,-,-,-,-,cytitidyltransferase,protein-coding,-,-,-,cytitidyltransferase,20201221,-
1340810,18504732,S-MbCM7_156,S-MbCM7_156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504733,S-MbCM7_157,S-MbCM7_157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504734,S-MbCM7_158,S-MbCM7_158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504735,S-MbCM7_159,S-MbCM7_159,-,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1340810,18504736,S-MbCM7_160,S-MbCM7_160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504737,S-MbCM7_161,S-MbCM7_161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504738,S-MbCM7_162,S-MbCM7_162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504739,S-MbCM7_163,S-MbCM7_163,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20201221,-
1340810,18504740,S-MbCM7_164,S-MbCM7_164,-,-,-,-,aerobic NDP reductase,protein-coding,-,-,-,aerobic NDP reductase,20201221,-
1340810,18504741,S-MbCM7_165,S-MbCM7_165,-,-,-,-,ribonucleotide reductase A,protein-coding,-,-,-,ribonucleotide reductase A,20201221,-
1340810,18504742,S-MbCM7_166,S-MbCM7_166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504743,S-MbCM7_167,S-MbCM7_167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504744,S-MbCM7_168,S-MbCM7_168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504745,S-MbCM7_169,S-MbCM7_169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504746,S-MbCM7_170,S-MbCM7_170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504747,S-MbCM7_171,S-MbCM7_171,-,-,-,-,transaldolase-like protein,protein-coding,-,-,-,transaldolase-like protein,20201221,-
1340810,18504748,S-MbCM7_172,S-MbCM7_172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504749,S-MbCM7_173,S-MbCM7_173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504750,S-MbCM7_174,S-MbCM7_174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504751,S-MbCM7_175,S-MbCM7_175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504752,S-MbCM7_176,S-MbCM7_176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504753,S-MbCM7_177,S-MbCM7_177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504754,S-MbCM7_178,S-MbCM7_178,-,-,-,-,tail fiber-like protein,protein-coding,-,-,-,tail fiber-like protein,20201221,-
1340810,18504755,S-MbCM7_179,S-MbCM7_179,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1340810,18504756,S-MbCM7_180,S-MbCM7_180,-,-,-,-,fiber protein,protein-coding,-,-,-,fiber protein,20201221,-
1340810,18504757,S-MbCM7_181,S-MbCM7_181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504758,S-MbCM7_182,S-MbCM7_182,-,-,-,-,plasmid stabiliity protein,protein-coding,-,-,-,plasmid stabiliity protein,20201221,-
1340810,18504759,S-MbCM7_183,S-MbCM7_183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504760,S-MbCM7_184,S-MbCM7_184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504761,S-MbCM7_185,S-MbCM7_185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504762,S-MbCM7_186,S-MbCM7_186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504763,S-MbCM7_187,S-MbCM7_187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504764,S-MbCM7_188,S-MbCM7_188,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20201221,-
1340810,18504765,S-MbCM7_189,S-MbCM7_189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504766,S-MbCM7_190,S-MbCM7_190,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20201221,-
1340810,18504767,S-MbCM7_191,S-MbCM7_191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340810,18504768,S-MbCM7_192,S-MbCM7_192,-,-,-,-,photosystem II D2 protein,protein-coding,-,-,-,photosystem II D2 protein,20201221,-
1340810,18504769,S-MbCM7_193,S-MbCM7_193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
