#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1868596,29061067,BI094_gp02,BI094_gp02,-,-,-,-,terminase large subunit family protein,protein-coding,-,-,-,terminase large subunit family protein,20201221,-
1868596,29061107,BI094_gp42,BI094_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061108,BI094_gp43,BI094_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061109,BI094_gp44,BI094_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061110,BI094_gp45,BI094_gp45,-,-,-,-,LuxR family transcriptional regulator,protein-coding,-,-,-,LuxR family transcriptional regulator,20200629,-
1868596,29061111,BI094_gp46,BI094_gp46,-,-,-,-,ParB N-terminal domain-containing protein,protein-coding,-,-,-,ParB N-terminal domain-containing protein,20201221,-
1868596,29061112,BI094_gp47,BI094_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061113,BI094_gp48,BI094_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061114,BI094_gp49,BI094_gp49,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1868596,29061115,BI094_gp50,BI094_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061116,BI094_gp51,BI094_gp51,-,-,-,-,transcriptional regulator PrtR,protein-coding,-,-,-,transcriptional regulator PrtR,20200629,-
1868596,29061117,BI094_gp52,BI094_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061118,BI094_gp53,BI094_gp53,-,-,-,-,antirepressor KilAC domain-containing protein,protein-coding,-,-,-,antirepressor KilAC domain-containing protein,20201221,-
1868596,29061119,BI094_gp54,BI094_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061120,BI094_gp55,BI094_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061121,BI094_gp56,BI094_gp56,-,-,-,-,ninG protein,protein-coding,-,-,-,ninG protein,20200629,-
1868596,29061122,BI094_gp57,BI094_gp57,-,-,-,-,recombination protein NinG,protein-coding,-,-,-,recombination protein NinG,20201221,-
1868596,29061123,BI094_gp58,BI094_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061124,BI094_gp59,BI094_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061125,BI094_gp60,BI094_gp60,-,-,-,-,"holin, lambda family",protein-coding,-,-,-,"holin, lambda family",20210417,-
1868596,29061126,BI094_gp61,BI094_gp61,-,-,-,-,glycoside hydrolase family 19 protein,protein-coding,-,-,-,glycoside hydrolase family 19 protein,20201221,-
1868596,29061127,BI094_gp62,BI094_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061128,BI094_gp63,BI094_gp63,-,-,-,-,lysis protein,protein-coding,-,-,-,lysis protein,20200629,-
1868596,29061129,BI094_gp64,BI094_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868596,29061130,BI094_gp01,BI094_gp01,-,-,-,-,DNA-packaging protein,protein-coding,-,-,-,DNA-packaging protein,20200629,-
1868596,29139976,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
