#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1495285,19485174,e112_026,e112_026,-,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20200629,-
1495285,19485264,e112_116,e112_116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485265,e112_117,e112_117,-,-,-,-,macro domain-containing protein,protein-coding,-,-,-,macro domain-containing protein,20201221,-
1495285,19485266,e112_118,e112_118,-,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20200629,-
1495285,19485267,e112_119,e112_119,-,-,-,-,transglycosylase SLT domain-containing protein,protein-coding,-,-,-,transglycosylase SLT domain-containing protein,20201221,-
1495285,19485268,e112_120,e112_120,-,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20200629,-
1495285,19485269,e112_121,e112_121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485270,e112_122,e112_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485271,e112_123,e112_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485272,e112_124,e112_124,-,-,-,-,autonomous glycyl radical cofactor GrcA,protein-coding,-,-,-,autonomous glycyl radical cofactor GrcA,20201221,-
1495285,19485273,e112_125,e112_125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485274,e112_126,e112_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485275,e112_127,e112_127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485276,e112_128,e112_128,-,-,-,-,glycoside hydrolase family protein,protein-coding,-,-,-,glycoside hydrolase family protein,20201221,-
1495285,19485277,e112_129,e112_129,-,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20200629,-
1495285,19485278,e112_130,e112_130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485279,e112_131,e112_131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485280,e112_132,e112_132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485281,e112_133,e112_133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485282,e112_134,e112_134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485283,e112_135,e112_135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485284,e112_136,e112_136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485285,e112_137,e112_137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485286,e112_139,e112_139,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200629,-
1495285,19485287,e112_143,e112_143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485288,e112_148,e112_148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485289,e112_149,e112_149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485290,e112_150,e112_150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485291,e112_151,e112_151,-,-,-,-,putative internal head protein,protein-coding,-,-,-,putative internal head protein,20200629,-
1495285,19485292,e112_152,e112_152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485293,e112_153,e112_153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485294,e112_154,e112_154,-,-,-,-,chaperone for tail fiber formation,protein-coding,-,-,-,chaperone for tail fiber formation,20200629,-
1495285,19485295,e112_155,e112_155,-,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20200629,-
1495285,19485296,e112_156,e112_156,-,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20200629,-
1495285,19485297,e112_157,e112_157,-,-,-,-,putative site-specific intron-like DNA endonuclease,protein-coding,-,-,-,putative site-specific intron-like DNA endonuclease,20200629,-
1495285,19485298,e112_158,e112_158,-,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20200629,-
1495285,19485299,e112_159,e112_159,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200629,-
1495285,19485300,e112_160,e112_160,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
1495285,19485301,e112_161,e112_161,-,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20200629,-
1495285,19485302,e112_162,e112_162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485303,e112_163,e112_163,-,-,-,-,PAAR domain-containing protein,protein-coding,-,-,-,PAAR domain-containing protein,20201221,-
1495285,19485304,e112_164,e112_164,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
1495285,19485305,e112_165,e112_165,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
1495285,19485306,e112_166,e112_166,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
1495285,19485307,e112_167,e112_167,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20200629,-
1495285,19485308,e112_168,e112_168,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20200629,-
1495285,19485309,e112_169,e112_169,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20200629,-
1495285,19485310,e112_170,e112_170,-,-,-,-,short tail fibers protein,protein-coding,-,-,-,short tail fibers protein,20200926,-
1495285,19485311,e112_171,e112_171,-,-,-,-,fibritin,protein-coding,-,-,-,fibritin,20200629,-
1495285,19485312,e112_172,e112_172,-,-,-,-,putative neck protein,protein-coding,-,-,-,putative neck protein,20201221,-
1495285,19485313,e112_173,e112_173,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200629,-
1495285,19485314,e112_174,e112_174,-,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20200629,-
1495285,19485315,e112_175,e112_175,-,-,-,-,small terminase protein,protein-coding,-,-,-,small terminase protein,20201221,-
1495285,19485316,e112_176,e112_176,-,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20200629,-
1495285,19485317,e112_177,e112_177,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200629,-
1495285,19485318,e112_178,e112_178,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1495285,19485319,e112_179,e112_179,-,-,-,-,portal vertex protein of head,protein-coding,-,-,-,portal vertex protein of head,20200629,-
1495285,19485320,e112_180,e112_180,-,-,-,-,prohead core protein precursor to internal peptides,protein-coding,-,-,-,prohead core protein precursor to internal peptides,20200629,-
1495285,19485321,e112_181,e112_181,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200629,-
1495285,19485322,e112_182,e112_182,-,-,-,-,prohead core scaffolding protein and protease,protein-coding,-,-,-,prohead core scaffolding protein and protease,20210212,-
1495285,19485323,e112_183,e112_183,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20201221,-
1495285,19485324,e112_184,e112_184,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1495285,19485325,e112_185,e112_185,-,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20200629,-
1495285,19485326,e112_186,e112_186,-,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20200629,-
1495285,19485327,e112_187,e112_187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485328,e112_188,e112_188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1495285,19485329,e112_189,e112_189,-,-,-,-,head outer capsid protein,protein-coding,-,-,-,head outer capsid protein,20200629,-
1495285,19485330,e112_190,e112_190,-,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20200629,-
1495285,19485331,e112_191,e112_191,-,-,-,-,DEAD/DEAH box helicase family protein,protein-coding,-,-,-,DEAD/DEAH box helicase family protein,20201221,-
1495285,19485332,e112_192,e112_192,-,-,-,-,RNA-DNA and DNA-DNA helicase ATPase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase ATPase,20200629,-
1495285,19485333,e112_193,e112_193,-,-,-,-,DUF2685 domain-containing protein,protein-coding,-,-,-,DUF2685 domain-containing protein,20201221,-
1495285,19485334,e112_194,e112_194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485335,e112_195,e112_195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485336,e112_196,e112_196,-,-,-,-,recombination mediator protein UvsY,protein-coding,-,-,-,recombination mediator protein UvsY,20210123,-
1495285,19485337,e112_197,e112_197,-,-,-,-,GPW/gp25 family protein,protein-coding,-,-,-,GPW/gp25 family protein,20201221,-
1495285,19485338,e112_198,e112_198,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200629,-
1495285,19485339,e112_199,e112_199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1495285,19485340,e112_200,e112_200,-,-,-,-,base plate hub subunit,protein-coding,-,-,-,base plate hub subunit,20201221,-
1495285,19485341,e112_201,e112_201,-,-,-,-,base plate distal hub subunit,protein-coding,-,-,-,base plate distal hub subunit,20201221,-
1495285,19485342,e112_202,e112_202,-,-,-,-,baseplate hub subunit tail length determinator,protein-coding,-,-,-,baseplate hub subunit tail length determinator,20200629,-
1495285,19485343,e112_203,e112_203,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200629,-
1495285,19485344,e112_204,e112_204,-,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20200629,-
1495285,19485345,e112_205,e112_205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485346,e112_206,e112_206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485347,e112_207,e112_207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485348,e112_208,e112_208,-,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20200629,-
1495285,19485349,e112_209,e112_209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485350,e112_210,e112_210,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200629,-
1495285,19485351,e112_211,e112_211,-,-,-,-,DUF3045 domain-containing protein,protein-coding,-,-,-,DUF3045 domain-containing protein,20201221,-
1495285,19485352,e112_212,e112_212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485353,e112_213,e112_213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485354,e112_214,e112_214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485355,e112_215,e112_215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485356,e112_216,e112_216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485357,e112_217,e112_217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485358,e112_218,e112_218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485359,e112_219,e112_219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485360,e112_220,e112_220,-,-,-,-,lysis inhibition accessory protein,protein-coding,-,-,-,lysis inhibition accessory protein,20200629,-
1495285,19485362,e112_223,e112_223,-,-,-,-,co-chaperone GroES,protein-coding,-,-,-,co-chaperone GroES,20210212,-
1495285,19485363,e112_224,e112_224,-,-,-,-,DUF2693 domain-containing protein,protein-coding,-,-,-,DUF2693 domain-containing protein,20210212,-
1495285,19485364,e112_225,e112_225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485365,e112_226,e112_226,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20200629,-
1495285,19485366,e112_227,e112_227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485367,e112_228,e112_228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485368,e112_229,e112_229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485369,e112_230,e112_230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485370,e112_231,e112_231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485371,e112_232,e112_232,-,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,protein-coding,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,20200629,-
1495285,19485372,e112_233,e112_233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485373,e112_234,e112_234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485374,e112_235,e112_235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485375,e112_236,e112_236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485376,e112_237,e112_237,-,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20210424,-
1495285,19485377,e112_238,e112_238,-,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,protein-coding,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,20200629,-
1495285,19485378,e112_239,e112_239,-,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20200629,-
1495285,19485379,e112_240,e112_240,-,-,-,-,aerobic NDP reductase small subunit,protein-coding,-,-,-,aerobic NDP reductase small subunit,20210123,-
1495285,19485380,e112_241,e112_241,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
1495285,19485381,e112_242,e112_242,-,-,-,-,aerobic NDP reductase small subunit,protein-coding,-,-,-,aerobic NDP reductase small subunit,20200629,-
1495285,19485382,e112_243,e112_243,-,-,-,-,aerobic NDP reductase large subunit,protein-coding,-,-,-,aerobic NDP reductase large subunit,20200629,-
1495285,19485383,e112_244,e112_244,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200629,-
1495285,19485384,e112_245,e112_245,-,-,-,-,aerobic NDP reductase large subunit,protein-coding,-,-,-,aerobic NDP reductase large subunit,20200629,-
1495285,19485386,e112_247,e112_247,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1495285,19485387,e112_248,e112_248,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200629,-
1495285,19485388,e112_249,e112_249,-,-,-,-,endonuclease I-Tevi,protein-coding,-,-,-,endonuclease I-Tevi,20200629,-
1495285,19485389,e112_250,e112_250,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200629,-
