#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1555233,26624246,2,AVV74_gp02,PBI_CARCHARODON_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1555233,26624284,40,AVV74_gp40,PBI_CARCHARODON_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624285,41,AVV74_gp41,PBI_CARCHARODON_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624286,42,AVV74_gp42,PBI_CARCHARODON_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624287,43,AVV74_gp43,PBI_CARCHARODON_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624288,44,AVV74_gp44,PBI_CARCHARODON_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624289,45,AVV74_gp45,PBI_CARCHARODON_45,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
1555233,26624290,46,AVV74_gp46,PBI_CARCHARODON_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624291,47,AVV74_gp47,PBI_CARCHARODON_47,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210424,-
1555233,26624292,48,AVV74_gp48,PBI_CARCHARODON_48,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210424,-
1555233,26624293,49,AVV74_gp49,PBI_CARCHARODON_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624294,50,AVV74_gp50,PBI_CARCHARODON_50,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210424,-
1555233,26624295,51,AVV74_gp51,PBI_CARCHARODON_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624296,52,AVV74_gp52,PBI_CARCHARODON_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624297,53,AVV74_gp53,PBI_CARCHARODON_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624298,54,AVV74_gp54,PBI_CARCHARODON_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624299,55,AVV74_gp55,PBI_CARCHARODON_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624300,56,AVV74_gp56,PBI_CARCHARODON_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1555233,26624301,57,AVV74_gp57,PBI_CARCHARODON_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624302,58,AVV74_gp58,PBI_CARCHARODON_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624303,59,AVV74_gp59,PBI_CARCHARODON_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624304,60,AVV74_gp60,PBI_CARCHARODON_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624305,61,AVV74_gp61,PBI_CARCHARODON_61,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1555233,26624306,62,AVV74_gp62,PBI_CARCHARODON_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624307,63,AVV74_gp63,PBI_CARCHARODON_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624308,64,AVV74_gp64,PBI_CARCHARODON_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624309,65,AVV74_gp65,PBI_CARCHARODON_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624310,66,AVV74_gp66,PBI_CARCHARODON_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624311,67,AVV74_gp67,PBI_CARCHARODON_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624312,68,AVV74_gp68,PBI_CARCHARODON_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624313,69,AVV74_gp69,PBI_CARCHARODON_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624314,70,AVV74_gp70,PBI_CARCHARODON_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624315,71,AVV74_gp71,PBI_CARCHARODON_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26624316,1,AVV74_gp01,PBI_CARCHARODON_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555233,26680664,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Carcharodon).,other,-,-,-,-,20200513,-
