#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1414737,18479618,CC53_gp002,CC53_gp002,L338C_002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1414737,18479638,CC53_gp022,CC53_gp022,L338C_022,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210424,-
1414737,18479639,CC53_gp023,CC53_gp023,L338C_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479640,CC53_gp024,CC53_gp024,L338C_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479641,CC53_gp025,CC53_gp025,L338C_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479642,CC53_gp026,CC53_gp026,L338C_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479643,CC53_gp027,CC53_gp027,L338C_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479644,CC53_gp028,CC53_gp028,L338C_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479645,CC53_gp029,CC53_gp029,L338C_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479646,CC53_gp030,CC53_gp030,L338C_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479647,CC53_gp031,CC53_gp031,L338C_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479648,CC53_gp032,CC53_gp032,L338C_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479649,CC53_gp033,CC53_gp033,L338C_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479650,CC53_gp034,CC53_gp034,L338C_034,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201221,-
1414737,18479651,CC53_gp035,CC53_gp035,L338C_035,-,-,-,tail tape measure domain containing protein,protein-coding,-,-,-,tail tape measure domain containing protein,20201221,-
1414737,18479652,CC53_gp036,CC53_gp036,L338C_036,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
1414737,18479653,CC53_gp037,CC53_gp037,L338C_037,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1414737,18479654,CC53_gp038,CC53_gp038,L338C_038,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1414737,18479655,CC53_gp039,CC53_gp039,L338C_039,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1414737,18479656,CC53_gp040,CC53_gp040,L338C_040,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1414737,18479657,CC53_gp041,CC53_gp041,L338C_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479658,CC53_gp042,CC53_gp042,L338C_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479659,CC53_gp043,CC53_gp043,L338C_043,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1414737,18479660,CC53_gp044,CC53_gp044,L338C_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479661,CC53_gp045,CC53_gp045,L338C_045,-,-,-,deoxynucleotide monophosphate kinase,protein-coding,-,-,-,deoxynucleotide monophosphate kinase,20210424,-
1414737,18479662,CC53_gp046,CC53_gp046,L338C_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479663,CC53_gp047,CC53_gp047,L338C_047,-,-,-,putative hydrolase with a peptidoglycan binding domain,protein-coding,-,-,-,putative hydrolase with a peptidoglycan binding domain,20201221,-
1414737,18479664,CC53_gp048,CC53_gp048,L338C_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479665,CC53_gp049,CC53_gp049,L338C_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479666,CC53_gp050,CC53_gp050,L338C_050,-,-,-,AAA+ family ATPase,protein-coding,-,-,-,AAA+ family ATPase,20210424,-
1414737,18479667,CC53_gp051,CC53_gp051,L338C_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479668,CC53_gp052,CC53_gp052,L338C_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1414737,18479669,CC53_gp053,CC53_gp053,L338C_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1414737,18479670,CC53_gp054,CC53_gp054,L338C_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479671,CC53_gp055,CC53_gp055,L338C_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1414737,18479672,CC53_gp056,CC53_gp056,L338C_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479673,CC53_gp057,CC53_gp057,L338C_057,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20210424,-
1414737,18479674,CC53_gp058,CC53_gp058,L338C_058,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1414737,18479675,CC53_gp059,CC53_gp059,L338C_059,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1414737,18479676,CC53_gp060,CC53_gp060,L338C_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479677,CC53_gp061,CC53_gp061,L338C_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479678,CC53_gp062,CC53_gp062,L338C_062,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
1414737,18479679,CC53_gp063,CC53_gp063,L338C_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479680,CC53_gp064,CC53_gp064,L338C_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479681,CC53_gp065,CC53_gp065,L338C_065,-,-,-,putative DNA repair protein RAD25,protein-coding,-,-,-,putative DNA repair protein RAD25,20201221,-
1414737,18479682,CC53_gp066,CC53_gp066,L338C_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479683,CC53_gp067,CC53_gp067,L338C_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479684,CC53_gp068,CC53_gp068,L338C_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479685,CC53_gp069,CC53_gp069,L338C_069,-,-,-,RecA protein,protein-coding,-,-,-,RecA protein,20201221,-
1414737,18479686,CC53_gp070,CC53_gp070,L338C_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479687,CC53_gp071,CC53_gp071,L338C_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479688,CC53_gp072,CC53_gp072,L338C_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479689,CC53_gp073,CC53_gp073,L338C_073,-,-,-,crossover junction endodeoxyribonuclease RuvC protein,protein-coding,-,-,-,crossover junction endodeoxyribonuclease RuvC protein,20210424,-
1414737,18479690,CC53_gp074,CC53_gp074,L338C_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479691,CC53_gp075,CC53_gp075,L338C_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1414737,18479692,CC53_gp076,CC53_gp076,L338C_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479693,CC53_gp077,CC53_gp077,L338C_077,-,-,-,putative ribonucleoside-thiphosphate reductase,protein-coding,-,-,-,putative ribonucleoside-thiphosphate reductase,20201221,-
1414737,18479694,CC53_gp078,CC53_gp078,L338C_078,-,-,-,ribonucleoside-triphosphate reductase,protein-coding,-,-,-,ribonucleoside-triphosphate reductase,20201221,-
1414737,18479695,CC53_gp079,CC53_gp079,L338C_079,-,-,-,ribonucleoside-thiphosphate reductase,protein-coding,-,-,-,ribonucleoside-thiphosphate reductase,20201221,-
1414737,18479696,CC53_gp080,CC53_gp080,L338C_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479697,CC53_gp081,CC53_gp081,L338C_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479698,CC53_gp082,CC53_gp082,L338C_082,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
1414737,18479699,CC53_gp083,CC53_gp083,L338C_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479700,CC53_gp084,CC53_gp084,L338C_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479701,CC53_gp085,CC53_gp085,L338C_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479702,CC53_gp086,CC53_gp086,L338C_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479703,CC53_gp087,CC53_gp087,L338C_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479704,CC53_gp088,CC53_gp088,L338C_088,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20210424,-
1414737,18479705,CC53_gp089,CC53_gp089,L338C_089,-,-,-,co-activator of prophage gene expression IbrA,protein-coding,-,-,-,co-activator of prophage gene expression IbrA,20201221,-
1414737,18479706,CC53_gp090,CC53_gp090,L338C_090,-,-,-,co-activator of prophage gene expression IbrB,protein-coding,-,-,-,co-activator of prophage gene expression IbrB,20210424,-
1414737,18479707,CC53_gp091,CC53_gp091,L338C_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479708,CC53_gp092,CC53_gp092,L338C_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479709,CC53_gp093,CC53_gp093,L338C_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479710,CC53_gp094,CC53_gp094,L338C_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1414737,18479711,CC53_gp095,CC53_gp095,L338C_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479712,CC53_gp096,CC53_gp096,L338C_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479713,CC53_gp097,CC53_gp097,L338C_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479714,CC53_gp098,CC53_gp098,L338C_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479715,CC53_gp099,CC53_gp099,L338C_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479716,CC53_gp100,CC53_gp100,L338C_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479717,CC53_gp101,CC53_gp101,L338C_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479718,CC53_gp102,CC53_gp102,L338C_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479719,CC53_gp103,CC53_gp103,L338C_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479720,CC53_gp104,CC53_gp104,L338C_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479721,CC53_gp105,CC53_gp105,L338C_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479722,CC53_gp106,CC53_gp106,L338C_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479723,CC53_gp107,CC53_gp107,L338C_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479724,CC53_gp108,CC53_gp108,L338C_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479725,CC53_gp109,CC53_gp109,L338C_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479726,CC53_gp110,CC53_gp110,L338C_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479727,CC53_gp111,CC53_gp111,L338C_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479728,CC53_gp112,CC53_gp112,L338C_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479729,CC53_gp113,CC53_gp113,L338C_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479730,CC53_gp114,CC53_gp114,L338C_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479731,CC53_gp115,CC53_gp115,L338C_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479732,CC53_gp116,CC53_gp116,L338C_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479733,CC53_gp117,CC53_gp117,L338C_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479734,CC53_gp118,CC53_gp118,L338C_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479735,CC53_gp119,CC53_gp119,L338C_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479736,CC53_gp120,CC53_gp120,L338C_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479737,CC53_gp121,CC53_gp121,L338C_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479738,CC53_gp122,CC53_gp122,L338C_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479739,CC53_gp123,CC53_gp123,L338C_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479740,CC53_gp124,CC53_gp124,L338C_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479741,CC53_gp125,CC53_gp125,L338C_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479742,CC53_gp126,CC53_gp126,L338C_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479743,CC53_gp127,CC53_gp127,L338C_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479744,CC53_gp128,CC53_gp128,L338C_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479745,CC53_gp129,CC53_gp129,L338C_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479746,CC53_gp130,CC53_gp130,L338C_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479747,CC53_gp131,CC53_gp131,L338C_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479748,CC53_gp132,CC53_gp132,L338C_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479749,CC53_gp133,CC53_gp133,L338C_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479750,CC53_gp134,CC53_gp134,L338C_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479751,CC53_gp135,CC53_gp135,L338C_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479752,CC53_gp136,CC53_gp136,L338C_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479753,CC53_gp137,CC53_gp137,L338C_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479754,CC53_gp138,CC53_gp138,L338C_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479755,CC53_gp139,CC53_gp139,L338C_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479756,CC53_gp140,CC53_gp140,L338C_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479757,CC53_gp141,CC53_gp141,L338C_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479758,CC53_gp142,CC53_gp142,L338C_142,-,-,-,PKD domain-containing protein,protein-coding,-,-,-,PKD domain-containing protein,20201221,-
1414737,18479759,CC53_gp143,CC53_gp143,L338C_143,-,-,-,polysaccharidase protein,protein-coding,-,-,-,polysaccharidase protein,20201221,-
1414737,18479760,CC53_gp144,CC53_gp144,L338C_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479761,CC53_gp145,CC53_gp145,L338C_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479762,CC53_gp146,CC53_gp146,L338C_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479763,CC53_gp147,CC53_gp147,L338C_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479764,CC53_gp148,CC53_gp148,L338C_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479765,CC53_gp149,CC53_gp149,L338C_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479766,CC53_gp150,CC53_gp150,L338C_150,-,-,-,periplasmic protein,protein-coding,-,-,-,periplasmic protein,20201221,-
1414737,18479767,CC53_gp151,CC53_gp151,L338C_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1414737,18479768,CC53_gp152,CC53_gp152,L338C_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1414737,18479769,CC53_gp153,CC53_gp153,L338C_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479770,CC53_gp154,CC53_gp154,L338C_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479771,CC53_gp155,CC53_gp155,L338C_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479772,CC53_gp156,CC53_gp156,L338C_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479773,CC53_gp157,CC53_gp157,L338C_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479774,CC53_gp158,CC53_gp158,L338C_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479775,CC53_gp159,CC53_gp159,L338C_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479776,CC53_gp160,CC53_gp160,L338C_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479777,CC53_gp161,CC53_gp161,L338C_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479778,CC53_gp162,CC53_gp162,L338C_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479779,CC53_gp163,CC53_gp163,L338C_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1414737,18479780,CC53_gp164,CC53_gp164,L338C_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479781,CC53_gp165,CC53_gp165,L338C_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479782,CC53_gp166,CC53_gp166,L338C_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479783,CC53_gp167,CC53_gp167,L338C_167,-,-,-,polysaccharidase,protein-coding,-,-,-,polysaccharidase,20201221,-
1414737,18479784,CC53_gp168,CC53_gp168,L338C_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479785,CC53_gp169,CC53_gp169,L338C_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479786,CC53_gp170,CC53_gp170,L338C_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1414737,18479787,CC53_gp171,CC53_gp171,L338C_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479788,CC53_gp172,CC53_gp172,L338C_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1414737,18479789,CC53_gp173,CC53_gp173,L338C_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479790,CC53_gp174,CC53_gp174,L338C_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479791,CC53_gp175,CC53_gp175,L338C_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479792,CC53_gp176,CC53_gp176,L338C_176,-,-,-,serine/threonine protein phosphatase,protein-coding,-,-,-,serine/threonine protein phosphatase,20210424,-
1414737,18479793,CC53_gp177,CC53_gp177,L338C_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479794,CC53_gp178,CC53_gp178,L338C_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479795,CC53_gp179,CC53_gp179,L338C_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479796,CC53_gp180,CC53_gp180,L338C_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479797,CC53_gp181,CC53_gp181,L338C_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18479798,CC53_gp001,CC53_gp001,L338C_001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414737,18506819,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
