#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1540098,24608613,CPT_Seurat2,CPT_Seurat2,-,-,-,-,TerL,protein-coding,-,-,-,TerL,20201221,-
1540098,24608634,CPT_Seurat23,CPT_Seurat23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608635,CPT_Seurat24,CPT_Seurat24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608636,CPT_Seurat25,CPT_Seurat25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608637,CPT_Seurat26,CPT_Seurat26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608638,CPT_Seurat27,CPT_Seurat27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608639,CPT_Seurat28,CPT_Seurat28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608640,CPT_Seurat29,CPT_Seurat29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608641,CPT_Seurat30,CPT_Seurat30,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1540098,24608642,CPT_Seurat31,CPT_Seurat31,-,-,-,-,DNA polymerase beta submunit,protein-coding,-,-,-,DNA polymerase beta submunit,20201221,-
1540098,24608643,CPT_Seurat32,CPT_Seurat32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608644,CPT_Seurat33,CPT_Seurat33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608645,CPT_Seurat34,CPT_Seurat34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608646,CPT_Seurat35,CPT_Seurat35,-,-,-,-,queuosine biosynthesis protein FolE,protein-coding,-,-,-,queuosine biosynthesis protein FolE,20201221,-
1540098,24608647,CPT_Seurat36,CPT_Seurat36,-,-,-,-,queuosine biosynthesis protein QueD,protein-coding,-,-,-,queuosine biosynthesis protein QueD,20201221,-
1540098,24608648,CPT_Seurat37,CPT_Seurat37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608649,CPT_Seurat38,CPT_Seurat38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608650,CPT_Seurat39,CPT_Seurat39,-,-,-,-,queuosine biosynthesis protein QueC,protein-coding,-,-,-,queuosine biosynthesis protein QueC,20201221,-
1540098,24608651,CPT_Seurat40,CPT_Seurat40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608652,CPT_Seurat41,CPT_Seurat41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608653,CPT_Seurat42,CPT_Seurat42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608654,CPT_Seurat43,CPT_Seurat43,-,-,-,-,queuosine biosynthesis protein QueE,protein-coding,-,-,-,queuosine biosynthesis protein QueE,20201221,-
1540098,24608655,CPT_Seurat44,CPT_Seurat44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608656,CPT_Seurat45,CPT_Seurat45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608657,CPT_Seurat46,CPT_Seurat46,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1540098,24608658,CPT_Seurat47,CPT_Seurat47,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1540098,24608659,CPT_Seurat48,CPT_Seurat48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608660,CPT_Seurat49,CPT_Seurat49,-,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20201221,-
1540098,24608661,CPT_Seurat50,CPT_Seurat50,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20201221,-
1540098,24608662,CPT_Seurat51,CPT_Seurat51,-,-,-,-,RNaseH,protein-coding,-,-,-,RNaseH,20201221,-
1540098,24608663,CPT_Seurat52,CPT_Seurat52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608664,CPT_Seurat53,CPT_Seurat53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608665,CPT_Seurat54,CPT_Seurat54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608666,CPT_Seurat55,CPT_Seurat55,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20201221,-
1540098,24608667,CPT_Seurat56,CPT_Seurat56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608668,CPT_Seurat57,CPT_Seurat57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608669,CPT_Seurat58,CPT_Seurat58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608670,CPT_Seurat59,CPT_Seurat59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608671,CPT_Seurat60,CPT_Seurat60,-,-,-,-,primase,protein-coding,-,-,-,primase,20201221,-
1540098,24608672,CPT_Seurat61,CPT_Seurat61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608673,CPT_Seurat62,CPT_Seurat62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608674,CPT_Seurat63,CPT_Seurat63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608675,CPT_Seurat64,CPT_Seurat64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608676,CPT_Seurat65,CPT_Seurat65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608677,CPT_Seurat66,CPT_Seurat66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608678,CPT_Seurat67,CPT_Seurat67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608679,CPT_Seurat68,CPT_Seurat68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608680,CPT_Seurat69,CPT_Seurat69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608681,CPT_Seurat70,CPT_Seurat70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608682,CPT_Seurat71,CPT_Seurat71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608683,CPT_Seurat72,CPT_Seurat72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608684,CPT_Seurat73,CPT_Seurat73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608685,CPT_Seurat74,CPT_Seurat74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608686,CPT_Seurat75,CPT_Seurat75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608687,CPT_Seurat76,CPT_Seurat76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608688,CPT_Seurat77,CPT_Seurat77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608689,CPT_Seurat78,CPT_Seurat78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608690,CPT_Seurat79,CPT_Seurat79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608691,CPT_Seurat80,CPT_Seurat80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608692,CPT_Seurat81,CPT_Seurat81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608693,CPT_Seurat82,CPT_Seurat82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608694,CPT_Seurat83,CPT_Seurat83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608695,CPT_Seurat84,CPT_Seurat84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608696,CPT_Seurat85,CPT_Seurat85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608697,CPT_Seurat86,CPT_Seurat86,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1540098,24608698,CPT_Seurat87,CPT_Seurat87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608699,CPT_Seurat88,CPT_Seurat88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540098,24608700,CPT_Seurat1,CPT_Seurat1,-,-,-,-,TerS,protein-coding,-,-,-,TerS,20201221,-
1540098,24936584,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
