#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887653,40071789,2,FDH03_gp002,SEA_STROSAHL_2,-,-,-,ADP-ribosyltransferase,protein-coding,-,-,-,ADP-ribosyltransferase,20200910,-
1887653,40071805,17,FDH03_gp093,SEA_STROSAHL_17,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200910,-
1887653,40071806,18,FDH03_gp092,SEA_STROSAHL_18,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1887653,40071807,19,FDH03_gp091,SEA_STROSAHL_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071808,20,FDH03_gp090,SEA_STROSAHL_20,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200910,-
1887653,40071809,21,FDH03_gp089,SEA_STROSAHL_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071810,22,FDH03_gp088,SEA_STROSAHL_22,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200910,-
1887653,40071811,23,FDH03_gp087,SEA_STROSAHL_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887653,40071812,24,FDH03_gp086,SEA_STROSAHL_24,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200910,-
1887653,40071813,25,FDH03_gp085,SEA_STROSAHL_25,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
1887653,40071814,27,FDH03_gp084,SEA_STROSAHL_27,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
1887653,40071815,28,FDH03_gp082,SEA_STROSAHL_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200910,-
1887653,40071816,26,FDH03_gp083,SEA_STROSAHL_26,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
1887653,40071817,29,FDH03_gp081,SEA_STROSAHL_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1887653,40071818,30,FDH03_gp080,SEA_STROSAHL_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1887653,40071819,31,FDH03_gp079,SEA_STROSAHL_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1887653,40071820,32,FDH03_gp078,SEA_STROSAHL_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200912,-
1887653,40071821,33,FDH03_gp077,SEA_STROSAHL_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1887653,40071822,34,FDH03_gp076,SEA_STROSAHL_34,-,-,-,DNA bridging protein,protein-coding,-,-,-,DNA bridging protein,20210424,-
1887653,40071823,35,FDH03_gp075,SEA_STROSAHL_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071824,36,FDH03_gp074,SEA_STROSAHL_36,-,-,-,dsDNA partitioning protein,protein-coding,-,-,-,dsDNA partitioning protein,20200910,-
1887653,40071825,37,FDH03_gp073,SEA_STROSAHL_37,-,-,-,dsDNA partitioning protein,protein-coding,-,-,-,dsDNA partitioning protein,20200910,-
1887653,40071826,38,FDH03_gp072,SEA_STROSAHL_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071827,39,FDH03_gp071,SEA_STROSAHL_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071828,40,FDH03_gp070,SEA_STROSAHL_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071829,41,FDH03_gp069,SEA_STROSAHL_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071830,42,FDH03_gp068,SEA_STROSAHL_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071831,43,FDH03_gp067,SEA_STROSAHL_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071832,44,FDH03_gp066,SEA_STROSAHL_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071833,45,FDH03_gp065,SEA_STROSAHL_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071834,46,FDH03_gp064,SEA_STROSAHL_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071835,47,FDH03_gp063,SEA_STROSAHL_47,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200910,-
1887653,40071836,48,FDH03_gp062,SEA_STROSAHL_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071837,49,FDH03_gp061,SEA_STROSAHL_49,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210424,-
1887653,40071838,50,FDH03_gp060,SEA_STROSAHL_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071839,51,FDH03_gp059,SEA_STROSAHL_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071840,52,FDH03_gp058,SEA_STROSAHL_52,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200910,-
1887653,40071841,53,FDH03_gp057,SEA_STROSAHL_53,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20200910,-
1887653,40071842,54,FDH03_gp056,SEA_STROSAHL_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071843,55,FDH03_gp055,SEA_STROSAHL_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071844,56,FDH03_gp054,SEA_STROSAHL_56,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200910,-
1887653,40071845,57,FDH03_gp053,SEA_STROSAHL_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071846,58,FDH03_gp052,SEA_STROSAHL_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071847,59,FDH03_gp051,SEA_STROSAHL_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071848,60,FDH03_gp050,SEA_STROSAHL_60,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20200910,-
1887653,40071849,61,FDH03_gp049,SEA_STROSAHL_61,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20200910,-
1887653,40071850,62,FDH03_gp048,SEA_STROSAHL_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071851,63,FDH03_gp047,SEA_STROSAHL_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071852,64,FDH03_gp046,SEA_STROSAHL_64,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20200910,-
1887653,40071853,65,FDH03_gp045,SEA_STROSAHL_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071854,66,FDH03_gp044,SEA_STROSAHL_66,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200910,-
1887653,40071855,63.5,FDH03_gp043,SEA_STROSAHL_67,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200912,-
1887653,40071856,69,FDH03_gp041,SEA_STROSAHL_69,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200912,-
1887653,40071857,70,FDH03_gp040,SEA_STROSAHL_70,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210424,-
1887653,40071858,71,FDH03_gp039,SEA_STROSAHL_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071859,72,FDH03_gp038,SEA_STROSAHL_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071860,73,FDH03_gp037,SEA_STROSAHL_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071861,74,FDH03_gp036,SEA_STROSAHL_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071862,75,FDH03_gp035,SEA_STROSAHL_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071863,76,FDH03_gp034,SEA_STROSAHL_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071864,77,FDH03_gp033,SEA_STROSAHL_77,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20200910,-
1887653,40071865,78,FDH03_gp032,SEA_STROSAHL_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071866,79,FDH03_gp031,SEA_STROSAHL_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071867,80,FDH03_gp030,SEA_STROSAHL_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887653,40071868,81,FDH03_gp029,SEA_STROSAHL_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071869,82,FDH03_gp028,SEA_STROSAHL_82,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200910,-
1887653,40071870,83,FDH03_gp027,SEA_STROSAHL_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887653,40071871,84,FDH03_gp026,SEA_STROSAHL_84,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200910,-
1887653,40071872,85,FDH03_gp025,SEA_STROSAHL_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071873,86,FDH03_gp024,SEA_STROSAHL_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071874,87,FDH03_gp023,SEA_STROSAHL_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071875,88,FDH03_gp022,SEA_STROSAHL_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887653,40071876,89,FDH03_gp021,SEA_STROSAHL_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071877,90,FDH03_gp020,SEA_STROSAHL_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071878,91,FDH03_gp019,SEA_STROSAHL_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071879,92,FDH03_gp018,SEA_STROSAHL_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071880,93,FDH03_gp017,SEA_STROSAHL_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071881,94,FDH03_gp016,SEA_STROSAHL_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071882,95,FDH03_gp015,SEA_STROSAHL_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071883,96,FDH03_gp014,SEA_STROSAHL_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071884,97,FDH03_gp013,SEA_STROSAHL_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071885,98,FDH03_gp012,SEA_STROSAHL_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071886,99,FDH03_gp011,SEA_STROSAHL_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071887,100,FDH03_gp010,SEA_STROSAHL_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071888,101,FDH03_gp009,SEA_STROSAHL_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40071889,68,FDH03_gp042,SEA_STROSAHL_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887653,40120331,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
