#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1445728,18504038,2,PBI_SAAL_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1445728,18504130,94,PBI_SAAL_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504131,95,PBI_SAAL_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504132,96,PBI_SAAL_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504133,97,PBI_SAAL_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504134,98,PBI_SAAL_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1445728,18504135,99,PBI_SAAL_99,-,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20200629,-
1445728,18504136,100,PBI_SAAL_100,-,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20200629,-
1445728,18504137,101,PBI_SAAL_101,-,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20210424,-
1445728,18504138,1,PBI_SAAL_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1445728,18558801,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Saal).,other,-,-,-,-,20200513,-
