#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
673835,8676702,gp02,EP-phiFL2A_gp02,-,-,-,-,ImmA/IrrE family metallo-endopeptidase,protein-coding,-,-,-,ImmA/IrrE family metallo-endopeptidase,20201220,-
673835,8676751,gp51,EP-phiFL2A_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676752,gp52,EP-phiFL2A_gp52,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
673835,8676753,gp53,EP-phiFL2A_gp53,-,-,-,-,PblA-like tail protein,protein-coding,-,-,-,PblA-like tail protein,20200629,-
673835,8676754,gp54,EP-phiFL2A_gp54,-,-,-,-,PblA-like tail protein,protein-coding,-,-,-,PblA-like tail protein,20200629,-
673835,8676755,gp55,EP-phiFL2A_gp55,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
673835,8676756,gp56,EP-phiFL2A_gp56,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
673835,8676757,gp57,EP-phiFL2A_gp57,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201220,-
673835,8676758,gp58,EP-phiFL2A_gp58,-,-,-,-,BppU familygbaseplate upper protein,protein-coding,-,-,-,BppU familygbaseplate upper protein,20201220,-
673835,8676759,gp59,EP-phiFL2A_gp59,-,-,-,-,hemolysin XhlA family protein,protein-coding,-,-,-,hemolysin XhlA family protein,20201220,-
673835,8676760,gp60,EP-phiFL2A_gp60,-,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
673835,8676761,gp61,EP-phiFL2A_gp61,-,-,-,-,LysM peptidoglycan-binding domain-containing protein,protein-coding,-,-,-,LysM peptidoglycan-binding domain-containing protein,20201220,-
673835,8676762,gp62,EP-phiFL2A_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676763,gp63,EP-phiFL2A_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673835,8676764,gp01,EP-phiFL2A_gp01,-,-,-,-,recombinase family protein,protein-coding,-,-,-,recombinase family protein,20201220,-
673835,8811817,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterococcus faecalis phage phiFL2A).,other,-,-,-,-,20200513,-
