#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1416030,20282719,LA65_gp53,LA65_gp53,AHS24_53,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
1416030,20282736,LA65_gp18,LA65_gp18,AHS24_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1416030,20282737,LA65_gp19,LA65_gp19,AHS24_19,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200910,-
1416030,20282738,LA65_gp20,LA65_gp20,AHS24_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1416030,20282739,LA65_gp21,LA65_gp21,AHS24_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282740,LA65_gp22,LA65_gp22,AHS24_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1416030,20282741,LA65_gp23,LA65_gp23,AHS24_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1416030,20282742,LA65_gp24,LA65_gp24,AHS24_24,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20200910,-
1416030,20282743,LA65_gp25,LA65_gp25,AHS24_25,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200910,-
1416030,20282744,LA65_gp26,LA65_gp26,AHS24_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282745,LA65_gp27,LA65_gp27,AHS24_27,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
1416030,20282746,LA65_gp28,LA65_gp28,AHS24_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282747,LA65_gp29,LA65_gp29,AHS24_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282748,LA65_gp30,LA65_gp30,AHS24_30,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20200910,-
1416030,20282749,LA65_gp31,LA65_gp31,AHS24_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282750,LA65_gp32,LA65_gp32,AHS24_32,-,-,-,exodeoxyribonuclease VIII,protein-coding,-,-,-,exodeoxyribonuclease VIII,20200910,-
1416030,20282751,LA65_gp33,LA65_gp33,AHS24_33,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1416030,20282752,LA65_gp34,LA65_gp34,AHS24_34,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20200910,-
1416030,20282753,LA65_gp35,LA65_gp35,AHS24_35,-,-,-,single-stranded DNA binding protein Ssb,protein-coding,-,-,-,single-stranded DNA binding protein Ssb,20200910,-
1416030,20282754,LA65_gp36,LA65_gp36,AHS24_36,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20200910,-
1416030,20282755,LA65_gp37,LA65_gp37,AHS24_37,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200910,-
1416030,20282756,LA65_gp38,LA65_gp38,AHS24_38,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200910,-
1416030,20282757,LA65_gp39,LA65_gp39,AHS24_39,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20200910,-
1416030,20282758,LA65_gp40,LA65_gp40,AHS24_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282759,LA65_gp41,LA65_gp41,AHS24_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282760,LA65_gp42,LA65_gp42,AHS24_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282761,LA65_gp43,LA65_gp43,AHS24_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282762,LA65_gp44,LA65_gp44,AHS24_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282763,LA65_gp45,LA65_gp45,AHS24_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282764,LA65_gp46,LA65_gp46,AHS24_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282765,LA65_gp47,LA65_gp47,AHS24_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282766,LA65_gp48,LA65_gp48,AHS24_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282767,LA65_gp49,LA65_gp49,AHS24_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282768,LA65_gp50,LA65_gp50,AHS24_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282769,LA65_gp51,LA65_gp51,AHS24_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282770,LA65_gp52,LA65_gp52,AHS24_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282771,LA65_gp54,LA65_gp54,AHS24_54,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210424,-
1416030,20282772,LA65_gp55,LA65_gp55,AHS24_55,-,-,-,Rz1 protein,protein-coding,-,-,-,Rz1 protein,20200910,-
1416030,20282773,LA65_gp56,LA65_gp56,AHS24_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282774,LA65_gp57,LA65_gp57,AHS24_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282775,LA65_gp58,LA65_gp58,AHS24_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282776,LA65_gp59,LA65_gp59,AHS24_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282777,LA65_gp60,LA65_gp60,AHS24_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282778,LA65_gp61,LA65_gp61,AHS24_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282779,LA65_gp62,LA65_gp62,AHS24_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282780,LA65_gp63,LA65_gp63,AHS24_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282781,LA65_gp64,LA65_gp64,AHS24_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282782,LA65_gp65,LA65_gp65,AHS24_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282783,LA65_gp66,LA65_gp66,AHS24_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282784,LA65_gp67,LA65_gp67,AHS24_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282785,LA65_gp68,LA65_gp68,AHS24_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282786,LA65_gp69,LA65_gp69,AHS24_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282787,LA65_gp70,LA65_gp70,AHS24_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282788,LA65_gp71,LA65_gp71,AHS24_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282789,LA65_gp72,LA65_gp72,AHS24_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282790,LA65_gp73,LA65_gp73,AHS24_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282791,LA65_gp74,LA65_gp74,AHS24_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282792,LA65_gp75,LA65_gp75,AHS24_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282793,LA65_gp76,LA65_gp76,AHS24_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282794,LA65_gp77,LA65_gp77,AHS24_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282795,LA65_gp78,LA65_gp78,AHS24_78,-,-,-,putative fusion protein,protein-coding,-,-,-,putative fusion protein,20200910,-
1416030,20282796,LA65_gp79,LA65_gp79,AHS24_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282797,LA65_gt01,LA65_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1416030,20282798,LA65_gp80,LA65_gp80,AHS24_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282799,LA65_gp81,LA65_gp81,AHS24_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1416030,20282800,LA65_gp01,LA65_gp01,AHS24_01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210424,-
1416030,20340421,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Escherichia coli phage bV_EcoS_AHS24; Escherichia phage bV_EcoS_AHS24).,other,-,-,-,-,20200513,-
