#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821558,29065684,2,SEA_NYMPHADORA_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1821558,29065713,31,SEA_NYMPHADORA_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065714,32,SEA_NYMPHADORA_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065715,33,SEA_NYMPHADORA_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065716,34,SEA_NYMPHADORA_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065717,35,SEA_NYMPHADORA_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065718,36,SEA_NYMPHADORA_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065719,37,SEA_NYMPHADORA_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065720,38,SEA_NYMPHADORA_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065721,39,SEA_NYMPHADORA_39,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1821558,29065722,40,SEA_NYMPHADORA_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821558,29065723,41,SEA_NYMPHADORA_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065724,42,SEA_NYMPHADORA_42,-,-,-,-,HipA toxin,protein-coding,-,-,-,HipA toxin,20201221,-
1821558,29065725,43,SEA_NYMPHADORA_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065726,44,SEA_NYMPHADORA_44,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1821558,29065727,45,SEA_NYMPHADORA_45,-,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20201221,-
1821558,29065728,46,SEA_NYMPHADORA_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065729,47,SEA_NYMPHADORA_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065730,48,SEA_NYMPHADORA_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065731,49,SEA_NYMPHADORA_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065732,50,SEA_NYMPHADORA_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065733,51,SEA_NYMPHADORA_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065734,52,SEA_NYMPHADORA_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065735,53,SEA_NYMPHADORA_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065736,54,SEA_NYMPHADORA_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065737,55,SEA_NYMPHADORA_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065738,56,SEA_NYMPHADORA_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065739,57,SEA_NYMPHADORA_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065740,58,SEA_NYMPHADORA_58,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1821558,29065741,59,SEA_NYMPHADORA_59,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1821558,29065742,60,SEA_NYMPHADORA_60,-,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20201221,-
1821558,29065743,61,SEA_NYMPHADORA_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065744,62,SEA_NYMPHADORA_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065745,63,SEA_NYMPHADORA_63,-,-,-,-,molecular chaperone DnaJ,protein-coding,-,-,-,molecular chaperone DnaJ,20201221,-
1821558,29065746,64,SEA_NYMPHADORA_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065747,65,SEA_NYMPHADORA_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065748,66,SEA_NYMPHADORA_66,-,-,-,-,site-specific DNA methylase,protein-coding,-,-,-,site-specific DNA methylase,20201221,-
1821558,29065749,67,SEA_NYMPHADORA_67,-,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20201221,-
1821558,29065750,68,SEA_NYMPHADORA_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065751,69,SEA_NYMPHADORA_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065752,70,SEA_NYMPHADORA_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065753,71,SEA_NYMPHADORA_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065754,72,SEA_NYMPHADORA_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065755,73,SEA_NYMPHADORA_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065756,74,SEA_NYMPHADORA_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065757,75,SEA_NYMPHADORA_75,-,-,-,-,crossover junction endodeoxyribonuclease,protein-coding,-,-,-,crossover junction endodeoxyribonuclease,20201221,-
1821558,29065758,76,SEA_NYMPHADORA_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065759,77,SEA_NYMPHADORA_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065760,78,SEA_NYMPHADORA_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065761,79,SEA_NYMPHADORA_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065762,80,SEA_NYMPHADORA_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065763,81,SEA_NYMPHADORA_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065764,82,SEA_NYMPHADORA_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065765,83,SEA_NYMPHADORA_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821558,29065766,84,SEA_NYMPHADORA_84,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1821558,29065767,1,SEA_NYMPHADORA_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1821558,29139914,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
