#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301662,55810694,HYP70_gp002,HYP70_gp002,KARL1_02,-,-,-,putative anti-sigma factor,protein-coding,-,-,-,putative anti-sigma factor,20200704,-
2301662,55810726,HYP70_gp034,HYP70_gp034,KARL1_34,-,-,-,DNA topoisomerase II medium subunit,protein-coding,-,-,-,DNA topoisomerase II medium subunit,20210424,-
2301662,55810727,HYP70_gp035,HYP70_gp035,KARL1_35,-,-,-,activator of middle period transcription,protein-coding,-,-,-,activator of middle period transcription,20210424,-
2301662,55810728,HYP70_gp036,HYP70_gp036,KARL1_36,-,-,-,anti-sigma 70 protein,protein-coding,-,-,-,anti-sigma 70 protein,20210403,-
2301662,55810729,HYP70_gp037,HYP70_gp037,KARL1_37,-,-,-,holin lysis mediator,protein-coding,-,-,-,holin lysis mediator,20210424,-
2301662,55810730,HYP70_gp038,HYP70_gp038,KARL1_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810731,HYP70_gp039,HYP70_gp039,KARL1_39,-,-,-,long distal tail fiber subunit,protein-coding,-,-,-,long distal tail fiber subunit,20210424,-
2301662,55810732,HYP70_gp040,HYP70_gp040,KARL1_40,-,-,-,hinge connector of long tail fiber distal connector,protein-coding,-,-,-,hinge connector of long tail fiber distal connector,20200704,-
2301662,55810733,HYP70_gp041,HYP70_gp041,KARL1_41,-,-,-,hinge connector of long tail fiber proximal connector,protein-coding,-,-,-,hinge connector of long tail fiber proximal connector,20200704,-
2301662,55810734,HYP70_gp042,HYP70_gp042,KARL1_42,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20210424,-
2301662,55810735,HYP70_gp043,HYP70_gp043,KARL1_43,-,-,-,ribonuclease,protein-coding,-,-,-,ribonuclease,20200801,-
2301662,55810736,HYP70_gp044,HYP70_gp044,KARL1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810737,HYP70_gp045,HYP70_gp045,KARL1_45,-,-,-,late transcription dsDNA binding protein,protein-coding,-,-,-,late transcription dsDNA binding protein,20200801,-
2301662,55810738,HYP70_gp046,HYP70_gp046,KARL1_46,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20210424,-
2301662,55810739,HYP70_gp047,HYP70_gp047,KARL1_47,-,-,-,loader of DNA helicase,protein-coding,-,-,-,loader of DNA helicase,20200801,-
2301662,55810740,HYP70_gp048,HYP70_gp048,KARL1_48,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20200905,-
2301662,55810741,HYP70_gp049,HYP70_gp049,KARL1_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810742,HYP70_gp050,HYP70_gp050,KARL1_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810743,HYP70_gp051,HYP70_gp051,KARL1_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810744,HYP70_gp052,HYP70_gp052,KARL1_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810745,HYP70_gp053,HYP70_gp053,KARL1_53,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210424,-
2301662,55810746,HYP70_gp054,HYP70_gp054,KARL1_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810747,HYP70_gp055,HYP70_gp055,KARL1_55,-,-,-,dTMP (thymidylate) synthase,protein-coding,-,-,-,dTMP (thymidylate) synthase,20210403,-
2301662,55810748,HYP70_gp056,HYP70_gp056,KARL1_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810749,HYP70_gp057,HYP70_gp057,KARL1_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301662,55810750,HYP70_gp058,HYP70_gp058,KARL1_58,-,-,-,aerobic NDP reductase large subunit,protein-coding,-,-,-,aerobic NDP reductase large subunit,20210424,-
2301662,55810751,HYP70_gp059,HYP70_gp059,KARL1_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810752,HYP70_gp060,HYP70_gp060,KARL1_60,-,-,-,aerobic NDP reductase large subunit,protein-coding,-,-,-,aerobic NDP reductase large subunit,20210424,-
2301662,55810753,HYP70_gp061,HYP70_gp061,KARL1_61,-,-,-,aerobic NDP reductase small subunit,protein-coding,-,-,-,aerobic NDP reductase small subunit,20210424,-
2301662,55810754,HYP70_gp062,HYP70_gp062,KARL1_62,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,protein-coding,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,20210424,-
2301662,55810755,HYP70_gp063,HYP70_gp063,KARL1_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810756,HYP70_gp064,HYP70_gp064,KARL1_64,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20200801,-
2301662,55810757,HYP70_gp065,HYP70_gp065,KARL1_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810758,HYP70_gp066,HYP70_gp066,KARL1_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810759,HYP70_gp067,HYP70_gp067,KARL1_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810760,HYP70_gp068,HYP70_gp068,KARL1_68,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,protein-coding,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,20210424,-
2301662,55810761,HYP70_gp069,HYP70_gp069,KARL1_69,-,-,-,putative bacterial NUDIX hydrolase,protein-coding,-,-,-,putative bacterial NUDIX hydrolase,20210424,-
2301662,55810762,HYP70_gp070,HYP70_gp070,KARL1_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810763,HYP70_gp071,HYP70_gp071,KARL1_71,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20210424,-
2301662,55810764,HYP70_gp072,HYP70_gp072,KARL1_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301662,55810765,HYP70_gp073,HYP70_gp073,KARL1_73,-,-,-,head assembly cochaperone with GroEL,protein-coding,-,-,-,head assembly cochaperone with GroEL,20210424,-
2301662,55810766,HYP70_gp074,HYP70_gp074,KARL1_74,-,-,-,rIII lysis inhibition accessory protein,protein-coding,-,-,-,rIII lysis inhibition accessory protein,20200905,-
2301662,55810767,HYP70_gp075,HYP70_gp075,KARL1_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810768,HYP70_gp076,HYP70_gp076,KARL1_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810769,HYP70_gp077,HYP70_gp077,KARL1_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301662,55810770,HYP70_gp078,HYP70_gp078,KARL1_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301662,55810771,HYP70_gp079,HYP70_gp079,KARL1_79,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210424,-
2301662,55810772,HYP70_gp080,HYP70_gp080,KARL1_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810773,HYP70_gp081,HYP70_gp081,KARL1_81,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20210424,-
2301662,55810774,HYP70_gp082,HYP70_gp082,KARL1_82,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20200801,-
2301662,55810775,HYP70_gp083,HYP70_gp083,KARL1_83,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200801,-
2301662,55810776,HYP70_gp084,HYP70_gp084,KARL1_84,-,-,-,"baseplate hub subunit, tail length determinator",protein-coding,-,-,-,"baseplate hub subunit, tail length determinator",20200704,-
2301662,55810777,HYP70_gp085,HYP70_gp085,KARL1_85,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20200801,-
2301662,55810778,HYP70_gp086,HYP70_gp086,KARL1_86,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210424,-
2301662,55810779,HYP70_gp087,HYP70_gp087,KARL1_87,-,-,-,baseplate hub assembly catalyst,protein-coding,-,-,-,baseplate hub assembly catalyst,20210424,-
2301662,55810780,HYP70_gp088,HYP70_gp088,KARL1_88,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200801,-
2301662,55810781,HYP70_gp089,HYP70_gp089,KARL1_89,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200905,-
2301662,55810782,HYP70_gp090,HYP70_gp090,KARL1_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810783,HYP70_gp091,HYP70_gp091,KARL1_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810784,HYP70_gp092,HYP70_gp092,KARL1_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810785,HYP70_gp093,HYP70_gp093,KARL1_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810786,HYP70_gp094,HYP70_gp094,KARL1_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810787,HYP70_gp095,HYP70_gp095,KARL1_95,-,-,-,RNA-DNA and DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase,20210424,-
2301662,55810788,HYP70_gp096,HYP70_gp096,KARL1_96,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20200704,-
2301662,55810789,HYP70_gp097,HYP70_gp097,KARL1_97,-,-,-,head outer capsid protein,protein-coding,-,-,-,head outer capsid protein,20200704,-
2301662,55810790,HYP70_gp098,HYP70_gp098,KARL1_98,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20210424,-
2301662,55810791,HYP70_gp099,HYP70_gp099,KARL1_99,-,-,-,putative Hef-like homing endonuclease,protein-coding,-,-,-,putative Hef-like homing endonuclease,20210424,-
2301662,55810792,HYP70_gp100,HYP70_gp100,KARL1_100,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20200905,-
2301662,55810793,HYP70_gp101,HYP70_gp101,KARL1_101,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20200905,-
2301662,55810794,HYP70_gp102,HYP70_gp102,KARL1_102,-,-,-,prohead core scaffold protein and protease,protein-coding,-,-,-,prohead core scaffold protein and protease,20210424,-
2301662,55810795,HYP70_gp103,HYP70_gp103,KARL1_103,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200905,-
2301662,55810796,HYP70_gp104,HYP70_gp104,KARL1_104,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210403,-
2301662,55810797,HYP70_gp105,HYP70_gp105,KARL1_105,-,-,-,portal head vertex protein,protein-coding,-,-,-,portal head vertex protein,20210424,-
2301662,55810798,HYP70_gp106,HYP70_gp106,KARL1_106,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200905,-
2301662,55810799,HYP70_gp107,HYP70_gp107,KARL1_107,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210424,-
2301662,55810800,HYP70_gp108,HYP70_gp108,KARL1_108,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20200905,-
2301662,55810801,HYP70_gp109,HYP70_gp109,KARL1_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810802,HYP70_gp110,HYP70_gp110,KARL1_110,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20210424,-
2301662,55810803,HYP70_gp111,HYP70_gp111,KARL1_111,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20210424,-
2301662,55810804,HYP70_gp112,HYP70_gp112,KARL1_112,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210424,-
2301662,55810805,HYP70_gp113,HYP70_gp113,KARL1_113,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200905,-
2301662,55810806,HYP70_gp114,HYP70_gp114,KARL1_114,-,-,-,fibritin neck whiskers protein,protein-coding,-,-,-,fibritin neck whiskers protein,20210424,-
2301662,55810807,HYP70_gp115,HYP70_gp115,KARL1_115,-,-,-,short tail fibers protein,protein-coding,-,-,-,short tail fibers protein,20210424,-
2301662,55810808,HYP70_gp116,HYP70_gp116,KARL1_116,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210403,-
2301662,55810809,HYP70_gp117,HYP70_gp117,KARL1_117,-,-,-,baseplate wedge subunit and tail pin protein,protein-coding,-,-,-,baseplate wedge subunit and tail pin protein,20210424,-
2301662,55810810,HYP70_gp118,HYP70_gp118,KARL1_118,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210129,-
2301662,55810811,HYP70_gp119,HYP70_gp119,KARL1_119,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200905,-
2301662,55810812,HYP70_gp120,HYP70_gp120,KARL1_120,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20210424,-
2301662,55810813,HYP70_gp121,HYP70_gp121,KARL1_121,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200905,-
2301662,55810814,HYP70_gp122,HYP70_gp122,KARL1_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810815,HYP70_gp123,HYP70_gp123,KARL1_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301662,55810816,HYP70_gp124,HYP70_gp124,KARL1_124,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20210424,-
2301662,55810817,HYP70_gp125,HYP70_gp125,KARL1_125,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200801,-
2301662,55810818,HYP70_gp126,HYP70_gp126,KARL1_126,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210424,-
2301662,55810819,HYP70_gp127,HYP70_gp127,KARL1_127,-,-,-,putative Seg-like homing DNA endonuclease,protein-coding,-,-,-,putative Seg-like homing DNA endonuclease,20210424,-
2301662,55810820,HYP70_gp128,HYP70_gp128,KARL1_128,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210417,-
2301662,55810821,HYP70_gp129,HYP70_gp129,KARL1_129,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20210424,-
2301662,55810822,HYP70_gp130,HYP70_gp130,KARL1_130,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20210424,-
2301662,55810823,HYP70_gp131,HYP70_gp131,KARL1_131,-,-,-,chaperone for tail fiber formation,protein-coding,-,-,-,chaperone for tail fiber formation,20200704,-
2301662,55810824,HYP70_gp132,HYP70_gp132,KARL1_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810825,HYP70_gp133,HYP70_gp133,KARL1_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810826,HYP70_gp134,HYP70_gp134,KARL1_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810827,HYP70_gp135,HYP70_gp135,KARL1_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810828,HYP70_gp136,HYP70_gp136,KARL1_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301662,55810829,HYP70_gp137,HYP70_gp137,KARL1_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810830,HYP70_gp138,HYP70_gp138,KARL1_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810831,HYP70_gp139,HYP70_gp139,KARL1_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810832,HYP70_gp140,HYP70_gp140,KARL1_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810833,HYP70_gp141,HYP70_gp141,KARL1_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810834,HYP70_gp142,HYP70_gp142,KARL1_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810835,HYP70_gp143,HYP70_gp143,KARL1_143,-,-,-,putative Seg-like homing endonuclease,protein-coding,-,-,-,putative Seg-like homing endonuclease,20210403,-
2301662,55810836,HYP70_gp144,HYP70_gp144,KARL1_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810837,HYP70_gp145,HYP70_gp145,KARL1_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810838,HYP70_gp146,HYP70_gp146,KARL1_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810839,HYP70_gp147,HYP70_gp147,KARL1_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810840,HYP70_gp148,HYP70_gp148,KARL1_148,-,-,-,lysis inhibition regulator,protein-coding,-,-,-,lysis inhibition regulator,20200905,-
2301662,55810841,HYP70_gp149,HYP70_gp149,KARL1_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810842,HYP70_gp150,HYP70_gp150,KARL1_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810843,HYP70_gp151,HYP70_gp151,KARL1_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810844,HYP70_gp152,HYP70_gp152,KARL1_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301662,55810845,HYP70_gp153,HYP70_gp153,KARL1_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810846,HYP70_gp154,HYP70_gp154,KARL1_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810847,HYP70_gp155,HYP70_gp155,KARL1_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810848,HYP70_gp156,HYP70_gp156,KARL1_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810849,HYP70_gp157,HYP70_gp157,KARL1_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810850,HYP70_gp158,HYP70_gp158,KARL1_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810851,HYP70_gp159,HYP70_gp159,KARL1_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810852,HYP70_gp160,HYP70_gp160,KARL1_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810853,HYP70_gp161,HYP70_gp161,KARL1_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301662,55810854,HYP70_gp162,HYP70_gp162,KARL1_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810855,HYP70_gp163,HYP70_gp163,KARL1_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810856,HYP70_gp164,HYP70_gp164,KARL1_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810857,HYP70_gp165,HYP70_gp165,KARL1_165,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210424,-
2301662,55810858,HYP70_gp166,HYP70_gp166,KARL1_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810859,HYP70_gp167,HYP70_gp167,KARL1_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810860,HYP70_gp168,HYP70_gp168,KARL1_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810861,HYP70_gp169,HYP70_gp169,KARL1_169,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210424,-
2301662,55810862,HYP70_gp170,HYP70_gp170,KARL1_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810863,HYP70_gp171,HYP70_gp171,KARL1_171,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200704,-
2301662,55810864,HYP70_gp172,HYP70_gp172,KARL1_172,-,-,-,sigma factor,protein-coding,-,-,-,sigma factor,20200905,-
2301662,55810865,HYP70_gp173,HYP70_gp173,KARL1_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810866,HYP70_gp174,HYP70_gp174,KARL1_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301662,55810867,HYP70_gp175,HYP70_gp175,KARL1_175,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210424,-
2301662,55810868,HYP70_gp176,HYP70_gp176,KARL1_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301662,55810869,HYP70_gp177,HYP70_gp177,KARL1_177,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20210424,-
