#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1204524,13826647,phiHau3_2,phiHau3_2,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1204524,13826684,phiHau3_43,phiHau3_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826685,phiHau3_44,phiHau3_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826686,phiHau3_45,phiHau3_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826687,phiHau3_46,phiHau3_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826688,phiHau3_47,phiHau3_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826689,phiHau3_48,phiHau3_48,-,-,-,-,putative ribonucleotide reductase,protein-coding,-,-,-,putative ribonucleotide reductase,20200909,-
1204524,13826690,phiHau3_49,phiHau3_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826691,phiHau3_50,phiHau3_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826692,phiHau3_51,phiHau3_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826693,phiHau3_52,phiHau3_52,-,-,-,-,putative XRE regulator,protein-coding,-,-,-,putative XRE regulator,20200909,-
1204524,13826694,phiHau3_53,phiHau3_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826695,phiHau3_53.1,phiHau3_53.1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826696,phiHau3_54,phiHau3_54,-,-,-,-,"recombinase, serine integrase family",protein-coding,-,-,-,"recombinase, serine integrase family",20200909,-
1204524,13826697,phiHau3_55,phiHau3_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826698,phiHau3_56,phiHau3_56,-,-,-,-,ThyX,protein-coding,-,-,-,ThyX,20200909,-
1204524,13826699,phiHau3_57,phiHau3_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826700,phiHau3_58,phiHau3_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826701,phiHau3_59,phiHau3_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826702,phiHau3_60,phiHau3_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826703,phiHau3_61,phiHau3_61,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200909,-
1204524,13826704,phiHau3_62,phiHau3_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826705,phiHau3_63,phiHau3_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826706,phiHau3_64,phiHau3_64,-,-,-,-,putative dNMP kinase,protein-coding,-,-,-,putative dNMP kinase,20200909,-
1204524,13826707,phiHau3_65,phiHau3_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826708,phiHau3_66,phiHau3_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826709,phiHau3_67,phiHau3_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826710,phiHau3_68,phiHau3_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826711,phiHau3_69,phiHau3_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826712,phiHau3_70,phiHau3_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826713,phiHau3_71,phiHau3_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826714,phiHau3_72,phiHau3_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826715,phiHau3_73,phiHau3_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826716,phiHau3_74,phiHau3_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826717,phiHau3_75,phiHau3_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826718,phiHau3_76,phiHau3_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204524,13826719,phiHau3_1,phiHau3_1,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200909,-
1204524,13839469,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
