#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675606,40069355,FDG88_gp001,FDG88_gp001,CPT_Murica1,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200629,-
1675606,40069367,FDG88_gp013,FDG88_gp013,CPT_Murica13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069368,FDG88_gp014,FDG88_gp014,CPT_Murica14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069369,FDG88_gp015,FDG88_gp015,CPT_Murica15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069370,FDG88_gp016,FDG88_gp016,CPT_Murica16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069371,FDG88_gp017,FDG88_gp017,CPT_Murica17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069372,FDG88_gp018,FDG88_gp018,CPT_Murica18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069373,FDG88_gp019,FDG88_gp019,CPT_Murica19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069374,FDG88_gp020,FDG88_gp020,CPT_Murica20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069375,FDG88_gp021,FDG88_gp021,CPT_Murica21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069376,FDG88_gp022,FDG88_gp022,CPT_Murica22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069377,FDG88_gp023,FDG88_gp023,CPT_Murica23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069378,FDG88_gp024,FDG88_gp024,CPT_Murica24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069379,FDG88_gp025,FDG88_gp025,CPT_Murica25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069380,FDG88_gp026,FDG88_gp026,CPT_Murica26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069381,FDG88_gp027,FDG88_gp027,CPT_Murica27,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1675606,40069382,FDG88_gp028,FDG88_gp028,CPT_Murica28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069383,FDG88_gp029,FDG88_gp029,CPT_Murica29,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1675606,40069384,FDG88_gp030,FDG88_gp030,CPT_Murica30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069385,FDG88_gp031,FDG88_gp031,CPT_Murica31,-,-,-,tail fiber assembly protein,protein-coding,-,-,-,tail fiber assembly protein,20210129,-
1675606,40069386,FDG88_gp032,FDG88_gp032,CPT_Murica32,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1675606,40069387,FDG88_gp033,FDG88_gp033,CPT_Murica33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069388,FDG88_gp034,FDG88_gp034,CPT_Murica34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069389,FDG88_gp035,FDG88_gp035,CPT_Murica35,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20200629,-
1675606,40069390,FDG88_gp036,FDG88_gp036,CPT_Murica36,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210123,-
1675606,40069391,FDG88_gp037,FDG88_gp037,CPT_Murica37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069392,FDG88_gp038,FDG88_gp038,CPT_Murica38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069393,FDG88_gp039,FDG88_gp039,CPT_Murica39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069394,FDG88_gp040,FDG88_gp040,CPT_Murica40,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1675606,40069395,FDG88_gp041,FDG88_gp041,CPT_Murica41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069396,FDG88_gp042,FDG88_gp042,CPT_Murica42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1675606,40069397,FDG88_gp043,FDG88_gp043,CPT_Murica43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069398,FDG88_gp044,FDG88_gp044,CPT_Murica44,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20210129,-
1675606,40069399,FDG88_gp045,FDG88_gp045,CPT_Murica45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069400,FDG88_gp046,FDG88_gp046,CPT_Murica46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069401,FDG88_gp047,FDG88_gp047,CPT_Murica47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069402,FDG88_gp048,FDG88_gp048,CPT_Murica48,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200629,-
1675606,40069403,FDG88_gp049,FDG88_gp049,CPT_Murica49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069404,FDG88_gp050,FDG88_gp050,CPT_Murica50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069405,FDG88_gp051,FDG88_gp051,CPT_Murica51,-,-,-,DUF3277 family protein,protein-coding,-,-,-,DUF3277 family protein,20210116,-
1675606,40069406,FDG88_gp052,FDG88_gp052,CPT_Murica52,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210123,-
1675606,40069407,FDG88_gp053,FDG88_gp053,CPT_Murica53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069408,FDG88_gp054,FDG88_gp054,CPT_Murica54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069409,FDG88_gp055,FDG88_gp055,CPT_Murica55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069410,FDG88_gp056,FDG88_gp056,CPT_Murica56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069411,FDG88_gp057,FDG88_gp057,CPT_Murica57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069412,FDG88_gp058,FDG88_gp058,CPT_Murica58,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1675606,40069413,FDG88_gp059,FDG88_gp059,CPT_Murica59,-,-,-,head stabilization/decoration protein,protein-coding,-,-,-,head stabilization/decoration protein,20200629,-
1675606,40069414,FDG88_gp060,FDG88_gp060,CPT_Murica60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069415,FDG88_gp061,FDG88_gp061,CPT_Murica61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1675606,40069416,FDG88_gp062,FDG88_gp062,CPT_Murica62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069417,FDG88_gp063,FDG88_gp063,CPT_Murica63,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1675606,40069418,FDG88_gp064,FDG88_gp064,CPT_Murica64,-,-,-,o-spanin,protein-coding,-,-,-,o-spanin,20200629,-
1675606,40069419,FDG88_gp065,FDG88_gp065,CPT_Murica65,-,-,-,i-spanin,protein-coding,-,-,-,i-spanin,20200629,-
1675606,40069420,FDG88_gp066,FDG88_gp066,CPT_Murica66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069421,FDG88_gt001,FDG88_gt001,CPT_Murica.gt1,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1675606,40069422,FDG88_gt002,FDG88_gt002,CPT_Murica.gt2,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1675606,40069423,FDG88_gt003,FDG88_gt003,CPT_Murica.gt3,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1675606,40069424,FDG88_gt004,FDG88_gt004,CPT_Murica.gt4,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1675606,40069425,FDG88_gt005,FDG88_gt005,CPT_Murica.gt5,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1675606,40069426,FDG88_gt006,FDG88_gt006,CPT_Murica.gt6,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1675606,40069427,FDG88_gt007,FDG88_gt007,CPT_Murica.gt7,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1675606,40069428,FDG88_gp212,FDG88_gp212,CPT_Murica67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069429,FDG88_gp211,FDG88_gp211,CPT_Murica68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069430,FDG88_gp210,FDG88_gp210,CPT_Murica69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069431,FDG88_gp209,FDG88_gp209,CPT_Murica70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069432,FDG88_gp208,FDG88_gp208,CPT_Murica71,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20200629,-
1675606,40069433,FDG88_gp207,FDG88_gp207,CPT_Murica72,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20200629,-
1675606,40069434,FDG88_gp206,FDG88_gp206,CPT_Murica73,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210129,-
1675606,40069435,FDG88_gp205,FDG88_gp205,CPT_Murica74,-,-,-,RNA ligase and tail attachment protein,protein-coding,-,-,-,RNA ligase and tail attachment protein,20200629,-
1675606,40069436,FDG88_gp204,FDG88_gp204,CPT_Murica75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069437,FDG88_gp203,FDG88_gp203,CPT_Murica76,-,-,-,NAD-dependent deacetylase,protein-coding,-,-,-,NAD-dependent deacetylase,20210123,-
1675606,40069438,FDG88_gp202,FDG88_gp202,CPT_Murica77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069439,FDG88_gp201,FDG88_gp201,CPT_Murica78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069440,FDG88_gp200,FDG88_gp200,CPT_Murica79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069441,FDG88_gp199,FDG88_gp199,CPT_Murica80,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210123,-
1675606,40069442,FDG88_gp198,FDG88_gp198,CPT_Murica81,-,-,-,glycoside hydrolase family 104 protein,protein-coding,-,-,-,glycoside hydrolase family 104 protein,20201221,-
1675606,40069443,FDG88_gp197,FDG88_gp197,CPT_Murica82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069444,FDG88_gp196,FDG88_gp196,CPT_Murica83,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20200629,-
1675606,40069445,FDG88_gp195,FDG88_gp195,CPT_Murica84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069446,FDG88_gp194,FDG88_gp194,CPT_Murica85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069447,FDG88_gp193,FDG88_gp193,CPT_Murica86,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20200629,-
1675606,40069448,FDG88_gp192,FDG88_gp192,CPT_Murica87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069449,FDG88_gp191,FDG88_gp191,CPT_Murica88,-,-,-,RNaseH,protein-coding,-,-,-,RNaseH,20200629,-
1675606,40069450,FDG88_gp190,FDG88_gp190,CPT_Murica89,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20210424,-
1675606,40069451,FDG88_gp189,FDG88_gp189,CPT_Murica90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069452,FDG88_gp188,FDG88_gp188,CPT_Murica91,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20200629,-
1675606,40069453,FDG88_gp187,FDG88_gp187,CPT_Murica92,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20200629,-
1675606,40069454,FDG88_gp186,FDG88_gp186,CPT_Murica93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069455,FDG88_gp185,FDG88_gp185,CPT_Murica94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069456,FDG88_gp184,FDG88_gp184,CPT_Murica95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069457,FDG88_gp183,FDG88_gp183,CPT_Murica96,-,-,-,deoxyribonucleotidase,protein-coding,-,-,-,deoxyribonucleotidase,20210116,-
1675606,40069458,FDG88_gp182,FDG88_gp182,CPT_Murica97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069459,FDG88_gp181,FDG88_gp181,CPT_Murica98,-,-,-,FAD-dependent thymidylate synthase,protein-coding,-,-,-,FAD-dependent thymidylate synthase,20210123,-
1675606,40069460,FDG88_gp180,FDG88_gp180,CPT_Murica99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069461,FDG88_gp179,FDG88_gp179,CPT_Murica100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069462,FDG88_gp178,FDG88_gp178,CPT_Murica101,-,-,-,ribonucleotide reductase large subunit,protein-coding,-,-,-,ribonucleotide reductase large subunit,20200629,-
1675606,40069463,FDG88_gp177,FDG88_gp177,CPT_Murica102,-,-,-,ribonucleotide-diphosphate reductase subunit beta,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit beta,20210123,-
1675606,40069464,FDG88_gp176,FDG88_gp176,CPT_Murica103,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210129,-
1675606,40069465,FDG88_gp175,FDG88_gp175,CPT_Murica104,-,-,-,ribonucleoside-triphosphate reductase,protein-coding,-,-,-,ribonucleoside-triphosphate reductase,20200629,-
1675606,40069466,FDG88_gp174,FDG88_gp174,CPT_Murica105,-,-,-,NTP reductase small subunit,protein-coding,-,-,-,NTP reductase small subunit,20200629,-
1675606,40069467,FDG88_gp173,FDG88_gp173,CPT_Murica106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069468,FDG88_gp172,FDG88_gp172,CPT_Murica107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069469,FDG88_gp171,FDG88_gp171,CPT_Murica108,-,-,-,PhoH-like protein,protein-coding,-,-,-,PhoH-like protein,20200629,-
1675606,40069470,FDG88_gp170,FDG88_gp170,CPT_Murica109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069471,FDG88_gp169,FDG88_gp169,CPT_Murica110,-,-,-,ATP-dependent protease,protein-coding,-,-,-,ATP-dependent protease,20200629,-
1675606,40069472,FDG88_gp168,FDG88_gp168,CPT_Murica111,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20200629,-
1675606,40069473,FDG88_gp167,FDG88_gp167,CPT_Murica112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069474,FDG88_gp166,FDG88_gp166,CPT_Murica113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069475,FDG88_gp165,FDG88_gp165,CPT_Murica114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069476,FDG88_gp164,FDG88_gp164,CPT_Murica115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069477,FDG88_gp163,FDG88_gp163,CPT_Murica116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069478,FDG88_gp162,FDG88_gp162,CPT_Murica117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069479,FDG88_gp161,FDG88_gp161,CPT_Murica118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069480,FDG88_gp160,FDG88_gp160,CPT_Murica119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069481,FDG88_gp159,FDG88_gp159,CPT_Murica120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069482,FDG88_gp158,FDG88_gp158,CPT_Murica121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069483,FDG88_gp157,FDG88_gp157,CPT_Murica122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069484,FDG88_gp156,FDG88_gp156,CPT_Murica123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069485,FDG88_gp155,FDG88_gp155,CPT_Murica124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069486,FDG88_gp154,FDG88_gp154,CPT_Murica125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069487,FDG88_gp153,FDG88_gp153,CPT_Murica126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069488,FDG88_gp152,FDG88_gp152,CPT_Murica127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069489,FDG88_gp151,FDG88_gp151,CPT_Murica128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069490,FDG88_gp150,FDG88_gp150,CPT_Murica129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069491,FDG88_gp149,FDG88_gp149,CPT_Murica130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069492,FDG88_gp148,FDG88_gp148,CPT_Murica131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069493,FDG88_gp147,FDG88_gp147,CPT_Murica132,-,-,-,sigma54 modulation factor,protein-coding,-,-,-,sigma54 modulation factor,20200629,-
1675606,40069494,FDG88_gp146,FDG88_gp146,CPT_Murica133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069495,FDG88_gp145,FDG88_gp145,CPT_Murica134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1675606,40069496,FDG88_gp144,FDG88_gp144,CPT_Murica135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1675606,40069497,FDG88_gp143,FDG88_gp143,CPT_Murica136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069498,FDG88_gp142,FDG88_gp142,CPT_Murica137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069499,FDG88_gp141,FDG88_gp141,CPT_Murica138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069500,FDG88_gp140,FDG88_gp140,CPT_Murica139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069501,FDG88_gp139,FDG88_gp139,CPT_Murica140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069502,FDG88_gp138,FDG88_gp138,CPT_Murica141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069503,FDG88_gp137,FDG88_gp137,CPT_Murica142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069504,FDG88_gp136,FDG88_gp136,CPT_Murica143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069505,FDG88_gp135,FDG88_gp135,CPT_Murica144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069506,FDG88_gp134,FDG88_gp134,CPT_Murica145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069507,FDG88_gp133,FDG88_gp133,CPT_Murica146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069508,FDG88_gp132,FDG88_gp132,CPT_Murica147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069509,FDG88_gp131,FDG88_gp131,CPT_Murica148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069510,FDG88_gp130,FDG88_gp130,CPT_Murica149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069511,FDG88_gp129,FDG88_gp129,CPT_Murica150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069512,FDG88_gp128,FDG88_gp128,CPT_Murica151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069513,FDG88_gp127,FDG88_gp127,CPT_Murica152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069514,FDG88_gp126,FDG88_gp126,CPT_Murica153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069515,FDG88_gp125,FDG88_gp125,CPT_Murica154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069516,FDG88_gp124,FDG88_gp124,CPT_Murica155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069517,FDG88_gp123,FDG88_gp123,CPT_Murica156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069518,FDG88_gp122,FDG88_gp122,CPT_Murica157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069519,FDG88_gp121,FDG88_gp121,CPT_Murica158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069520,FDG88_gp120,FDG88_gp120,CPT_Murica159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069521,FDG88_gp119,FDG88_gp119,CPT_Murica160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069522,FDG88_gp118,FDG88_gp118,CPT_Murica161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069523,FDG88_gp117,FDG88_gp117,CPT_Murica162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069524,FDG88_gp116,FDG88_gp116,CPT_Murica163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069525,FDG88_gp115,FDG88_gp115,CPT_Murica164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069526,FDG88_gp114,FDG88_gp114,CPT_Murica165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069527,FDG88_gp113,FDG88_gp113,CPT_Murica166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069528,FDG88_gp112,FDG88_gp112,CPT_Murica167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069529,FDG88_gp111,FDG88_gp111,CPT_Murica168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069530,FDG88_gp110,FDG88_gp110,CPT_Murica169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069531,FDG88_gp109,FDG88_gp109,CPT_Murica170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069532,FDG88_gp108,FDG88_gp108,CPT_Murica171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069533,FDG88_gp107,FDG88_gp107,CPT_Murica172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069534,FDG88_gp106,FDG88_gp106,CPT_Murica173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675606,40069535,FDG88_gp105,FDG88_gp105,CPT_Murica174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
