#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1662284,26625251,SEA_KIMBERLIUM_2,SEA_KIMBERLIUM_2,-,-,-,-,small terminase subunit,protein-coding,-,-,-,small terminase subunit,20201221,-
1662284,26625265,SEA_KIMBERLIUM_16,SEA_KIMBERLIUM_16,-,-,-,-,transposase,protein-coding,-,-,-,transposase,20201221,-
1662284,26625266,SEA_KIMBERLIUM_17,SEA_KIMBERLIUM_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1662284,26625267,SEA_KIMBERLIUM_18,SEA_KIMBERLIUM_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1662284,26625268,SEA_KIMBERLIUM_19,SEA_KIMBERLIUM_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1662284,26625269,SEA_KIMBERLIUM_20,SEA_KIMBERLIUM_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1662284,26625270,SEA_KIMBERLIUM_21,SEA_KIMBERLIUM_21,-,-,-,-,D-alanyl D-alanine carboxypeptidase,protein-coding,-,-,-,D-alanyl D-alanine carboxypeptidase,20210424,-
1662284,26625271,SEA_KIMBERLIUM_22,SEA_KIMBERLIUM_22,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1662284,26625272,SEA_KIMBERLIUM_23,SEA_KIMBERLIUM_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625273,SEA_KIMBERLIUM_24,SEA_KIMBERLIUM_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625274,SEA_KIMBERLIUM_25,SEA_KIMBERLIUM_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625275,SEA_KIMBERLIUM_26,SEA_KIMBERLIUM_26,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1662284,26625276,SEA_KIMBERLIUM_27,SEA_KIMBERLIUM_27,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1662284,26625277,SEA_KIMBERLIUM_28,SEA_KIMBERLIUM_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625278,SEA_KIMBERLIUM_29,SEA_KIMBERLIUM_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625279,SEA_KIMBERLIUM_30,SEA_KIMBERLIUM_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625280,SEA_KIMBERLIUM_31,SEA_KIMBERLIUM_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625281,SEA_KIMBERLIUM_32,SEA_KIMBERLIUM_32,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1662284,26625282,SEA_KIMBERLIUM_33,SEA_KIMBERLIUM_33,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1662284,26625283,SEA_KIMBERLIUM_34,SEA_KIMBERLIUM_34,-,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1662284,26625284,SEA_KIMBERLIUM_35,SEA_KIMBERLIUM_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625285,SEA_KIMBERLIUM_36,SEA_KIMBERLIUM_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625286,SEA_KIMBERLIUM_37,SEA_KIMBERLIUM_37,-,-,-,-,Dna-Q like exonuclease,protein-coding,-,-,-,Dna-Q like exonuclease,20210129,-
1662284,26625287,SEA_KIMBERLIUM_38,SEA_KIMBERLIUM_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625288,SEA_KIMBERLIUM_39,SEA_KIMBERLIUM_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625289,SEA_KIMBERLIUM_40,SEA_KIMBERLIUM_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625290,SEA_KIMBERLIUM_41,SEA_KIMBERLIUM_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625291,SEA_KIMBERLIUM_42,SEA_KIMBERLIUM_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625292,SEA_KIMBERLIUM_43,SEA_KIMBERLIUM_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625293,SEA_KIMBERLIUM_44,SEA_KIMBERLIUM_44,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210129,-
1662284,26625294,SEA_KIMBERLIUM_45,SEA_KIMBERLIUM_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625295,SEA_KIMBERLIUM_46,SEA_KIMBERLIUM_46,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1662284,26625296,SEA_KIMBERLIUM_47,SEA_KIMBERLIUM_47,-,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20201221,-
1662284,26625297,SEA_KIMBERLIUM_48,SEA_KIMBERLIUM_48,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
1662284,26625298,SEA_KIMBERLIUM_49,SEA_KIMBERLIUM_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625299,SEA_KIMBERLIUM_50,SEA_KIMBERLIUM_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625300,SEA_KIMBERLIUM_51,SEA_KIMBERLIUM_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625301,SEA_KIMBERLIUM_52,SEA_KIMBERLIUM_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625302,SEA_KIMBERLIUM_53,SEA_KIMBERLIUM_53,-,-,-,-,Xis,protein-coding,-,-,-,Xis,20210212,-
1662284,26625303,SEA_KIMBERLIUM_54,SEA_KIMBERLIUM_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625304,SEA_KIMBERLIUM_55,SEA_KIMBERLIUM_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625305,SEA_KIMBERLIUM_56,SEA_KIMBERLIUM_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625306,SEA_KIMBERLIUM_57,SEA_KIMBERLIUM_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625307,SEA_KIMBERLIUM_58,SEA_KIMBERLIUM_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1662284,26625308,SEA_KIMBERLIUM_59,SEA_KIMBERLIUM_59,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210424,-
1662284,26625309,SEA_KIMBERLIUM_60,SEA_KIMBERLIUM_60,-,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
1662284,26625310,SEA_KIMBERLIUM_61,SEA_KIMBERLIUM_61,-,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201221,-
1662284,26625311,SEA_KIMBERLIUM_62,SEA_KIMBERLIUM_62,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210424,-
1662284,26625312,SEA_KIMBERLIUM_63,SEA_KIMBERLIUM_63,-,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
1662284,26625313,SEA_KIMBERLIUM_64,SEA_KIMBERLIUM_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625314,SEA_KIMBERLIUM_65,SEA_KIMBERLIUM_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625315,SEA_KIMBERLIUM_66,SEA_KIMBERLIUM_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625316,SEA_KIMBERLIUM_67,SEA_KIMBERLIUM_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625317,SEA_KIMBERLIUM_68,SEA_KIMBERLIUM_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625318,SEA_KIMBERLIUM_69,SEA_KIMBERLIUM_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625319,SEA_KIMBERLIUM_70,SEA_KIMBERLIUM_70,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1662284,26625320,SEA_KIMBERLIUM_71,SEA_KIMBERLIUM_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625321,SEA_KIMBERLIUM_72,SEA_KIMBERLIUM_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625322,SEA_KIMBERLIUM_73,SEA_KIMBERLIUM_73,-,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20201221,-
1662284,26625323,SEA_KIMBERLIUM_74,SEA_KIMBERLIUM_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625324,SEA_KIMBERLIUM_75,SEA_KIMBERLIUM_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625325,SEA_KIMBERLIUM_76,SEA_KIMBERLIUM_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625326,SEA_KIMBERLIUM_77,SEA_KIMBERLIUM_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625327,SEA_KIMBERLIUM_78,SEA_KIMBERLIUM_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625328,SEA_KIMBERLIUM_79,SEA_KIMBERLIUM_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625329,SEA_KIMBERLIUM_80,SEA_KIMBERLIUM_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625330,SEA_KIMBERLIUM_81,SEA_KIMBERLIUM_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625331,SEA_KIMBERLIUM_82,SEA_KIMBERLIUM_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625332,SEA_KIMBERLIUM_83,SEA_KIMBERLIUM_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625333,SEA_KIMBERLIUM_84,SEA_KIMBERLIUM_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625334,SEA_KIMBERLIUM_85,SEA_KIMBERLIUM_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625335,SEA_KIMBERLIUM_86,SEA_KIMBERLIUM_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625336,SEA_KIMBERLIUM_87,SEA_KIMBERLIUM_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625337,SEA_KIMBERLIUM_88,SEA_KIMBERLIUM_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625338,SEA_KIMBERLIUM_89,SEA_KIMBERLIUM_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625339,SEA_KIMBERLIUM_90,SEA_KIMBERLIUM_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625340,SEA_KIMBERLIUM_91,SEA_KIMBERLIUM_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625341,SEA_KIMBERLIUM_92,SEA_KIMBERLIUM_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625342,SEA_KIMBERLIUM_93,SEA_KIMBERLIUM_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625343,SEA_KIMBERLIUM_94,SEA_KIMBERLIUM_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625344,SEA_KIMBERLIUM_95,SEA_KIMBERLIUM_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625345,SEA_KIMBERLIUM_96,SEA_KIMBERLIUM_96,-,-,-,-,AlpA-like protein,protein-coding,-,-,-,AlpA-like protein,20210424,-
1662284,26625346,SEA_KIMBERLIUM_97,SEA_KIMBERLIUM_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625347,SEA_KIMBERLIUM_98,SEA_KIMBERLIUM_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625348,SEA_KIMBERLIUM_99,SEA_KIMBERLIUM_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625349,SEA_KIMBERLIUM_100,SEA_KIMBERLIUM_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625350,SEA_KIMBERLIUM_101,SEA_KIMBERLIUM_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625351,SEA_KIMBERLIUM_102,SEA_KIMBERLIUM_102,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1662284,26625352,SEA_KIMBERLIUM_103,SEA_KIMBERLIUM_103,-,-,-,-,Ser/Thr kinase,protein-coding,-,-,-,Ser/Thr kinase,20210424,-
1662284,26625353,SEA_KIMBERLIUM_104,SEA_KIMBERLIUM_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662284,26625354,SEA_KIMBERLIUM_105,SEA_KIMBERLIUM_105,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1662284,26625355,SEA_KIMBERLIUM_1,SEA_KIMBERLIUM_1,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
1662284,26680851,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Kimberlium).,other,-,-,-,-,20200513,-
