#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
4956,5848217,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Saccharomyces rouxii).,other,-,-,-,-,20181022,-
4956,8201490,ZYRO0A11858g,ZYRO0A11858g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201491,ZYRO0A11880g,ZYRO0A11880g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201492,ZYRO0A11902g,ZYRO0A11902g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201493,ZYRO0A11924g,ZYRO0A11924g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201494,ZYRO0A11946r,ZYRO0A11946r,-,-,A,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8201495,ZYRO0A11968g,ZYRO0A11968g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201496,ZYRO0A11990g,ZYRO0A11990g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201497,ZYRO0A12012g,ZYRO0A12012g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201498,ZYRO0A01342g,ZYRO0A01342g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201499,ZYRO0A01364g,ZYRO0A01364g,-,-,A,-,60S ribosomal protein L9,protein-coding,-,-,-,-,20170926,-
4956,8201500,ZYRO0A01386g,ZYRO0A01386g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201501,ZYRO0A01408g,ZYRO0A01408g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201502,ZYRO0A01430g,ZYRO0A01430g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201503,ZYRO0A01452g,ZYRO0A01452g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201504,ZYRO0A01474g,ZYRO0A01474g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201505,ZYRO0A01496g,ZYRO0A01496g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201506,ZYRO0A01518g,ZYRO0A01518g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201507,ZYRO0A01540g,ZYRO0A01540g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201508,ZYRO0A07568g,ZYRO0A07568g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201509,ZYRO0A07590g,ZYRO0A07590g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201510,ZYRO0A07612r,ZYRO0A07612r,-,-,A,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8201511,ZYRO0A07634g,ZYRO0A07634g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201512,ZYRO0A07656g,ZYRO0A07656g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201513,ZYRO0A07678g,ZYRO0A07678g,-,-,A,-,mitochondrial 37S ribosomal protein MRPS8,protein-coding,-,-,-,-,20180130,-
4956,8201514,ZYRO0A07700g,ZYRO0A07700g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201515,ZYRO0A07722g,ZYRO0A07722g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201516,ZYRO0A07744g,ZYRO0A07744g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201517,ZYRO0A07766g,ZYRO0A07766g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201518,ZYRO0A08888g,ZYRO0A08888g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201519,ZYRO0A08910g,ZYRO0A08910g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201520,ZYRO0A08932g,ZYRO0A08932g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201521,ZYRO0A08954g,ZYRO0A08954g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201522,ZYRO0A08976g,ZYRO0A08976g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201523,ZYRO0A08998g,ZYRO0A08998g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201524,ZYRO0A09020g,ZYRO0A09020g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201525,ZYRO0A09042g,ZYRO0A09042g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201526,ZYRO0A09064r,ZYRO0A09064r,-,-,A,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8201527,ZYRO0A09086g,ZYRO0A09086g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201528,ZYRO0A08008g,ZYRO0A08008g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201529,ZYRO0A08030g,ZYRO0A08030g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201530,ZYRO0A08052g,ZYRO0A08052g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201531,ZYRO0A08074g,ZYRO0A08074g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201532,ZYRO0A08096g,ZYRO0A08096g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201533,ZYRO0A08118g,ZYRO0A08118g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201534,ZYRO0A08140g,ZYRO0A08140g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201535,ZYRO0A08162g,ZYRO0A08162g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201536,ZYRO0A08184g,ZYRO0A08184g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201537,ZYRO0A08206g,ZYRO0A08206g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201538,ZYRO0A04906g,ZYRO0A04906g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201539,ZYRO0A04928g,ZYRO0A04928g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201540,ZYRO0A04950g,ZYRO0A04950g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201541,ZYRO0A04972g,ZYRO0A04972g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201542,ZYRO0A04994g,ZYRO0A04994g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201543,ZYRO0A05016g,ZYRO0A05016g,-,-,A,-,rRNA methyltransferase NOP1,protein-coding,-,-,-,-,20180130,-
4956,8201544,ZYRO0A05038g,ZYRO0A05038g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201545,ZYRO0A05060g,ZYRO0A05060g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201546,ZYRO0A05082g,ZYRO0A05082g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201547,ZYRO0A05104g,ZYRO0A05104g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201548,ZYRO0A13156g,ZYRO0A13156g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201549,ZYRO0A13178g,ZYRO0A13178g,-,-,A,-,60S ribosomal protein L21,protein-coding,-,-,-,-,20170926,-
4956,8201550,ZYRO0A13200g,ZYRO0A13200g,-,-,A,-,40S ribosomal protein S9,protein-coding,-,-,-,-,20170926,-
4956,8201551,ZYRO0A13222g,ZYRO0A13222g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201552,ZYRO0A13244g,ZYRO0A13244g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201553,ZYRO0A13266g,ZYRO0A13266g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201554,ZYRO0A06006g,ZYRO0A06006g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201555,ZYRO0A06028g,ZYRO0A06028g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201556,ZYRO0A06050g,ZYRO0A06050g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201557,ZYRO0A06072g,ZYRO0A06072g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201558,ZYRO0A06094g,ZYRO0A06094g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201559,ZYRO0A06116g,ZYRO0A06116g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201560,ZYRO0A06138g,ZYRO0A06138g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201561,ZYRO0A06160g,ZYRO0A06160g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201562,ZYRO0A06182g,ZYRO0A06182g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201563,ZYRO0A06204g,ZYRO0A06204g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201564,ZYRO0A06226g,ZYRO0A06226g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201565,ZYRO0A06248g,ZYRO0A06248g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201566,ZYRO0A06270g,ZYRO0A06270g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201567,ZYRO0A06292g,ZYRO0A06292g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201568,ZYRO0A06314g,ZYRO0A06314g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201569,ZYRO0A06336g,ZYRO0A06336g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201570,ZYRO0A06358g,ZYRO0A06358g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201571,ZYRO0A06380g,ZYRO0A06380g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201572,ZYRO0A06424r,ZYRO0A06424r,-,-,A,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8201573,ZYRO0A06446g,ZYRO0A06446g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201574,ZYRO0A02684g,ZYRO0A02684g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201575,ZYRO0A02706g,ZYRO0A02706g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201576,ZYRO0A02728g,ZYRO0A02728g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201577,ZYRO0A02750g,ZYRO0A02750g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201578,ZYRO0A02772g,ZYRO0A02772g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201579,ZYRO0A02794g,ZYRO0A02794g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201580,ZYRO0A02816g,ZYRO0A02816g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201581,ZYRO0A02838g,ZYRO0A02838g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201582,ZYRO0A02860g,ZYRO0A02860g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201583,ZYRO0A02882g,ZYRO0A02882g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201584,ZYRO0A13684r,ZYRO0A13684r,-,-,A,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8201585,ZYRO0A13750g,ZYRO0A13750g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201586,ZYRO0A13772g,ZYRO0A13772g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201587,ZYRO0A13816g,ZYRO0A13816g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201588,ZYRO0A13838g,ZYRO0A13838g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201589,ZYRO0A13860g,ZYRO0A13860g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201590,ZYRO0A02002g,ZYRO0A02002g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201591,ZYRO0A02024g,ZYRO0A02024g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201592,SNR66,ZYRO0A02046r,-,-,A,-,ncRNA,ncRNA,-,-,-,-,20170926,-
4956,8201593,ZYRO0A02090r,ZYRO0A02090r,-,-,A,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8201594,ZYRO0A02112g,ZYRO0A02112g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201595,ZYRO0A02134g,ZYRO0A02134g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201596,ZYRO0A02156g,ZYRO0A02156g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201597,ZYRO0A02178g,ZYRO0A02178g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201598,ZYRO0A02200g,ZYRO0A02200g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201599,ZYRO0A02222g,ZYRO0A02222g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201600,ZYRO0A06688g,ZYRO0A06688g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201601,ZYRO0A06710g,ZYRO0A06710g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201602,ZYRO0A06732r,ZYRO0A06732r,-,-,A,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8201603,ZYRO0A06754g,ZYRO0A06754g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201604,ZYRO0A06776g,ZYRO0A06776g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201605,ZYRO0A06798g,ZYRO0A06798g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201606,ZYRO0A06820g,ZYRO0A06820g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201607,ZYRO0A06842g,ZYRO0A06842g,-,-,A,-,mitochondrial 37S ribosomal protein MRPS28,protein-coding,-,-,-,-,20170926,-
4956,8201608,ZYRO0A06864g,ZYRO0A06864g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201609,ZYRO0A06886g,ZYRO0A06886g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201610,ZYRO0A01782g,ZYRO0A01782g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201611,ZYRO0A01804g,ZYRO0A01804g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201612,ZYRO0A01826r,ZYRO0A01826r,-,-,A,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8201613,ZYRO0A01848g,ZYRO0A01848g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201614,ZYRO0A01870g,ZYRO0A01870g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201615,ZYRO0A01892g,ZYRO0A01892g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201616,ZYRO0A01914g,ZYRO0A01914g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201617,ZYRO0A01936g,ZYRO0A01936g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201618,ZYRO0A01958g,ZYRO0A01958g,-,-,A,-,mitochondrial 37S ribosomal protein RSM25,protein-coding,-,-,-,-,20170926,-
4956,8201619,ZYRO0A01980g,ZYRO0A01980g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201620,ZYRO0A12760r,ZYRO0A12760r,-,-,A,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8201621,ZYRO0A12782g,ZYRO0A12782g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201622,ZYRO0A12804g,ZYRO0A12804g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201623,ZYRO0A12826g,ZYRO0A12826g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201624,ZYRO0A12848g,ZYRO0A12848g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201625,ZYRO0A12870g,ZYRO0A12870g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201626,ZYRO0A02464g,ZYRO0A02464g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201627,ZYRO0A02486g,ZYRO0A02486g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201628,ZYRO0A02508g,ZYRO0A02508g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201629,ZYRO0A02530g,ZYRO0A02530g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201630,ZYRO0A02552g,ZYRO0A02552g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201631,ZYRO0A02574g,ZYRO0A02574g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201632,ZYRO0A02596g,ZYRO0A02596g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201633,ZYRO0A02618g,ZYRO0A02618g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201634,ZYRO0A02640g,ZYRO0A02640g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201635,ZYRO0A02662g,ZYRO0A02662g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201636,ZYRO0A03344g,ZYRO0A03344g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201637,ZYRO0A03366g,ZYRO0A03366g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201638,ZYRO0A03388g,ZYRO0A03388g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201639,ZYRO0A03410g,ZYRO0A03410g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201640,ZYRO0A03432r,ZYRO0A03432r,-,-,A,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8201641,ZYRO0A03454g,ZYRO0A03454g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201642,ZYRO0A03476g,ZYRO0A03476g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201643,ZYRO0A03498g,ZYRO0A03498g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201644,ZYRO0A03520g,ZYRO0A03520g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201645,ZYRO0A03542g,ZYRO0A03542g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201646,ZYRO0A08228g,ZYRO0A08228g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201647,ZYRO0A08250g,ZYRO0A08250g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201648,ZYRO0A08272g,ZYRO0A08272g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201649,ZYRO0A08294g,ZYRO0A08294g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201650,ZYRO0A08316g,ZYRO0A08316g,-,-,A,-,40S ribosomal protein S16,protein-coding,-,-,-,-,20180130,-
4956,8201651,ZYRO0A08338g,ZYRO0A08338g,-,-,A,-,60S ribosomal protein L13,protein-coding,-,-,-,-,20180130,-
4956,8201652,ZYRO0A08360g,ZYRO0A08360g,-,-,A,-,60S acidic ribosomal protein P1,protein-coding,-,-,-,-,20180130,-
4956,8201653,ZYRO0A08382g,ZYRO0A08382g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201654,ZYRO0A08404g,ZYRO0A08404g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201655,ZYRO0A08426g,ZYRO0A08426g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201656,ZYRO0A05566g,ZYRO0A05566g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201657,ZYRO0A05588g,ZYRO0A05588g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201658,ZYRO0A05610g,ZYRO0A05610g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201659,ZYRO0A05632g,ZYRO0A05632g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201660,ZYRO0A05654g,ZYRO0A05654g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201661,ZYRO0A05676g,ZYRO0A05676g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201662,ZYRO0A05698r,ZYRO0A05698r,-,-,A,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8201663,ZYRO0A05720r,ZYRO0A05720r,-,-,A,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8201664,ZYRO0A05742g,ZYRO0A05742g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201665,ZYRO0A05764g,ZYRO0A05764g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201666,ZYRO0A09328g,ZYRO0A09328g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201667,ZYRO0A09350g,ZYRO0A09350g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201668,ZYRO0A09372g,ZYRO0A09372g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201669,ZYRO0A09394g,ZYRO0A09394g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201670,ZYRO0A09416g,ZYRO0A09416g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201671,ZYRO0A09438g,ZYRO0A09438g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201672,ZYRO0A09460g,ZYRO0A09460g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201673,ZYRO0A09482g,ZYRO0A09482g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201674,ZYRO0A09504g,ZYRO0A09504g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201675,ZYRO0A09526g,ZYRO0A09526g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201676,ZYRO0A05126g,ZYRO0A05126g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201677,ZYRO0A05148g,ZYRO0A05148g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201678,ZYRO0A05170g,ZYRO0A05170g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201679,ZYRO0A05192g,ZYRO0A05192g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201680,ZYRO0A05214g,ZYRO0A05214g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201681,ZYRO0A05236g,ZYRO0A05236g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201682,ZYRO0A05258g,ZYRO0A05258g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201683,ZYRO0A05280g,ZYRO0A05280g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8201684,ZYRO0A05302g,ZYRO0A05302g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8201685,ZYRO0A05324g,ZYRO0A05324g,-,-,A,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
