#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
192010,26836085,nad3,AYC56_gp02,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20210607,-
192010,65079300,FMAN_00027,FMAN_00027,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079301,FMAN_00028,FMAN_00028,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079302,FMAN_00029,FMAN_00029,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079303,FMAN_00030,FMAN_00030,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079304,FMAN_00031,FMAN_00031,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079305,FMAN_00032,FMAN_00032,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079306,FMAN_00033,FMAN_00033,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079307,FMAN_00034,FMAN_00034,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079308,FMAN_00035,FMAN_00035,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079309,FMAN_00036,FMAN_00036,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079310,FMAN_00037,FMAN_00037,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079311,FMAN_00038,FMAN_00038,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079312,FMAN_00039,FMAN_00039,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079313,FMAN_00040,FMAN_00040,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079314,FMAN_00041,FMAN_00041,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079315,FMAN_00042,FMAN_00042,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079316,FMAN_00043,FMAN_00043,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079317,FMAN_00044,FMAN_00044,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079318,FMAN_00045,FMAN_00045,-,-,Unknown,-,putative amidases related to nicotinamidase,protein-coding,-,-,-,putative amidases related to nicotinamidase,20210607,-
192010,65079319,FMAN_00046,FMAN_00046,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079320,FMAN_00047,FMAN_00047,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079321,FMAN_00048,FMAN_00048,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079322,FMAN_00049,FMAN_00049,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079323,FMAN_00050,FMAN_00050,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079324,FMAN_00051,FMAN_00051,-,-,Unknown,-,putative acetyl-CoA synthetase,protein-coding,-,-,-,putative acetyl-CoA synthetase,20210607,-
192010,65079325,FMAN_00052,FMAN_00052,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079326,FMAN_00053,FMAN_00053,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079327,FMAN_00054,FMAN_00054,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079328,FMAN_00055,FMAN_00055,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079329,FMAN_00056,FMAN_00056,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079330,FMAN_00057,FMAN_00057,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079331,FMAN_00058,FMAN_00058,-,-,Unknown,-,putative monoamine oxidase N,protein-coding,-,-,-,putative monoamine oxidase N,20210607,-
192010,65079332,FMAN_00059,FMAN_00059,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079333,FMAN_00060,FMAN_00060,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079334,FMAN_00061,FMAN_00061,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079335,FMAN_00062,FMAN_00062,-,-,Unknown,-,putative D-amino-acid oxidase,protein-coding,-,-,-,putative D-amino-acid oxidase,20210607,-
192010,65079336,FMAN_00063,FMAN_00063,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079337,FMAN_00064,FMAN_00064,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079338,FMAN_00065,FMAN_00065,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079339,FMAN_00066,FMAN_00066,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079340,FMAN_00067,FMAN_00067,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079341,FMAN_00068,FMAN_00068,-,-,Unknown,-,related to amino acid transporters,protein-coding,-,-,-,related to amino acid transporters,20210607,-
192010,65079342,FMAN_00069,FMAN_00069,-,-,Unknown,-,putative glutamine synthetase,protein-coding,-,-,-,putative glutamine synthetase,20210607,-
192010,65079343,FMAN_00070,FMAN_00070,-,-,Unknown,-,putative aldehyde dehydrogenase family protein,protein-coding,-,-,-,putative aldehyde dehydrogenase family protein,20210607,-
192010,65079344,FMAN_00071,FMAN_00071,-,-,Unknown,-,"putative oxidoreductase, short-chain dehydrogenase/reductase family",protein-coding,-,-,-,"putative oxidoreductase, short-chain dehydrogenase/reductase family",20210607,-
192010,65079345,FMAN_00072,FMAN_00072,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079346,FMAN_00073,FMAN_00073,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079347,FMAN_00074,FMAN_00074,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079348,FMAN_00075,FMAN_00075,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079349,FMAN_00076,FMAN_00076,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079350,FMAN_00077,FMAN_00077,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079351,FMAN_00078,FMAN_00078,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079352,FMAN_00079,FMAN_00079,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079353,FMAN_00080,FMAN_00080,-,-,Unknown,-,related to 2`-hydroxyisoflavone reductase,protein-coding,-,-,-,related to 2`-hydroxyisoflavone reductase,20210607,-
192010,65079354,FMAN_00081,FMAN_00081,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079355,FMAN_00082,FMAN_00082,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079356,FMAN_00083,FMAN_00083,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079357,FMAN_00084,FMAN_00084,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079358,FMAN_00085,FMAN_00085,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079359,FMAN_00086,FMAN_00086,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079360,FMAN_00087,FMAN_00087,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079361,FMAN_00088,FMAN_00088,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079362,FMAN_00089,FMAN_00089,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079363,FMAN_00090,FMAN_00090,-,-,Unknown,-,non-ribosomal peptide synthetase,protein-coding,-,-,-,non-ribosomal peptide synthetase,20210607,-
192010,65079364,FMAN_00091,FMAN_00091,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079365,FMAN_00092,FMAN_00092,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079366,FMAN_00093,FMAN_00093,-,-,Unknown,-,aurofusarin/rubrofusarin efflux pump AFLT,protein-coding,-,-,-,aurofusarin/rubrofusarin efflux pump AFLT,20210607,-
192010,65079367,FMAN_00094,FMAN_00094,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079368,FMAN_00095,FMAN_00095,-,-,Unknown,-,putative alpha-glucoside transport protein,protein-coding,-,-,-,putative alpha-glucoside transport protein,20210607,-
192010,65079369,FMAN_00096,FMAN_00096,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079370,FMAN_00097,FMAN_00097,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079371,FMAN_00098,FMAN_00098,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079372,FMAN_00099,FMAN_00099,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079373,FMAN_00100,FMAN_00100,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079374,FMAN_00101,FMAN_00101,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079375,FMAN_00102,FMAN_00102,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079376,FMAN_00103,FMAN_00103,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079377,FMAN_00104,FMAN_00104,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079378,FMAN_00105,FMAN_00105,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079379,FMAN_00106,FMAN_00106,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079380,FMAN_00107,FMAN_00107,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079381,FMAN_00108,FMAN_00108,-,-,Unknown,-,putative putative trichothecene biosynthesis gene,protein-coding,-,-,-,putative putative trichothecene biosynthesis gene,20210607,-
192010,65079382,FMAN_00109,FMAN_00109,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079383,FMAN_00110,FMAN_00110,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079384,FMAN_00111,FMAN_00111,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079385,FMAN_00112,FMAN_00112,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079386,FMAN_00113,FMAN_00113,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079387,FMAN_00114,FMAN_00114,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079388,FMAN_00115,FMAN_00115,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079389,FMAN_00116,FMAN_00116,-,-,Unknown,-,putative organic hydroperoxide resistance protein,protein-coding,-,-,-,putative organic hydroperoxide resistance protein,20210607,-
192010,65079390,FMAN_00117,FMAN_00117,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079391,FMAN_00118,FMAN_00118,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079392,FMAN_00119,FMAN_00119,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079393,FMAN_00120,FMAN_00120,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079394,FMAN_00121,FMAN_00121,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079395,FMAN_00122,FMAN_00122,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079396,FMAN_00123,FMAN_00123,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079397,FMAN_00124,FMAN_00124,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079398,FMAN_00125,FMAN_00125,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079399,FMAN_00126,FMAN_00126,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079400,FMAN_00127,FMAN_00127,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079401,FMAN_00128,FMAN_00128,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079402,FMAN_00129,FMAN_00129,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079403,FMAN_00130,FMAN_00130,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079404,FMAN_00131,FMAN_00131,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079405,FMAN_00132,FMAN_00132,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079406,FMAN_00133,FMAN_00133,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079407,FMAN_00134,FMAN_00134,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079408,FMAN_00135,FMAN_00135,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079409,FMAN_00136,FMAN_00136,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079410,FMAN_00137,FMAN_00137,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079411,FMAN_00138,FMAN_00138,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079412,FMAN_00139,FMAN_00139,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079413,FMAN_00140,FMAN_00140,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079414,FMAN_00141,FMAN_00141,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079415,FMAN_00142,FMAN_00142,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079416,FMAN_00143,FMAN_00143,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079417,FMAN_00144,FMAN_00144,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079418,FMAN_00145,FMAN_00145,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079419,FMAN_00146,FMAN_00146,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079420,FMAN_00147,FMAN_00147,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079421,FMAN_00148,FMAN_00148,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079422,FMAN_00149,FMAN_00149,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079423,FMAN_00150,FMAN_00150,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079424,FMAN_00151,FMAN_00151,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079425,FMAN_00152,FMAN_00152,-,-,Unknown,-,putative proline racemase,protein-coding,-,-,-,putative proline racemase,20210607,-
192010,65079426,FMAN_00153,FMAN_00153,-,-,Unknown,-,putative D-amino-acid oxidase,protein-coding,-,-,-,putative D-amino-acid oxidase,20210607,-
192010,65079427,FMAN_00154,FMAN_00154,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079428,FMAN_00155,FMAN_00155,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079429,FMAN_00156,FMAN_00156,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079430,FMAN_00157,FMAN_00157,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079431,FMAN_00158,FMAN_00158,-,-,Unknown,-,putative proteine disulfate isomerase,protein-coding,-,-,-,putative proteine disulfate isomerase,20210607,-
192010,65079432,FMAN_00159,FMAN_00159,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079433,FMAN_00160,FMAN_00160,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079434,FMAN_00161,FMAN_00161,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079435,FMAN_00162,FMAN_00162,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079436,FMAN_00163,FMAN_00163,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65079437,FMAN_00164,FMAN_00164,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
