#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1868660,55002009,HOU05_gp02,HOU05_gp02,-,-,-,-,antirestriction protein,protein-coding,-,-,-,antirestriction protein,20210327,-
1868660,55002040,HOU05_gp33,HOU05_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002041,HOU05_gp34,HOU05_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002042,HOU05_gp35,HOU05_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002043,HOU05_gp36,HOU05_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002044,HOU05_gp37,HOU05_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002045,HOU05_gp38,HOU05_gp38,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210327,-
1868660,55002046,HOU05_gp39,HOU05_gp39,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210327,-
1868660,55002047,HOU05_gp40,HOU05_gp40,-,-,-,-,tail tubular protein A,protein-coding,-,-,-,tail tubular protein A,20210327,-
1868660,55002048,HOU05_gp41,HOU05_gp41,-,-,-,-,tail tubular protein B,protein-coding,-,-,-,tail tubular protein B,20201221,-
1868660,55002049,HOU05_gp42,HOU05_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1868660,55002050,HOU05_gp43,HOU05_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002051,HOU05_gp44,HOU05_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002052,HOU05_gp45,HOU05_gp45,-,-,-,-,internal virion protein D,protein-coding,-,-,-,internal virion protein D,20201221,-
1868660,55002053,HOU05_gp46,HOU05_gp46,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210327,-
1868660,55002054,HOU05_gp47,HOU05_gp47,-,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1868660,55002055,HOU05_gp01,HOU05_gp01,-,-,-,-,N-acetyl-anhydromuranmyl-L-alanine amidase,protein-coding,-,-,-,N-acetyl-anhydromuranmyl-L-alanine amidase,20201221,-
1868660,55002057,HOU06_gp02,HOU06_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1868660,55002058,HOU06_gp03,HOU06_gp03,-,-,-,-,tail tubular protein B,protein-coding,-,-,-,tail tubular protein B,20201221,-
1868660,55002059,HOU06_gp04,HOU06_gp04,-,-,-,-,tail tubular protein A,protein-coding,-,-,-,tail tubular protein A,20210327,-
1868660,55002060,HOU06_gp05,HOU06_gp05,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210327,-
1868660,55002061,HOU06_gp06,HOU06_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002062,HOU06_gp07,HOU06_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002063,HOU06_gp08,HOU06_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002064,HOU06_gp09,HOU06_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1868660,55002065,HOU06_gp10,HOU06_gp10,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210327,-
1868660,55002066,HOU06_gp11,HOU06_gp11,-,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20210327,-
1868660,55002067,HOU06_gp12,HOU06_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002068,HOU06_gp13,HOU06_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002069,HOU06_gp14,HOU06_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002070,HOU06_gp15,HOU06_gp15,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210327,-
1868660,55002071,HOU06_gp16,HOU06_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002072,HOU06_gp17,HOU06_gp17,-,-,-,-,DNA polymerase family A,protein-coding,-,-,-,DNA polymerase family A,20210327,-
1868660,55002073,HOU06_gp18,HOU06_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002074,HOU06_gp19,HOU06_gp19,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210327,-
1868660,55002075,HOU06_gp20,HOU06_gp20,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210327,-
1868660,55002076,HOU06_gp21,HOU06_gp21,-,-,-,-,endodeoxyribonuclease I,protein-coding,-,-,-,endodeoxyribonuclease I,20210327,-
1868660,55002077,HOU06_gp22,HOU06_gp22,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210327,-
1868660,55002078,HOU06_gp23,HOU06_gp23,-,-,-,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20210327,-
1868660,55002079,HOU06_gp24,HOU06_gp24,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20210327,-
1868660,55002080,HOU06_gp25,HOU06_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002081,HOU06_gp26,HOU06_gp26,-,-,-,-,integrase (XerC),protein-coding,-,-,-,integrase (XerC),20210327,-
1868660,55002082,HOU06_gp27,HOU06_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002083,HOU06_gp28,HOU06_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002084,HOU06_gp29,HOU06_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002085,HOU06_gp30,HOU06_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002086,HOU06_gp31,HOU06_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002087,HOU06_gp32,HOU06_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002088,HOU06_gp33,HOU06_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55002089,HOU06_gp01,HOU06_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868660,55153186,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
