#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1916127,40073920,FDH22_gp02,FDH22_gp02,519_00002,-,-,-,putative capsid protein,protein-coding,-,-,-,putative capsid protein,20201221,-
1916127,40073949,FDH22_gp31,FDH22_gp31,519_00031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073950,FDH22_gp32,FDH22_gp32,519_00032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073951,FDH22_gp33,FDH22_gp33,519_00033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073952,FDH22_gp34,FDH22_gp34,519_00034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073953,FDH22_gp35,FDH22_gp35,519_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073954,FDH22_gp36,FDH22_gp36,519_00036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073955,FDH22_gp37,FDH22_gp37,519_00037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073956,FDH22_gp38,FDH22_gp38,519_00038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073957,FDH22_gp39,FDH22_gp39,519_00039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073958,FDH22_gp40,FDH22_gp40,519_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073959,FDH22_gp41,FDH22_gp41,519_00041,-,-,-,putative DNA maturase B,protein-coding,-,-,-,putative DNA maturase B,20201221,-
1916127,40073960,FDH22_gp42,FDH22_gp42,519_00042,-,-,-,putative DNA maturase,protein-coding,-,-,-,putative DNA maturase,20201221,-
1916127,40073961,FDH22_gp43,FDH22_gp43,519_00043,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1916127,40073962,FDH22_gp44,FDH22_gp44,519_00044,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1916127,40073963,FDH22_gp45,FDH22_gp45,519_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073964,FDH22_gp46,FDH22_gp46,519_00046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073965,FDH22_gp47,FDH22_gp47,519_00047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073966,FDH22_gp48,FDH22_gp48,519_00048,-,-,-,putative internal virion protein B,protein-coding,-,-,-,putative internal virion protein B,20201221,-
1916127,40073967,FDH22_gp49,FDH22_gp49,519_00049,-,-,-,putative tail tubular protein B,protein-coding,-,-,-,putative tail tubular protein B,20201221,-
1916127,40073968,FDH22_gp50,FDH22_gp50,519_00050,-,-,-,tail tubular protein A,protein-coding,-,-,-,tail tubular protein A,20210417,-
1916127,40073969,FDH22_gp51,FDH22_gp51,519_00051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40073970,FDH22_gp01,FDH22_gp01,519_00001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1916127,40120365,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Acinetobacter SH-AB 15519 phage).,other,-,-,-,-,20200513,-
