#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
360398,4594501,SABPV108_gp41,SABPV108_gp41,-,-,-,-,putative capsid protein,protein-coding,-,-,-,putative capsid protein,20201010,-
360398,4594523,SABPV108_gp07,SABPV108_gp07,-,-,-,-,putative cro-like repressor,protein-coding,-,-,-,putative cro-like repressor,20210129,-
360398,4594524,SABPV108_gp08,SABPV108_gp08,-,-,-,-,putative antirepressor,protein-coding,-,-,-,putative antirepressor,20200629,-
360398,4594525,SABPV108_gp09,SABPV108_gp09,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
360398,4594526,SABPV108_gp10,SABPV108_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594527,SABPV108_gp11,SABPV108_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594528,SABPV108_gp12,SABPV108_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594529,SABPV108_gp13,SABPV108_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594530,SABPV108_gp14,SABPV108_gp14,-,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20210417,-
360398,4594531,SABPV108_gp15,SABPV108_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
360398,4594532,SABPV108_gp16,SABPV108_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594533,SABPV108_gp17,SABPV108_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
360398,4594534,SABPV108_gp18,SABPV108_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
360398,4594535,dut,SABPV108_gp31,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20200629,-
360398,4594536,int,SABPV108_gp02,-,-,-,-,phage integrase,protein-coding,-,-,-,phage integrase,20210212,-
360398,4594537,LukF-PV,SABPV108_gp58,-,-,-,-,Panton-Valentine leukocidin chain F precursor,protein-coding,-,-,-,Panton-Valentine leukocidin chain F precursor,20200629,-
360398,4594538,LukS-PV,SABPV108_gp57,-,-,-,-,Panton-Valentine leukocidin chain S precursor,protein-coding,-,-,-,Panton-Valentine leukocidin chain S precursor,20210417,-
360398,4594539,ssb,SABPV108_gp19,-,-,-,-,single strand DNA binding protein,protein-coding,-,-,-,single strand DNA binding protein,20200629,-
360398,4594540,SABPV108_gp20,SABPV108_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594541,SABPV108_gp21,SABPV108_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
360398,4594542,SABPV108_gp22,SABPV108_gp22,-,-,-,-,phage replication protein,protein-coding,-,-,-,phage replication protein,20210129,-
360398,4594543,SABPV108_gp23,SABPV108_gp23,-,-,-,-,dna replication protein,protein-coding,-,-,-,dna replication protein,20210129,-
360398,4594544,SABPV108_gp24,SABPV108_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594545,SABPV108_gp25,SABPV108_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594546,SABPV108_gp26,SABPV108_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594547,SABPV108_gp27,SABPV108_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594548,SABPV108_gp28,SABPV108_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594549,SABPV108_gp29,SABPV108_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594550,SABPV108_gp30,SABPV108_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594551,SABPV108_gp32,SABPV108_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594552,SABPV108_gp33,SABPV108_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
360398,4594553,SABPV108_gp34,SABPV108_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594554,SABPV108_gp35,SABPV108_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
360398,4594555,SABPV108_gp36,SABPV108_gp36,-,-,-,-,phage endonuclease,protein-coding,-,-,-,phage endonuclease,20200629,-
360398,4594556,SABPV108_gp37,SABPV108_gp37,-,-,-,-,phage terminase-small subunit,protein-coding,-,-,-,phage terminase-small subunit,20210212,-
360398,4594557,SABPV108_gp38,SABPV108_gp38,-,-,-,-,phage terminase-large subunit,protein-coding,-,-,-,phage terminase-large subunit,20200629,-
360398,4594558,SABPV108_gp39,SABPV108_gp39,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
360398,4594559,SABPV108_gp40,SABPV108_gp40,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20200629,-
360398,4594733,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Staphylococcus aureus bacteriophage phiPVL(108); Staphylococcus aureus bacteriophage phiPVL108; Staphylococcus phage Pvl108; Staphylococcus phage phiPVL108).,other,-,-,-,-,20210609,-
