#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301539,54999076,2,HOT92_gp02,SEA_NEFERTHENA_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210403,-
2301539,54999122,48,HOT92_gp54,SEA_NEFERTHENA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999123,49,HOT92_gp53,SEA_NEFERTHENA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999124,50,HOT92_gp52,SEA_NEFERTHENA_50,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200910,-
2301539,54999125,51,HOT92_gp51,SEA_NEFERTHENA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999126,52,HOT92_gp50,SEA_NEFERTHENA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999127,53,HOT92_gp49,SEA_NEFERTHENA_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999128,54,HOT92_gp48,SEA_NEFERTHENA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999129,55,HOT92_gp47,SEA_NEFERTHENA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301539,54999130,56,HOT92_gp46,SEA_NEFERTHENA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999131,57,HOT92_gp45,SEA_NEFERTHENA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999132,58,HOT92_gp44,SEA_NEFERTHENA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301539,54999133,59,HOT92_gp43,SEA_NEFERTHENA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999134,60,HOT92_gp42,SEA_NEFERTHENA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999135,61,HOT92_gp41,SEA_NEFERTHENA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999136,62,HOT92_gp40,SEA_NEFERTHENA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999137,63,HOT92_gp39,SEA_NEFERTHENA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,54999138,1,HOT92_gp01,SEA_NEFERTHENA_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301539,55154103,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
