#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656582,55624441,2,HWC80_gp002,PBI_INDLULAMITHI_2,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200620,-
2656582,55624494,57,HWC80_gp057,PBI_INDLULAMITHI_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624495,58,HWC80_gp058,PBI_INDLULAMITHI_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624496,59,HWC80_gp059,PBI_INDLULAMITHI_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624497,60,HWC80_gp060,PBI_INDLULAMITHI_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624498,61,HWC80_gp061,PBI_INDLULAMITHI_61,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,20200620,-
2656582,55624499,62,HWC80_gt001,PBI_INDLULAMITHI_62,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2656582,55624500,63,HWC80_gp111,PBI_INDLULAMITHI_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624501,64,HWC80_gp110,PBI_INDLULAMITHI_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624502,65,HWC80_gp109,PBI_INDLULAMITHI_65,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200905,-
2656582,55624503,66,HWC80_gp108,PBI_INDLULAMITHI_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624504,67,HWC80_gp107,PBI_INDLULAMITHI_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624505,68,HWC80_gp106,PBI_INDLULAMITHI_68,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
2656582,55624506,69,HWC80_gp105,PBI_INDLULAMITHI_69,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210424,-
2656582,55624507,70,HWC80_gp104,PBI_INDLULAMITHI_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624508,71,HWC80_gp103,PBI_INDLULAMITHI_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624509,72,HWC80_gp102,PBI_INDLULAMITHI_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624510,73,HWC80_gp101,PBI_INDLULAMITHI_73,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20200905,-
2656582,55624511,74,HWC80_gp100,PBI_INDLULAMITHI_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624512,75,HWC80_gp099,PBI_INDLULAMITHI_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624513,76,HWC80_gp098,PBI_INDLULAMITHI_76,-,-,-,DnaE-like DNA polymerase III,protein-coding,-,-,-,DnaE-like DNA polymerase III,20200905,-
2656582,55624514,77,HWC80_gp097,PBI_INDLULAMITHI_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624515,78,HWC80_gp096,PBI_INDLULAMITHI_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624516,79,HWC80_gp095,PBI_INDLULAMITHI_79,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210424,-
2656582,55624517,80,HWC80_gp094,PBI_INDLULAMITHI_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624518,81,HWC80_gp093,PBI_INDLULAMITHI_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624519,82,HWC80_gp092,PBI_INDLULAMITHI_82,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20200620,-
2656582,55624520,83,HWC80_gp091,PBI_INDLULAMITHI_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624521,84,HWC80_gp090,PBI_INDLULAMITHI_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624522,85,HWC80_gp089,PBI_INDLULAMITHI_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624523,86,HWC80_gp088,PBI_INDLULAMITHI_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624524,87,HWC80_gp087,PBI_INDLULAMITHI_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624525,88,HWC80_gp086,PBI_INDLULAMITHI_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624526,89,HWC80_gp085,PBI_INDLULAMITHI_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624527,90,HWC80_gp084,PBI_INDLULAMITHI_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624528,91,HWC80_gp083,PBI_INDLULAMITHI_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624529,92,HWC80_gp082,PBI_INDLULAMITHI_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624530,93,HWC80_gp081,PBI_INDLULAMITHI_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624531,94,HWC80_gp080,PBI_INDLULAMITHI_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624532,95,HWC80_gp079,PBI_INDLULAMITHI_95,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210424,-
2656582,55624533,96,HWC80_gp078,PBI_INDLULAMITHI_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624534,97,HWC80_gp077,PBI_INDLULAMITHI_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624535,98,HWC80_gp076,PBI_INDLULAMITHI_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624536,99,HWC80_gp075,PBI_INDLULAMITHI_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624537,100,HWC80_gp074,PBI_INDLULAMITHI_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624538,101,HWC80_gp073,PBI_INDLULAMITHI_101,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2656582,55624539,103,HWC80_gp071,PBI_INDLULAMITHI_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624540,104,HWC80_gp070,PBI_INDLULAMITHI_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624541,105,HWC80_gp069,PBI_INDLULAMITHI_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624542,106,HWC80_gp068,PBI_INDLULAMITHI_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624543,107,HWC80_gp067,PBI_INDLULAMITHI_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624544,108,HWC80_gp066,PBI_INDLULAMITHI_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624545,109,HWC80_gp065,PBI_INDLULAMITHI_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624546,110,HWC80_gp064,PBI_INDLULAMITHI_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624547,111,HWC80_gp063,PBI_INDLULAMITHI_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624548,112,HWC80_gp062,PBI_INDLULAMITHI_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624549,41,HWC80_gp041,PBI_INDLULAMITHI_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656582,55624550,55,HWC80_gp055,PBI_INDLULAMITHI_55,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2656582,55624551,102,HWC80_gp072,PBI_INDLULAMITHI_102,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2656582,55624552,1,HWC80_gp001,PBI_INDLULAMITHI_1,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2656582,55636073,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
