#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
722418,26041082,APL46_gp002,APL46_gp002,CPt10_0011,-,-,-,Putative base plate hub assembly catalyst,protein-coding,-,-,-,Putative base plate hub assembly catalyst,20200629,-
722418,26041094,APL46_gp014,APL46_gp014,CPt10_0131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041095,APL46_gp015,APL46_gp015,CPt10_0141,-,-,-,Putative baseplate hub subunit protein,protein-coding,-,-,-,Putative baseplate hub subunit protein,20200629,-
722418,26041096,APL46_gp016,APL46_gp016,CPt10_0151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041097,APL46_gp017,APL46_gp017,CPt10_0161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041098,APL46_gp018,APL46_gp018,CPt10_0171,-,-,-,hypothetical phage membrane protein,protein-coding,-,-,-,hypothetical phage membrane protein,20200629,-
722418,26041099,APL46_gp019,APL46_gp019,CPt10_0181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041100,APL46_gp020,APL46_gp020,CPt10_0191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041101,APL46_gp021,APL46_gp021,CPt10_0201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041102,APL46_gp022,APL46_gp022,CPt10_0211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041103,APL46_gp023,APL46_gp023,CPt10_0221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041104,APL46_gp024,APL46_gp024,CPt10_0231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041105,APL46_gp025,APL46_gp025,CPt10_0241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041106,APL46_gp026,APL46_gp026,CPt10_0251,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041107,APL46_gp027,APL46_gp027,CPt10_0261,-,-,-,possible virion structural protein,protein-coding,-,-,-,possible virion structural protein,20200629,-
722418,26041108,APL46_gp028,APL46_gp028,CPt10_0271,-,-,-,hypothetical phage membrane protein,protein-coding,-,-,-,hypothetical phage membrane protein,20200629,-
722418,26041109,APL46_gp029,APL46_gp029,CPt10_0281,-,-,-,Possible EndoVII packaging and recombination endonuclease,protein-coding,-,-,-,Possible EndoVII packaging and recombination endonuclease,20200629,-
722418,26041110,APL46_gp030,APL46_gp030,CPt10_0291,-,-,-,Possible phage prohead assembly initiator protein/portal protein,protein-coding,-,-,-,Possible phage prohead assembly initiator protein/portal protein,20200629,-
722418,26041111,APL46_gp031,APL46_gp031,CPt10_0301,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041112,APL46_gp032,APL46_gp032,CPt10_0311,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041113,APL46_gp033,APL46_gp033,CPt10_0321,-,-,-,Possible phage DNA ligase,protein-coding,-,-,-,Possible phage DNA ligase,20200629,-
722418,26041114,APL46_gp034,APL46_gp034,CPt10_0331,-,-,-,Probable phage tail sheath protein,protein-coding,-,-,-,Probable phage tail sheath protein,20200629,-
722418,26041115,APL46_gp035,APL46_gp035,CPt10_0341,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041116,APL46_gp036,APL46_gp036,CPt10_0351,-,-,-,Possible outer wedge baseplate protein and lysozyme,protein-coding,-,-,-,Possible outer wedge baseplate protein and lysozyme,20200629,-
722418,26041117,APL46_gp037,APL46_gp037,CPt10_0361,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041118,APL46_gp038,APL46_gp038,CPt10_0371,-,-,-,hypothetical phage exported protein,protein-coding,-,-,-,hypothetical phage exported protein,20200629,-
722418,26041119,APL46_gp039,APL46_gp039,CPt10_0381,-,-,-,hypothetical phage membrane protein,protein-coding,-,-,-,hypothetical phage membrane protein,20200629,-
722418,26041120,APL46_gp040,APL46_gp040,CPt10_0391,-,-,-,Possible phage baseplate wedge protein,protein-coding,-,-,-,Possible phage baseplate wedge protein,20200629,-
722418,26041121,APL46_gp041,APL46_gp041,CPt10_0401,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041122,APL46_gp042,APL46_gp042,CPt10_0411,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041123,APL46_gp043,APL46_gp043,CPt10_0421,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041124,APL46_gp044,APL46_gp044,CPt10_0431,-,-,-,Possible phage tail tube protein,protein-coding,-,-,-,Possible phage tail tube protein,20200629,-
722418,26041125,APL46_gp045,APL46_gp045,CPt10_0441,-,-,-,Possible phage head completion protein,protein-coding,-,-,-,Possible phage head completion protein,20200629,-
722418,26041126,APL46_gp046,APL46_gp046,CPt10_0451,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041127,APL46_gp047,APL46_gp047,CPt10_0461,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041128,APL46_gp048,APL46_gp048,CPt10_0471,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041129,APL46_gp049,APL46_gp049,CPt10_0481,-,-,-,Possible prohead core scaffold protein,protein-coding,-,-,-,Possible prohead core scaffold protein,20200629,-
722418,26041130,APL46_gp050,APL46_gp050,CPt10_0491,-,-,-,Possible phage major capsid protein,protein-coding,-,-,-,Possible phage major capsid protein,20200629,-
722418,26041131,APL46_gp051,APL46_gp051,CPt10_0501,-,-,-,Possible tail sheath protein,protein-coding,-,-,-,Possible tail sheath protein,20200629,-
722418,26041132,APL46_gp052,APL46_gp052,CPt10_0511,-,-,-,Possible phage tail sheath protein,protein-coding,-,-,-,Possible phage tail sheath protein,20200629,-
722418,26041133,APL46_gp053,APL46_gp053,CPt10_0521,-,-,-,Possible homing endonuclease,protein-coding,-,-,-,Possible homing endonuclease,20200629,-
722418,26041134,APL46_gp054,APL46_gp054,CPt10_0531,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041135,APL46_gp055,APL46_gp055,CPt10_0541,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041136,APL46_gp056,APL46_gp056,CPt10_0551,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041137,APL46_gp057,APL46_gp057,CPt10_0561,-,-,-,Possible phage tail tube protein,protein-coding,-,-,-,Possible phage tail tube protein,20200629,-
722418,26041138,APL46_gp058,APL46_gp058,CPt10_0571,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041139,APL46_gp192,APL46_gp192,CPt10_1401,-,-,-,pseudo,pseudo,-,-,-,-,20200909,-
722418,26041140,APL46_gp060,APL46_gp060,CPt10_0591,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041141,APL46_gp061,APL46_gp061,CPt10_0611,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041142,APL46_gp062,APL46_gp062,CPt10_0621,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041143,APL46_gp063,APL46_gp063,CPt10_0631,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041144,APL46_gp064,APL46_gp064,CPt10_0641,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041145,APL46_gp065,APL46_gp065,CPt10_0651,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041146,APL46_gp066,APL46_gp066,CPt10_0661,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041147,APL46_gp067,APL46_gp067,CPt10_0681,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041148,APL46_gp068,APL46_gp068,CPt10_0691,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041149,APL46_gp069,APL46_gp069,CPt10_0701,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041150,APL46_gp070,APL46_gp070,CPt10_0711,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041151,APL46_gp071,APL46_gp071,CPt10_0721,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041152,APL46_gp072,APL46_gp072,CPt10_0731,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041153,APL46_gp073,APL46_gp073,CPt10_0741,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041154,APL46_gp074,APL46_gp074,CPt10_0751,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041155,APL46_gp075,APL46_gp075,CPt10_0761,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041156,APL46_gp076,APL46_gp076,CPt10_0771,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041157,APL46_gp077,APL46_gp077,CPt10_0781,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041158,APL46_gp078,APL46_gp078,CPt10_0791,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041159,APL46_gp079,APL46_gp079,CPt10_0801,-,-,-,Possible base plate lysozyme,protein-coding,-,-,-,Possible base plate lysozyme,20200629,-
722418,26041160,APL46_gp080,APL46_gp080,CPt10_0811,-,-,-,hypothetical phage membrane protein,protein-coding,-,-,-,hypothetical phage membrane protein,20200629,-
722418,26041161,APL46_gp081,APL46_gp081,CPt10_0821,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041162,APL46_gp082,APL46_gp082,CPt10_0831,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041163,APL46_gp083,APL46_gp083,CPt10_0841,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041164,APL46_gp084,APL46_gp084,CPt10_0851,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041165,APL46_gp085,APL46_gp085,CPt10_0861,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041166,APL46_gp086,APL46_gp086,CPt10_0871,-,-,-,hypothetical phage protein (Radical SAM family),protein-coding,-,-,-,hypothetical phage protein (Radical SAM family),20200629,-
722418,26041167,APL46_gp087,APL46_gp087,CPt10_0881,-,-,-,hypothetical phage protein (Radical SAM family),protein-coding,-,-,-,hypothetical phage protein (Radical SAM family),20200629,-
722418,26041168,APL46_gp088,APL46_gp088,CPt10_0891,-,-,-,hypothetical phage protain (possible glycine amidinotransferase),protein-coding,-,-,-,hypothetical phage protain (possible glycine amidinotransferase),20200629,-
722418,26041169,APL46_gp089,APL46_gp089,CPt10_0901,-,-,-,hypothetical phage protein (Radical SAM family),protein-coding,-,-,-,hypothetical phage protein (Radical SAM family),20200629,-
722418,26041170,APL46_gp090,APL46_gp090,CPt10_0911,-,-,-,hypothetical phage protein (Radical SAM family),protein-coding,-,-,-,hypothetical phage protein (Radical SAM family),20200629,-
722418,26041171,APL46_gp091,APL46_gp091,CPt10_0921,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041172,APL46_gp092,APL46_gp092,CPt10_0931,-,-,-,hypothetical phage protein (Radical SAM family),protein-coding,-,-,-,hypothetical phage protein (Radical SAM family),20200629,-
722418,26041173,APL46_gp093,APL46_gp093,CPt10_0951,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041174,APL46_gp094,APL46_gp094,CPt10_0961,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041175,APL46_gp095,APL46_gp095,CPt10_0971,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041176,APL46_gp096,APL46_gp096,CPt10_0981,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041177,APL46_gp097,APL46_gp097,CPt10_0991,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041178,APL46_gp098,APL46_gp098,CPt10_1001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041179,APL46_gp099,APL46_gp099,CPt10_1011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041180,APL46_gp100,APL46_gp100,CPt10_1021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041181,APL46_gp101,APL46_gp101,CPt10_1031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041182,APL46_gp102,APL46_gp102,CPt10_1041,-,-,-,hypothetical phage protein (Radical SAM family),protein-coding,-,-,-,hypothetical phage protein (Radical SAM family),20200629,-
722418,26041183,APL46_gp103,APL46_gp103,CPt10_1051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041184,APL46_gp104,APL46_gp104,CPt10_1061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041185,APL46_gp105,APL46_gp105,CPt10_1071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041186,APL46_gp106,APL46_gp106,CPt10_1081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041187,APL46_gp107,APL46_gp107,CPt10_1091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041188,APL46_gp108,APL46_gp108,CPt10_1101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041189,APL46_gp109,APL46_gp109,CPt10_1111,-,-,-,hypothetical phage protein (possible DNA methyltransferase),protein-coding,-,-,-,hypothetical phage protein (possible DNA methyltransferase),20200629,-
722418,26041190,APL46_gp110,APL46_gp110,CPt10_1121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041191,APL46_gp111,APL46_gp111,CPt10_1131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041192,APL46_gp112,APL46_gp112,CPt10_1141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041193,APL46_gp113,APL46_gp113,CPt10_1151,-,-,-,hypothetical phage membrane protein,protein-coding,-,-,-,hypothetical phage membrane protein,20200629,-
722418,26041194,APL46_gp114,APL46_gp114,CPt10_1161,-,-,-,hypothetical phage membrane protein,protein-coding,-,-,-,hypothetical phage membrane protein,20200629,-
722418,26041195,APL46_gp115,APL46_gp115,CPt10_1171,-,-,-,hypothetical phage lipoprotein,protein-coding,-,-,-,hypothetical phage lipoprotein,20200629,-
722418,26041196,APL46_gp116,APL46_gp116,CPt10_1181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041197,APL46_gp117,APL46_gp117,CPt10_1191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041198,APL46_gp118,APL46_gp118,CPt10_1201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041199,APL46_gp119,APL46_gp119,CPt10_1211,-,-,-,Possible phage DNA polymerase,protein-coding,-,-,-,Possible phage DNA polymerase,20200629,-
722418,26041200,APL46_gp120,APL46_gp120,CPt10_1221,-,-,-,hypothetical phage membrane protein,protein-coding,-,-,-,hypothetical phage membrane protein,20200629,-
722418,26041201,APL46_gp121,APL46_gp121,CPt10_1231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041202,APL46_gp122,APL46_gp122,CPt10_1241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041203,APL46_gp123,APL46_gp123,CPt10_1251,-,-,-,Possible phage neck protein,protein-coding,-,-,-,Possible phage neck protein,20200629,-
722418,26041204,APL46_gp124,APL46_gp124,CPt10_1261,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041205,APL46_gp125,APL46_gp125,CPt10_1271,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041206,APL46_gp126,APL46_gp126,CPt10_1281,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041207,APL46_gp127,APL46_gp127,CPt10_1291,-,-,-,Possible sliding clamp,protein-coding,-,-,-,Possible sliding clamp,20200629,-
722418,26041208,APL46_gp128,APL46_gp128,CPt10_1301,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041209,APL46_gp129,APL46_gp129,CPt10_1311,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041210,APL46_gp130,APL46_gp130,CPt10_1321,-,-,-,Possible phage ATP-dependent primase-helicase,protein-coding,-,-,-,Possible phage ATP-dependent primase-helicase,20200629,-
722418,26041211,APL46_gt001,APL46_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
722418,26041212,APL46_gp198,APL46_gp198,CPt10_1341,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041213,APL46_gp197,APL46_gp197,CPt10_1351,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041214,APL46_gp196,APL46_gp196,CPt10_1361,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041215,APL46_gp195,APL46_gp195,CPt10_1371,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041216,APL46_gp194,APL46_gp194,CPt10_1381,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041217,APL46_gp193,APL46_gp193,CPt10_1391,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041218,APL46_gp191,APL46_gp191,CPt10_1411,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041219,APL46_gp190,APL46_gp190,CPt10_1421,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041220,APL46_gp189,APL46_gp189,CPt10_1441,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041221,APL46_gp188,APL46_gp188,CPt10_1451,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041222,APL46_gp187,APL46_gp187,CPt10_1461,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041223,APL46_gp186,APL46_gp186,CPt10_1471,-,-,-,Possible phage DNA methylase,protein-coding,-,-,-,Possible phage DNA methylase,20200629,-
722418,26041224,APL46_gp185,APL46_gp185,CPt10_1481,-,-,-,hypothetical phage protein (Radical SAM family),protein-coding,-,-,-,hypothetical phage protein (Radical SAM family),20200629,-
722418,26041225,APL46_gp184,APL46_gp184,CPt10_1491,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041226,APL46_gp183,APL46_gp183,CPt10_1501,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041227,APL46_gp182,APL46_gp182,CPt10_1511,-,-,-,hypothetical phage membrane protein,protein-coding,-,-,-,hypothetical phage membrane protein,20200629,-
722418,26041228,APL46_gp181,APL46_gp181,CPt10_1521,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041229,APL46_gp180,APL46_gp180,CPt10_1531,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041230,APL46_gp179,APL46_gp179,CPt10_1541,-,-,-,ISCaje3 transposase,protein-coding,-,-,-,ISCaje3 transposase,20200629,-
722418,26041231,APL46_gp178,APL46_gp178,CPt10_1551,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041232,APL46_gp177,APL46_gp177,CPt10_1561,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041233,APL46_gp176,APL46_gp176,CPt10_1571,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041234,uvsW,APL46_gp175,CPt10_1581,-,-,-,Probable phage ATP-dependent DNA/RNA helicase (uvsW),protein-coding,-,-,-,Probable phage ATP-dependent DNA/RNA helicase (uvsW),20200629,-
722418,26041235,APL46_gp173,APL46_gp173,CPt10_1601,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041236,APL46_gp172,APL46_gp172,CPt10_1611,-,-,-,Possible DNA topoisomerase (medium subunit),protein-coding,-,-,-,Possible DNA topoisomerase (medium subunit),20200629,-
722418,26041237,APL46_gp171,APL46_gp171,CPt10_1621,-,-,-,Probable phage ClpP protease,protein-coding,-,-,-,Probable phage ClpP protease,20200629,-
722418,26041238,APL46_gp170,APL46_gp170,CPt10_1631,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041239,APL46_gp169,APL46_gp169,CPt10_1641,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041240,APL46_gp168,APL46_gp168,CPt10_1651,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041241,APL46_gp167,APL46_gp167,CPt10_1661,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041242,APL46_gp166,APL46_gp166,CPt10_1671,-,-,-,hypothetical phage protein (Radical SAM family),protein-coding,-,-,-,hypothetical phage protein (Radical SAM family),20200629,-
722418,26041243,APL46_gp165,APL46_gp165,CPt10_1681,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041244,APL46_gp164,APL46_gp164,CPt10_1691,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041245,APL46_gp163,APL46_gp163,CPt10_1701,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041246,APL46_gp162,APL46_gp162,CPt10_1711,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041247,APL46_gp161,APL46_gp161,CPt10_1721,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041248,APL46_gp160,APL46_gp160,CPt10_1731,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041249,APL46_gp159,APL46_gp159,CPt10_1741,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041250,APL46_gp158,APL46_gp158,CPt10_1761,-,-,-,ISCaje1 transposase,protein-coding,-,-,-,ISCaje1 transposase,20200629,-
722418,26041251,NrdB,APL46_gp157,CPt10_1771,-,-,-,Probable ribonucleotide reductase (small subunit),protein-coding,-,-,-,Probable ribonucleotide reductase (small subunit),20200629,-
722418,26041252,APL46_gp155,APL46_gp155,CPt10_1791,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041253,APL46_gp154,APL46_gp154,CPt10_1801,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041254,APL46_gp153,APL46_gp153,CPt10_1811,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041255,APL46_gp152,APL46_gp152,CPt10_1821,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041256,APL46_gp151,APL46_gp151,CPt10_1831,-,-,-,Possible phage tail sheath completion protein,protein-coding,-,-,-,Possible phage tail sheath completion protein,20200629,-
722418,26041257,APL46_gp150,APL46_gp150,CPt10_1841,-,-,-,Possible phage tail tube protein,protein-coding,-,-,-,Possible phage tail tube protein,20200629,-
722418,26041258,APL46_gp149,APL46_gp149,CPt10_1851,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041259,APL46_gp148,APL46_gp148,CPt10_1861,-,-,-,Probable phage ssDNA binding protein,protein-coding,-,-,-,Probable phage ssDNA binding protein,20200629,-
722418,26041260,APL46_gp147,APL46_gp147,CPt10_1871,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041261,APL46_gp146,APL46_gp146,CPt10_1881,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
722418,26041262,APL46_gp145,APL46_gp145,CPt10_1891,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
