#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1622190,26641445,AVT65_gp02,AVT65_gp02,Gmala1_2,-,-,-,TerL,protein-coding,-,-,-,TerL,20201221,-
1622190,26641495,AVT65_gp53,AVT65_gp53,Gmala1_53,-,-,-,ribonuclease,protein-coding,-,-,-,ribonuclease,20201221,-
1622190,26641496,AVT65_gp54,AVT65_gp54,Gmala1_54,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
1622190,26641497,AVT65_gp55,AVT65_gp55,Gmala1_55,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1622190,26641498,AVT65_gp56,AVT65_gp56,Gmala1_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641499,AVT65_gp57,AVT65_gp57,Gmala1_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641500,AVT65_gp58,AVT65_gp58,Gmala1_58,-,-,-,DUF732-like protein,protein-coding,-,-,-,DUF732-like protein,20201221,-
1622190,26641501,AVT65_gp59,AVT65_gp59,Gmala1_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641502,AVT65_gp60,AVT65_gp60,Gmala1_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641503,AVT65_gp61,AVT65_gp61,Gmala1_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641504,AVT65_gp62,AVT65_gp62,Gmala1_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641505,AVT65_gp63,AVT65_gp63,Gmala1_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641506,AVT65_gp64,AVT65_gp64,Gmala1_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641507,AVT65_gp65,AVT65_gp65,Gmala1_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641508,AVT65_gp66,AVT65_gp66,Gmala1_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641509,AVT65_gp67,AVT65_gp67,Gmala1_67,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1622190,26641510,AVT65_gp68,AVT65_gp68,Gmala1_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641511,AVT65_gp69,AVT65_gp69,Gmala1_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641512,AVT65_gp70,AVT65_gp70,Gmala1_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641513,AVT65_gp71,AVT65_gp71,Gmala1_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641514,AVT65_gp72,AVT65_gp72,Gmala1_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641515,AVT65_gp73,AVT65_gp73,Gmala1_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641516,AVT65_gp74,AVT65_gp74,Gmala1_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641517,AVT65_gp75,AVT65_gp75,Gmala1_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641518,AVT65_gp76,AVT65_gp76,Gmala1_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641519,AVT65_gp77,AVT65_gp77,Gmala1_77,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20201221,-
1622190,26641520,AVT65_gp78,AVT65_gp78,Gmala1_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641521,AVT65_gp79,AVT65_gp79,Gmala1_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641522,AVT65_gp80,AVT65_gp80,Gmala1_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641523,AVT65_gp81,AVT65_gp81,Gmala1_81,-,-,-,von Willebrand factor domain protein,protein-coding,-,-,-,von Willebrand factor domain protein,20201221,-
1622190,26641524,AVT65_gp82,AVT65_gp82,Gmala1_82,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20201221,-
1622190,26641525,AVT65_gp83,AVT65_gp83,Gmala1_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641526,AVT65_gp84,AVT65_gp84,Gmala1_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641527,AVT65_gp85,AVT65_gp85,Gmala1_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641528,AVT65_gp86,AVT65_gp86,Gmala1_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641529,AVT65_gp87,AVT65_gp87,Gmala1_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641530,AVT65_gp88,AVT65_gp88,Gmala1_88,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1622190,26641531,AVT65_gp89,AVT65_gp89,Gmala1_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641532,AVT65_gp90,AVT65_gp90,Gmala1_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26641533,AVT65_gp16,AVT65_gp16,Gmala1_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1622190,26641534,AVT65_gp01,AVT65_gp01,Gmala1_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622190,26680760,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
