#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1933111,54979260,HOR60_gp02,HOR60_gp02,K_2,-,-,-,putative tail tubular B protein,protein-coding,-,-,-,putative tail tubular B protein,20201221,-
1933111,54979295,HOR60_gp37,HOR60_gp37,K_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1933111,54979296,HOR60_gp38,HOR60_gp38,K_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979297,HOR60_gp39,HOR60_gp39,K_39,-,-,-,ATP-dependent DNA ligase,protein-coding,-,-,-,ATP-dependent DNA ligase,20210212,-
1933111,54979298,HOR60_gp40,HOR60_gp40,K_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979299,HOR60_gp41,HOR60_gp41,K_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979300,HOR60_gp42,HOR60_gp42,K_42,-,-,-,putative acetyltransferase,protein-coding,-,-,-,putative acetyltransferase,20210212,-
1933111,54979301,HOR60_gp43,HOR60_gp43,K_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979302,HOR60_gp44,HOR60_gp44,K_44,-,-,-,head to tail connecting protein,protein-coding,-,-,-,head to tail connecting protein,20210212,-
1933111,54979303,HOR60_gp45,HOR60_gp45,K_45,-,-,-,putative scaffolding protein,protein-coding,-,-,-,putative scaffolding protein,20201221,-
1933111,54979304,HOR60_gp46,HOR60_gp46,K_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933111,54979305,HOR60_gp01,HOR60_gp01,K_1,-,-,-,tail tubular A protein,protein-coding,-,-,-,tail tubular A protein,20210212,-
1933111,55153417,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Escherichia phage K AB-2017).,other,-,-,-,-,20200610,-
