#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656556,60336049,2,I5J40_gp02,SEA_ATCOO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2656556,60336111,64,I5J40_gp64,SEA_ATCOO_64,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201130,-
2656556,60336112,65,I5J40_gp65,SEA_ATCOO_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336113,66,I5J40_gp66,SEA_ATCOO_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336114,67,I5J40_gp67,SEA_ATCOO_67,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201130,-
2656556,60336115,68,I5J40_gp68,SEA_ATCOO_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336116,69,I5J40_gp69,SEA_ATCOO_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336117,70,I5J40_gp70,SEA_ATCOO_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336118,71,I5J40_gp71,SEA_ATCOO_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336119,72,I5J40_gp72,SEA_ATCOO_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336120,73,I5J40_gp73,SEA_ATCOO_73,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20210424,-
2656556,60336121,74,I5J40_gp74,SEA_ATCOO_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336122,75,I5J40_gp75,SEA_ATCOO_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336123,76,I5J40_gp76,SEA_ATCOO_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336124,77,I5J40_gp77,SEA_ATCOO_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2656556,60336125,78,I5J40_gp78,SEA_ATCOO_78,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201130,-
2656556,60336126,1,I5J40_gp01,SEA_ATCOO_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201130,-
2656556,60350523,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201202,-
