#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1054480,14010526,F412_gp273,F412_gp273,-,-,-,-,RIIA protein,protein-coding,-,-,-,RIIA protein,20200629,-
1054480,14010560,F412_gp250,F412_gp250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010561,F412_gp249,F412_gp249,-,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20200629,-
1054480,14010562,F412_gp248,F412_gp248,-,-,-,-,transcription modulator under heat shock,protein-coding,-,-,-,transcription modulator under heat shock,20200629,-
1054480,14010563,F412_gp247,F412_gp247,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010564,F412_gp246,F412_gp246,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010565,F412_gp245,F412_gp245,-,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20200919,-
1054480,14010566,F412_gp244,F412_gp244,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010567,F412_gp243,F412_gp243,-,-,-,-,dCTPase,protein-coding,-,-,-,dCTPase,20200629,-
1054480,14010568,F412_gp242,F412_gp242,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010569,F412_gp241,F412_gp241,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20210417,-
1054480,14010570,F412_gp240,F412_gp240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1054480,14010571,F412_gp239,F412_gp239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010572,F412_gp238,F412_gp238,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010573,F412_gp237,F412_gp237,-,-,-,-,spackle periplasmic protein,protein-coding,-,-,-,spackle periplasmic protein,20200629,-
1054480,14010574,F412_gp236,F412_gp236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010575,F412_gp235,F412_gp235,-,-,-,-,discriminator of mRNA degradation,protein-coding,-,-,-,discriminator of mRNA degradation,20200629,-
1054480,14010576,F412_gp234,F412_gp234,-,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20200629,-
1054480,14010577,F412_gp233,F412_gp233,-,-,-,-,gp40 head vertex assembly chaperone,protein-coding,-,-,-,gp40 head vertex assembly chaperone,20201220,-
1054480,14010578,F412_gp232,F412_gp232,-,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20200629,-
1054480,14010579,F412_gp231,F412_gp231,-,-,-,-,beta-glucosyl-HMC-alpha-glucosyl-transferase,protein-coding,-,-,-,beta-glucosyl-HMC-alpha-glucosyl-transferase,20200629,-
1054480,14010580,F412_gp230,F412_gp230,-,-,-,-,deoxycytidylate 5-hydroxymethyltransferase,protein-coding,-,-,-,deoxycytidylate 5-hydroxymethyltransferase,20210123,-
1054480,14010581,F412_gp229,F412_gp229,-,-,-,-,superinfection immunity protein,protein-coding,-,-,-,superinfection immunity protein,20210129,-
1054480,14010582,F412_gp228,F412_gp228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010583,F412_gp227,F412_gp227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010584,F412_gp226,F412_gp226,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200629,-
1054480,14010585,F412_gp225,F412_gp225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010586,F412_gp224,F412_gp224,-,-,-,-,translational repressor RegA,protein-coding,-,-,-,translational repressor RegA,20210212,-
1054480,14010587,F412_gp223,F412_gp223,-,-,-,-,DNA polymerase clamp loader subunit A,protein-coding,-,-,-,DNA polymerase clamp loader subunit A,20201220,-
1054480,14010588,F412_gp222,F412_gp222,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201220,-
1054480,14010589,F412_gp221,F412_gp221,-,-,-,-,gp45 sliding clamp DNA polymerase,protein-coding,-,-,-,gp45 sliding clamp DNA polymerase,20201220,-
1054480,14010590,F412_gp220,F412_gp220,-,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20200629,-
1054480,14010591,F412_gp219,F412_gp219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010592,F412_gp218,F412_gp218,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200629,-
1054480,14010593,F412_gp217,F412_gp217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1054480,14010594,F412_gp216,F412_gp216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010595,F412_gp215,F412_gp215,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200629,-
1054480,14010596,F412_gp214,F412_gp214,-,-,-,-,alpha-glucosyl-transferase,protein-coding,-,-,-,alpha-glucosyl-transferase,20200629,-
1054480,14010597,F412_gp213,F412_gp213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1054480,14010598,F412_gp212,F412_gp212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010599,F412_gp211,F412_gp211,-,-,-,-,a-gt.4 family protein,protein-coding,-,-,-,a-gt.4 family protein,20201220,-
1054480,14010600,F412_gp210,F412_gp210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010601,F412_gp209,F412_gp209,-,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20201220,-
1054480,14010602,F412_gp208,F412_gp208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010603,F412_gp207,F412_gp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010604,F412_gp206,F412_gp206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010605,F412_gp205,F412_gp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010606,F412_gp204,F412_gp204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010607,F412_gp203,F412_gp203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010608,F412_gp202,F412_gp202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010609,F412_gp201,F412_gp201,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210123,-
1054480,14010610,F412_gp200,F412_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010611,F412_gp199,F412_gp199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010612,F412_gp198,F412_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010613,F412_gp197,F412_gp197,-,-,-,-,anaerobic NTP reductase small subunit,protein-coding,-,-,-,anaerobic NTP reductase small subunit,20200629,-
1054480,14010614,F412_gp196,F412_gp196,-,-,-,-,anaerobic NTP reductase large subunit,protein-coding,-,-,-,anaerobic NTP reductase large subunit,20200629,-
1054480,14010615,F412_gp195,F412_gp195,-,-,-,-,EndoVII packaging and recombination endonuclease VII,protein-coding,-,-,-,EndoVII packaging and recombination endonuclease VII,20200629,-
1054480,14010616,F412_gp194,F412_gp194,-,-,-,-,inhibitor of host Lon protease,protein-coding,-,-,-,inhibitor of host Lon protease,20200629,-
1054480,14010617,F412_gp193,F412_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010618,F412_gp192,F412_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010619,F412_gp191,F412_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010620,F412_gp190,F412_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010621,F412_gp189,F412_gp189,-,-,-,-,NrdC thioredoxin,protein-coding,-,-,-,NrdC thioredoxin,20210212,-
1054480,14010622,F412_gp188,F412_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010623,F412_gp187,F412_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010624,F412_gp186,F412_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010625,F412_gp185,F412_gp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010626,F412_gp184,F412_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010627,F412_gp183,F412_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010628,F412_gp182,F412_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010629,F412_gp181,F412_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010630,F412_gp180,F412_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010631,F412_gp179,F412_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1054480,14010632,F412_gp178,F412_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010633,F412_gp177,F412_gp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010634,F412_gp176,F412_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010635,F412_gp175,F412_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010636,F412_gp174,F412_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010637,F412_gp173,F412_gp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010638,F412_gp172,F412_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010639,F412_gp171,F412_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010640,F412_gp170,F412_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010641,F412_gp169,F412_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010642,F412_gp168,F412_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010643,F412_gp167,F412_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010644,F412_gp166,F412_gp166,-,-,-,-,lysis inhibition regulator membrane protein,protein-coding,-,-,-,lysis inhibition regulator membrane protein,20200629,-
1054480,14010645,F412_gp165,F412_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010646,F412_gp164,F412_gp164,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20200629,-
1054480,14010647,F412_gp163,F412_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010648,F412_gp162,F412_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010649,F412_gp161,F412_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1054480,14010650,F412_gp160,F412_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010651,F412_gp159,F412_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010652,F412_gp158,F412_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010653,F412_gp157,F412_gp157,-,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20200629,-
1054480,14010654,F412_gp156,F412_gp156,-,-,-,-,transglycosylase SLT domain-containing protein,protein-coding,-,-,-,transglycosylase SLT domain-containing protein,20201220,-
1054480,14010655,F412_gp155,F412_gp155,-,-,-,-,site-specific RNase,protein-coding,-,-,-,site-specific RNase,20210129,-
1054480,14010656,F412_gp154,F412_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010657,F412_gp153,F412_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010658,F412_gp152,F412_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010659,F412_gp151,F412_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010660,F412_gp150,F412_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010661,F412_gp149,F412_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010662,F412_gp148,F412_gp148,-,-,-,-,putative Ip4 internal head protein,protein-coding,-,-,-,putative Ip4 internal head protein,20200629,-
1054480,14010663,F412_gp147,F412_gp147,-,-,-,-,endonuclease V N-glycosylase UV repair enzyme,protein-coding,-,-,-,endonuclease V N-glycosylase UV repair enzyme,20210123,-
1054480,14010664,F412_gp146,F412_gp146,-,-,-,-,glycoside hydrolase family protein,protein-coding,-,-,-,glycoside hydrolase family protein,20201220,-
1054480,14010665,F412_gp145,F412_gp145,-,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20210123,-
1054480,14010666,F412_gp144,F412_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010667,F412_gp143,F412_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010668,F412_gp142,F412_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010669,F412_gp141,F412_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010670,F412_gp140,F412_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010671,F412_gp139,F412_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010672,F412_gp138,F412_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010673,F412_gp137,F412_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010674,F412_gp136,F412_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010675,F412_gt001,F412_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1054480,14010676,F412_gp134,F412_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010677,F412_gp133,F412_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010678,F412_gp132,F412_gp132,-,-,-,-,putative internal head protein IP5,protein-coding,-,-,-,putative internal head protein IP5,20200629,-
1054480,14010679,F412_gp131,F412_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010680,F412_gp130,F412_gp130,-,-,-,-,chaperone for tail fiber formation,protein-coding,-,-,-,chaperone for tail fiber formation,20200629,-
1054480,14010681,F412_gp129,F412_gp129,-,-,-,-,deoxynucleotide monophosphate kinase,protein-coding,-,-,-,deoxynucleotide monophosphate kinase,20200629,-
1054480,14010682,F412_gp128,F412_gp128,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201220,-
1054480,14010683,F412_gp127,F412_gp127,-,-,-,-,DNA end protector during packaging,protein-coding,-,-,-,DNA end protector during packaging,20201220,-
1054480,14010684,F412_gp126,F412_gp126,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200629,-
1054480,14010685,F412_gp125,F412_gp125,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
1054480,14010686,F412_gp124,F412_gp124,-,-,-,-,baseplate hub subunit and lysozyme,protein-coding,-,-,-,baseplate hub subunit and lysozyme,20200629,-
1054480,14010687,F412_gp123,F412_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010688,F412_gp122,F412_gp122,-,-,-,-,PAAR domain-containing protein,protein-coding,-,-,-,PAAR domain-containing protein,20201220,-
1054480,14010689,F412_gp121,F412_gp121,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
1054480,14010690,F412_gp120,F412_gp120,-,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20200629,-
1054480,14010691,F412_gp119,F412_gp119,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
1054480,14010692,F412_gp118,F412_gp118,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
1054480,14010693,F412_gp117,F412_gp117,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20200629,-
1054480,14010694,F412_gp116,F412_gp116,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20200629,-
1054480,14010695,F412_gp115,F412_gp115,-,-,-,-,short tail fiber,protein-coding,-,-,-,short tail fiber,20210313,-
1054480,14010696,F412_gp114,F412_gp114,-,-,-,-,fibritin neck whiskers,protein-coding,-,-,-,fibritin neck whiskers,20200629,-
1054480,14010697,F412_gp113,F412_gp113,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200629,-
1054480,14010698,F412_gp112,F412_gp112,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200629,-
1054480,14010699,F412_gp111,F412_gp111,-,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20200629,-
1054480,14010700,F412_gp110,F412_gp110,-,-,-,-,small terminase protein,protein-coding,-,-,-,small terminase protein,20201220,-
1054480,14010701,F412_gp109,F412_gp109,-,-,-,-,putative terminase subunit nuclease and ATPase,protein-coding,-,-,-,putative terminase subunit nuclease and ATPase,20201220,-
1054480,14010702,F412_gp108,F412_gp108,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200629,-
1054480,14010703,F412_gp107,F412_gp107,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201220,-
1054480,14010704,F412_gp106,F412_gp106,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210212,-
1054480,14010705,F412_gp105,F412_gp105,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210406,-
1054480,14010706,F412_gp104,F412_gp104,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200629,-
1054480,14010707,F412_gp103,F412_gp103,-,-,-,-,prohead core scaffolding protein and protease,protein-coding,-,-,-,prohead core scaffolding protein and protease,20210212,-
1054480,14010708,F412_gp102,F412_gp102,-,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20200629,-
1054480,14010709,F412_gp101,F412_gp101,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20200629,-
1054480,14010710,F412_gp100,F412_gp100,-,-,-,-,precursor of head vertex subunit,protein-coding,-,-,-,precursor of head vertex subunit,20200629,-
1054480,14010711,F412_gp099,F412_gp099,-,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20200629,-
1054480,14010712,F412_gp098,F412_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010713,F412_gp097,F412_gp097,-,-,-,-,DUF2774 domain-containing protein,protein-coding,-,-,-,DUF2774 domain-containing protein,20210123,-
1054480,14010714,F412_gp096,F412_gp096,-,-,-,-,head outer capsid protein,protein-coding,-,-,-,head outer capsid protein,20200629,-
1054480,14010715,F412_gp095,F412_gp095,-,-,-,-,inhibitor of prohead protease gp21,protein-coding,-,-,-,inhibitor of prohead protease gp21,20200629,-
1054480,14010716,F412_gp094,F412_gp094,-,-,-,-,DEAD/DEAH box helicase family protein,protein-coding,-,-,-,DEAD/DEAH box helicase family protein,20201220,-
1054480,14010717,F412_gp093,F412_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010718,F412_gp092,F412_gp092,-,-,-,-,DUF2685 domain-containing protein,protein-coding,-,-,-,DUF2685 domain-containing protein,20201220,-
1054480,14010719,F412_gp091,F412_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1054480,14010720,F412_gp090,F412_gp090,-,-,-,-,recombination mediator protein UvsY,protein-coding,-,-,-,recombination mediator protein UvsY,20210123,-
1054480,14010721,F412_gp089,F412_gp089,-,-,-,-,GPW/gp25 family protein,protein-coding,-,-,-,GPW/gp25 family protein,20201220,-
1054480,14010722,F412_gp088,F412_gp088,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200629,-
1054480,14010723,F412_gp087,F412_gp087,-,-,-,-,baseplate hub assembly catalyst,protein-coding,-,-,-,baseplate hub assembly catalyst,20200629,-
1054480,14010724,F412_gp086,F412_gp086,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200629,-
1054480,14010725,F412_gp085,F412_gp085,-,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20200629,-
1054480,14010726,F412_gp084,F412_gp084,-,-,-,-,baseplate hub subunit tail length determinator,protein-coding,-,-,-,baseplate hub subunit tail length determinator,20200629,-
1054480,14010727,F412_gp083,F412_gp083,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200629,-
1054480,14010728,F412_gp082,F412_gp082,-,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20200629,-
1054480,14010729,F412_gp081,F412_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
