#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034108,40233471,2,FGG24_gp02,PBI_JC27_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201220,-
1034108,40233492,23,FGG24_gp23,PBI_JC27_23,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201220,-
1034108,40233493,24,FGG24_gp24,PBI_JC27_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210406,-
1034108,40233494,25,FGG24_gp25,PBI_JC27_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210406,-
1034108,40233495,26,FGG24_gp26,PBI_JC27_26,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20210406,-
1034108,40233496,27,FGG24_gp27,PBI_JC27_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1034108,40233497,28,FGG24_gp28,PBI_JC27_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233498,29,FGG24_gp29,PBI_JC27_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1034108,40233499,30,FGG24_gp30,PBI_JC27_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233500,31,FGG24_gp31,PBI_JC27_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233501,32,FGG24_gp32,PBI_JC27_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233502,33,FGG24_gp33,PBI_JC27_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1034108,40233503,34,FGG24_gp34,PBI_JC27_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233504,35,FGG24_gp35,PBI_JC27_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233505,36,FGG24_gp36,PBI_JC27_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233506,37,FGG24_gp37,PBI_JC27_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233507,38,FGG24_gp38,PBI_JC27_38,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
1034108,40233508,39,FGG24_gp39,PBI_JC27_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233509,40,FGG24_gp40,PBI_JC27_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233510,41,FGG24_gp41,PBI_JC27_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233511,42,FGG24_gp42,PBI_JC27_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233512,43,FGG24_gp43,PBI_JC27_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233513,44,FGG24_gp44,PBI_JC27_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233514,45,FGG24_gp45,PBI_JC27_45,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201220,-
1034108,40233515,46,FGG24_gp46,PBI_JC27_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1034108,40233516,47,FGG24_gp47,PBI_JC27_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233517,48,FGG24_gp48,PBI_JC27_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233518,49,FGG24_gp49,PBI_JC27_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233519,50,FGG24_gp50,PBI_JC27_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233520,51,FGG24_gp51,PBI_JC27_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233521,52,FGG24_gp52,PBI_JC27_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233522,53,FGG24_gp53,PBI_JC27_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233523,54,FGG24_gp54,PBI_JC27_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233524,55,FGG24_gp55,PBI_JC27_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233525,56,FGG24_gp56,PBI_JC27_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233526,57,FGG24_gp57,PBI_JC27_57,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210406,-
1034108,40233527,58,FGG24_gp58,PBI_JC27_58,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210406,-
1034108,40233528,59,FGG24_gp59,PBI_JC27_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233529,60,FGG24_gp60,PBI_JC27_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233530,61,FGG24_gp61,PBI_JC27_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233531,62,FGG24_gp62,PBI_JC27_62,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20201220,-
1034108,40233532,63,FGG24_gp63,PBI_JC27_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233533,64,FGG24_gp64,PBI_JC27_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233534,65,FGG24_gp65,PBI_JC27_65,-,-,-,NrdH,protein-coding,-,-,-,NrdH,20201220,-
1034108,40233535,66,FGG24_gp66,PBI_JC27_66,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20210406,-
1034108,40233536,67,FGG24_gp67,PBI_JC27_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233537,68,FGG24_gp68,PBI_JC27_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233538,69,FGG24_gp69,PBI_JC27_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233539,70,FGG24_gp70,PBI_JC27_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233540,71,FGG24_gp71,PBI_JC27_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233541,72,FGG24_gp72,PBI_JC27_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233542,73,FGG24_gp73,PBI_JC27_73,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20201220,-
1034108,40233543,74,FGG24_gp74,PBI_JC27_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233544,75,FGG24_gp75,PBI_JC27_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233545,76,FGG24_gp76,PBI_JC27_76,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201220,-
1034108,40233546,77,FGG24_gp77,PBI_JC27_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233547,78,FGG24_gp78,PBI_JC27_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233548,79,FGG24_gp79,PBI_JC27_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233549,80,FGG24_gp80,PBI_JC27_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233550,81,FGG24_gp81,PBI_JC27_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233551,82,FGG24_gp82,PBI_JC27_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233552,83,FGG24_gp83,PBI_JC27_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233553,84,FGG24_gp84,PBI_JC27_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233554,85,FGG24_gp85,PBI_JC27_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233555,86,FGG24_gp86,PBI_JC27_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233556,87,FGG24_gp87,PBI_JC27_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233557,88,FGG24_gp88,PBI_JC27_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233558,89,FGG24_gp89,PBI_JC27_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233559,90,FGG24_gp90,PBI_JC27_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233560,91,FGG24_gp91,PBI_JC27_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233561,92,FGG24_gp92,PBI_JC27_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233562,93,FGG24_gp93,PBI_JC27_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233563,94,FGG24_gp94,PBI_JC27_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233564,95,FGG24_gp95,PBI_JC27_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233565,96,FGG24_gp96,PBI_JC27_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233566,97,FGG24_gp97,PBI_JC27_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40233567,1,FGG24_gp01,PBI_JC27_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034108,40340341,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage JC27; Mycobacterium phage JC27).,other,-,-,-,-,20200513,-
