#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1036616,40084097,2,FDI15_gp002,SHILAN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1036616,40084143,56,FDI15_gp056,SHILAN_56,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210406,-
1036616,40084144,57,FDI15_gp057,SHILAN_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084145,58,FDI15_gp058,SHILAN_58,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210406,-
1036616,40084146,59,FDI15_gp059,SHILAN_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1036616,40084147,60,FDI15_gp060,SHILAN_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084148,61,FDI15_gp061,SHILAN_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084149,62,FDI15_gp062,SHILAN_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084150,63,FDI15_gp063,SHILAN_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1036616,40084151,64,FDI15_gp064,SHILAN_64,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20200629,-
1036616,40084152,65,FDI15_gp065,SHILAN_65,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200629,-
1036616,40084153,66,FDI15_gp066,SHILAN_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084154,68,FDI15_gp068,SHILAN_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084155,69,FDI15_gp069,SHILAN_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084156,70,FDI15_gp070,SHILAN_70,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200629,-
1036616,40084157,71,FDI15_gp071,SHILAN_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084158,72,FDI15_gp072,SHILAN_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084159,73,FDI15_gp073,SHILAN_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084160,74,FDI15_gp074,SHILAN_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084161,75,FDI15_gp075,SHILAN_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084162,76,FDI15_gp076,SHILAN_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084163,77,FDI15_gp077,SHILAN_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084164,78,FDI15_gp078,SHILAN_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084165,80,FDI15_gp080,SHILAN_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084166,81,FDI15_gp081,SHILAN_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084167,82,FDI15_gp082,SHILAN_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084168,83,FDI15_gp083,SHILAN_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084169,84,FDI15_gp084,SHILAN_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084170,85,FDI15_gp085,SHILAN_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084171,86,FDI15_gp086,SHILAN_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084172,87,FDI15_gp087,SHILAN_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084173,88,FDI15_gp088,SHILAN_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084174,89,FDI15_gp089,SHILAN_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084175,90,FDI15_gp090,SHILAN_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084176,91,FDI15_gp091,SHILAN_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084177,92,FDI15_gp092,SHILAN_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084178,93,FDI15_gp093,SHILAN_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084179,94,FDI15_gp094,SHILAN_94,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210406,-
1036616,40084180,95,FDI15_gp095,SHILAN_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084181,96,FDI15_gp096,SHILAN_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084182,97,FDI15_gp097,SHILAN_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084183,98,FDI15_gp098,SHILAN_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084184,99,FDI15_gp099,SHILAN_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084185,100,FDI15_gp100,SHILAN_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084186,101,FDI15_gp101,SHILAN_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084187,102,FDI15_gp102,SHILAN_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084188,103,FDI15_gp103,SHILAN_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084189,104,FDI15_gp104,SHILAN_104,-,-,-,polypeptide N-acetylgalactosaminyltransferase,protein-coding,-,-,-,polypeptide N-acetylgalactosaminyltransferase,20200629,-
1036616,40084190,105,FDI15_gp105,SHILAN_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084191,106,FDI15_gp106,SHILAN_106,-,-,-,N-acetylglucosaminyltransferase,protein-coding,-,-,-,N-acetylglucosaminyltransferase,20200629,-
1036616,40084192,107,FDI15_gp107,SHILAN_107,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20210406,-
1036616,40084193,47,FDI15_gp047,SHILAN_47,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1036616,40084194,46,FDI15_gp046,SHILAN_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084195,43,FDI15_gp043,SHILAN_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084196,42,FDI15_gp042,SHILAN_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084197,41,FDI15_gp041,SHILAN_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084198,40,FDI15_gp040,SHILAN_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084199,39,FDI15_gp039,SHILAN_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084200,26,FDI15_gp026,SHILAN_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084201,67,FDI15_gp067,SHILAN_67,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210123,-
1036616,40084202,79,FDI15_gp079,SHILAN_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036616,40084203,1,FDI15_gp001,SHILAN_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1036616,40120079,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage ShiLan).,other,-,-,-,-,20200513,-
