#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2571253,62974387,2,JZX82_gp02,SEA_WILLIAM_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210228,-
2571253,62974403,18,JZX82_gp18,SEA_WILLIAM_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210228,-
2571253,62974404,19,JZX82_gp19,SEA_WILLIAM_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210228,-
2571253,62974405,20,JZX82_gp20,SEA_WILLIAM_20,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",protein-coding,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",20210228,-
2571253,62974406,21,JZX82_gp21,SEA_WILLIAM_21,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20210228,-
2571253,62974407,22,JZX82_gp22,SEA_WILLIAM_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974408,23,JZX82_gp23,SEA_WILLIAM_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974409,24,JZX82_gp24,SEA_WILLIAM_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974410,25,JZX82_gp25,SEA_WILLIAM_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974411,26,JZX82_gp26,SEA_WILLIAM_26,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210228,-
2571253,62974412,27,JZX82_gp27,SEA_WILLIAM_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974413,28,JZX82_gp28,SEA_WILLIAM_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210228,-
2571253,62974414,29,JZX82_gp29,SEA_WILLIAM_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210228,-
2571253,62974415,30,JZX82_gp30,SEA_WILLIAM_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974416,31,JZX82_gp31,SEA_WILLIAM_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210228,-
2571253,62974417,32,JZX82_gp32,SEA_WILLIAM_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210228,-
2571253,62974418,33,JZX82_gp33,SEA_WILLIAM_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974419,34,JZX82_gp34,SEA_WILLIAM_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974420,35,JZX82_gp35,SEA_WILLIAM_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974421,36,JZX82_gp36,SEA_WILLIAM_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974422,37,JZX82_gp37,SEA_WILLIAM_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974423,38,JZX82_gp38,SEA_WILLIAM_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974424,39,JZX82_gp39,SEA_WILLIAM_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974425,40,JZX82_gp40,SEA_WILLIAM_40,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210228,-
2571253,62974426,41,JZX82_gp41,SEA_WILLIAM_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2571253,62974427,42,JZX82_gp42,SEA_WILLIAM_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974428,43,JZX82_gp43,SEA_WILLIAM_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974429,44,JZX82_gp44,SEA_WILLIAM_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974430,45,JZX82_gp45,SEA_WILLIAM_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974431,46,JZX82_gp46,SEA_WILLIAM_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974432,47,JZX82_gp47,SEA_WILLIAM_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974433,48,JZX82_gp48,SEA_WILLIAM_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974434,49,JZX82_gp49,SEA_WILLIAM_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974435,50,JZX82_gp50,SEA_WILLIAM_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974436,51,JZX82_gp51,SEA_WILLIAM_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974437,52,JZX82_gp52,SEA_WILLIAM_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974438,53,JZX82_gp53,SEA_WILLIAM_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974439,54,JZX82_gp54,SEA_WILLIAM_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974440,55,JZX82_gp55,SEA_WILLIAM_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974441,56,JZX82_gp56,SEA_WILLIAM_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974442,57,JZX82_gp57,SEA_WILLIAM_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974443,58,JZX82_gp58,SEA_WILLIAM_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974444,59,JZX82_gp59,SEA_WILLIAM_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974445,60,JZX82_gp60,SEA_WILLIAM_60,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210228,-
2571253,62974446,61,JZX82_gp61,SEA_WILLIAM_61,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210228,-
2571253,62974447,62,JZX82_gp62,SEA_WILLIAM_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974448,63,JZX82_gp63,SEA_WILLIAM_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974449,64,JZX82_gp64,SEA_WILLIAM_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974450,65,JZX82_gp65,SEA_WILLIAM_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974451,66,JZX82_gp66,SEA_WILLIAM_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974452,67,JZX82_gp67,SEA_WILLIAM_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974453,68,JZX82_gp68,SEA_WILLIAM_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974454,69,JZX82_gp69,SEA_WILLIAM_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974455,70,JZX82_gp70,SEA_WILLIAM_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974456,71,JZX82_gp71,SEA_WILLIAM_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974457,72,JZX82_gp72,SEA_WILLIAM_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974458,73,JZX82_gp73,SEA_WILLIAM_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974459,74,JZX82_gp74,SEA_WILLIAM_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974460,75,JZX82_gp75,SEA_WILLIAM_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974461,76,JZX82_gp76,SEA_WILLIAM_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974462,77,JZX82_gp77,SEA_WILLIAM_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974463,78,JZX82_gp78,SEA_WILLIAM_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974464,79,JZX82_gp79,SEA_WILLIAM_79,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210228,-
2571253,62974465,80,JZX82_gp80,SEA_WILLIAM_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974466,81,JZX82_gp81,SEA_WILLIAM_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974467,82,JZX82_gp82,SEA_WILLIAM_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2571253,62974468,83,JZX82_gp83,SEA_WILLIAM_83,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210228,-
2571253,62974469,1,JZX82_gp01,SEA_WILLIAM_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210228,-
2571253,62974900,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210301,-
